input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_mismatched,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_org_,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_tls_connection,tls_sni,port,url,scheme,webserver,content_type,method,host,path,favicon,a_,tech_,lines,failed,tls_wildcard_certificate,cdn_name,cdn,final_url,csp_domains_
accportal-emp.standard.com,Login,200,31546,accportal-emp.standard.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,,2022-07-28T00:00:00Z,2023-08-02T23:59:59Z,"CN=accportal-emp.standard.com, O=Standard Insurance Company, L=Portland, ST=Oregon, C=US",accportal-emp.standard.com,Standard Insurance Company,accportal-emp.standard.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,7ce0ceac593ab4d46e2dd63a5bd0150e,ea6cc66d5770c2038eaf25868a8aa779e0f5d26174ba87ae32a8470aa7d99811,ctls,accportal-emp.standard.com,443,https://accportal-emp.standard.com:443,https,Microsoft-IIS/10.0,text/html,GET,23.247.187.38,/,1772087922,23.247.187.38,Windows Server,597,False,,,,,
api.edp.standard.com,,404,54,api.edp.standard.com,443,True,tls12,TLS_RSA_WITH_AES_256_GCM_SHA384,,2023-05-11T00:00:00Z,2024-06-07T23:59:59Z,"CN=api.edp.standard.com, O=Standard Insurance Company, L=Portland, ST=Oregon, C=US",api.edp.standard.com,Standard Insurance Company,api.edp.standard.com,"CN=DigiCert Global G2 TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert Global G2 TLS RSA SHA256 2020 CA1,DigiCert Inc,9341a29462ee720606e310d9725a0b37,f1fcc40b137ebbeab74208a6afcd34dc37a92be9826f36ee73decfe1f3a6e340,ctls,api.edp.standard.com,443,https://api.edp.standard.com:443,https,,application/json,GET,20.237.160.54,/,-326256188,20.237.160.54,,1,False,,,,,
cat-v3.prod.eb.standard.com,502 Bad Gateway,502,183,cat-v3.prod.eb.standard.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,,2023-02-22T00:00:00Z,2024-02-21T23:59:59Z,"CN=cat-v3.prod.eb.standard.com, O=Standard Insurance Company, L=Portland, ST=Maine, C=US",cat-v3.prod.eb.standard.com,Standard Insurance Company,cat.prod.eb.standard.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,b6ed5722b989fa8bc7c1dc662632a3e2,7ec2eeef879b27d390928365e512cb19068cb87a3a3261af516f5b8e336f4357,ctls,cat-v3.prod.eb.standard.com,443,https://cat-v3.prod.eb.standard.com:443,https,Microsoft-Azure-Application-Gateway/v2,text/html,GET,20.252.78.112,/,1689593728,20.252.78.112,,8,False,,,,,
cex-v3.prod.eb.standard.com,404 Not Found,404,179,cex-v3.prod.eb.standard.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,,2022-06-23T00:00:00Z,2023-07-24T23:59:59Z,"CN=claim.standard.com, O=Standard Insurance Company, L=Portland, ST=Oregon, C=US",claim.standard.com,Standard Insurance Company,cex-v3.playground.eb.standard.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,0f02892f029dcde1c58c7e02e9501829,632a0a613030928a0d1f657a7566e99a2f00a359f3ac01bb71867295aa9e3dbb,ctls,cex-v3.prod.eb.standard.com,443,https://cex-v3.prod.eb.standard.com:443,https,Microsoft-Azure-Application-Gateway/v2,text/html,GET,20.80.156.175,/,-1646985303,20.80.156.175,,8,False,,,,,
claim.standard.com,502 Bad Gateway,502,183,claim.standard.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,,2022-06-23T00:00:00Z,2023-07-24T23:59:59Z,"CN=claim.standard.com, O=Standard Insurance Company, L=Portland, ST=Oregon, C=US",claim.standard.com,Standard Insurance Company,cex-v3.playground.eb.standard.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,0f02892f029dcde1c58c7e02e9501829,632a0a613030928a0d1f657a7566e99a2f00a359f3ac01bb71867295aa9e3dbb,ctls,claim.standard.com,443,https://claim.standard.com:443,https,Microsoft-Azure-Application-Gateway/v2,text/html,GET,20.80.156.175,/,1689593728,20.80.156.175,,8,False,,,,,
click.message.standard.com,403 - Forbidden: Access is denied.,403,1233,click.message.standard.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,,2023-03-08T00:00:00Z,2024-04-07T23:59:59Z,"CN=click.message.standard.com, O=Salesforce.com\, Inc., L=San Francisco, ST=California, C=US",click.message.standard.com,"Salesforce.com, Inc.",click.message.standard.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,b3ce579b6d34144fbc189da3f597cc5e,140d2263ec3848200defb3f18b3e8b64a706cb2e43addd37cadb3d71470f1d7c,ctls,click.message.standard.com,443,https://click.message.standard.com:443,https,,text/html,GET,13.111.241.129,/,1631801191,13.111.241.129,HSTS,30,False,,,,,
cloud.message.standard.com,403 - Forbidden: Access is denied.,403,1233,cloud.message.standard.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,,2023-03-08T00:00:00Z,2024-04-07T23:59:59Z,"CN=cloud.message.standard.com, O=Salesforce.com\, Inc., L=San Francisco, ST=California, C=US",cloud.message.standard.com,"Salesforce.com, Inc.",cloud.message.standard.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,c81c8725c8814f597e517f6baef18ff2,c8010f435282ba6863dc9d4a22255e39048faa756ab369e4b3ac726fe1b182b0,ctls,cloud.message.standard.com,443,https://cloud.message.standard.com:443,https,,text/html,GET,13.111.239.208,/,1631801191,13.111.239.208,,30,False,,,,,
cm.standard.com,,404,14,cm.standard.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,,2023-03-28T00:00:00Z,2024-04-24T23:59:59Z,"CN=cm.standard.com, O=Standard Insurance Company, L=Portland, ST=Maine, C=US",cm.standard.com,Standard Insurance Company,cm.standard.com,"CN=DigiCert Global G2 TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert Global G2 TLS RSA SHA256 2020 CA1,DigiCert Inc,acde93297d267805e8800e49d715bc11,1d3eb82b59d9197e5549ae3d06e929d1042c4e547071c6afb89eddc5748c7f49,ctls,cm.standard.com,443,https://cm.standard.com:443,https,nginx,text/html,GET,52.36.131.229,/,997500400,52.36.131.229,Varnish,1,False,,,,,
demo.standard.com,,200,58,demo.standard.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,,2023-03-25T00:00:00Z,2023-09-25T23:59:59Z,CN=demo.standard.com,demo.standard.com,,demo.standard.com,"CN=GeoTrust Global TLS RSA4096 SHA256 2022 CA1, O=DigiCert\, Inc., C=US",GeoTrust Global TLS RSA4096 SHA256 2022 CA1,"DigiCert, Inc.",6c4e58cba5acc9dc51a654c71ed1b66d,3920b424a66bead44fe6a72a9a1d70ba236034c0384fe778c23550149d29cf82,ctls,demo.standard.com,443,https://demo.standard.com:443,https,,text/html,GET,40.82.255.130,/,-230353730,40.82.255.130,HSTS,1,False,,azure,True,,
demoacc.standard.com,,200,58,demoacc.standard.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,,2023-03-07T00:00:00Z,2023-09-07T23:59:59Z,CN=demoacc.standard.com,demoacc.standard.com,,demoacc.standard.com,"CN=GeoTrust Global TLS RSA4096 SHA256 2022 CA1, O=DigiCert\, Inc., C=US",GeoTrust Global TLS RSA4096 SHA256 2022 CA1,"DigiCert, Inc.",6c439e7fa30ac42fb781feb691dc0edc,d5cff45d21f6f11dbcb2ea3350f532d1d8b78edfe47a9c314759e3e62652f62b,ctls,demoacc.standard.com,443,https://demoacc.standard.com:443,https,,text/html,GET,20.40.202.3,/,-230353730,20.40.202.3,HSTS,1,False,,azure,True,,
demoint.standard.com,,200,58,demoint.standard.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,,2023-03-03T00:00:00Z,2023-09-03T23:59:59Z,CN=demoint.standard.com,demoint.standard.com,,demoint.standard.com,"CN=GeoTrust Global TLS RSA4096 SHA256 2022 CA1, O=DigiCert\, Inc., C=US",GeoTrust Global TLS RSA4096 SHA256 2022 CA1,"DigiCert, Inc.",aadf416cede64950b80a0c0076b1b4c2,2fb65955ea898f363e6a3f0edd596f714bebc2825fa2d2b42352adacd4e84a94,ctls,demoint.standard.com,443,https://demoint.standard.com:443,https,,text/html,GET,20.40.202.2,/,-230353730,20.40.202.2,HSTS,1,False,,azure,True,,
demosys.standard.com,,200,58,demosys.standard.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,,2023-03-07T00:00:00Z,2023-09-07T23:59:59Z,CN=demosys.standard.com,demosys.standard.com,,demosys.standard.com,"CN=GeoTrust Global TLS RSA4096 SHA256 2022 CA1, O=DigiCert\, Inc., C=US",GeoTrust Global TLS RSA4096 SHA256 2022 CA1,"DigiCert, Inc.",7e39507f25243f4eab630508ee25d963,519f858458b5cb3f8ccc2932e271a62760fa02307eacfba6c08c20c1209be07b,ctls,demosys.standard.com,443,https://demosys.standard.com:443,https,,text/html,GET,20.40.202.3,/,-230353730,20.40.202.3,HSTS,1,False,,azure,True,,
devtest-api.edp.standard.com,,404,54,devtest-api.edp.standard.com,443,True,tls12,TLS_RSA_WITH_AES_256_GCM_SHA384,,2023-03-14T00:00:00Z,2024-04-13T23:59:59Z,"CN=devtest-api.edp.standard.com, O=Standard Insurance Company, L=Portland, ST=Maine, C=US",devtest-api.edp.standard.com,Standard Insurance Company,nonprod-api.edp.standard.com,"CN=DigiCert Global G2 TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert Global G2 TLS RSA SHA256 2020 CA1,DigiCert Inc,992b82fecde6a4dea9827adda8d24433,06c0c20bca52973e0cc69843e1dac46ae2e51fbe80705e0f907fc879a8386cd2,ctls,devtest-api.edp.standard.com,443,https://devtest-api.edp.standard.com:443,https,,application/json,GET,13.93.220.35,/,-326256188,13.93.220.35,,1,False,,azure,True,,
https://bam-cell.nr-data.net,,404,2,bam-cell.nr-data.net,443,True,tls13,TLS_AES_128_GCM_SHA256,,2022-11-18T00:00:00Z,2023-12-19T23:59:59Z,"CN=*.nr-data.net, O=New Relic\, Inc., L=San Francisco, ST=California, C=US",*.nr-data.net,"New Relic, Inc.",nr-data.net,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,f18c89bd942bf5fa0e43b69e1682be8a,34ffa5499509d896c902d083216c95d314faee049e2cf6183a38b98d57c91a07,ctls,bam-cell.nr-data.net,443,https://bam-cell.nr-data.net:443,https,cloudflare,text/plain,GET,162.247.241.2,/,-1206076886,162.247.243.30,Cloudflare,1,False,True,,,,
https://bam.nr-data.net,,404,2,bam.nr-data.net,443,True,tls13,TLS_AES_128_GCM_SHA256,,2022-11-18T00:00:00Z,2023-12-19T23:59:59Z,"CN=*.nr-data.net, O=New Relic\, Inc., L=San Francisco, ST=California, C=US",*.nr-data.net,"New Relic, Inc.",nr-data.net,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,f18c89bd942bf5fa0e43b69e1682be8a,34ffa5499509d896c902d083216c95d314faee049e2cf6183a38b98d57c91a07,ctls,bam.nr-data.net,443,https://bam.nr-data.net:443,https,,application/json,GET,162.247.243.29,/,-1206076886,162.247.243.29,,1,False,True,,,,
https://citrix-cloud-content.customer.pendo.io,,403,300,citrix-cloud-content.customer.pendo.io,443,True,tls13,TLS_AES_128_GCM_SHA256,,2023-02-23T00:00:00Z,2023-11-16T23:59:59Z,CN=citrix-cloud-content.customer.pendo.io,citrix-cloud-content.customer.pendo.io,,citrix-cloud-content.customer.pendo.io,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,63102347849a4d09e9412f9ec9fedad4,e64cf28516194bea21859dc4fd104b8d4684308b1558d5b8e3879bcf70b59a08,ctls,citrix-cloud-content.customer.pendo.io,443,https://citrix-cloud-content.customer.pendo.io:443,https,UploadServer,application/xml,GET,13.32.99.109,/,501560377,2600:9000:2251:1000:c:7955:fe00:93a1,Amazon Web Services,1,False,,cloudfront,True,,
