input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_wildcard_certificate,tls_tls_connection,tls_sni,port,url,scheme,webserver,content_type,method,host,path,favicon,a_,tech_,lines,failed,tls_subject_org_,final_url,csp_domains_,cdn_name,cdn,tls_mismatched
*.amplitude.com,Amplitude | Product Analytics & Event Tracking Platform | Amplitude,200,295883,amplitude.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-01-23T00:00:00Z,2024-02-14T23:59:59Z,CN=*.amplitude.com,*.amplitude.com,amplitude.com,"CN=COMODO RSA Domain Validation Secure Server CA, O=COMODO CA Limited, L=Salford, ST=Greater Manchester, C=GB",COMODO RSA Domain Validation Secure Server CA,COMODO CA Limited,4666e0796ab29d5bbff77ea132d95ee2,b6fb73c2f4a87e5f215e1fd93dcfbdfe444fbd5254fb16a2eeef91fbcbeca6a0,True,ctls,amplitude.com,443,https://amplitude.com:443,https,nginx/1.22.0,text/html,GET,76.223.69.48,/,1001190211,13.248.219.127,webpack,1,False,,,,,,
*.ampproject.org,AMP - a web component framework to easily create user-first web experiences - amp.dev,200,137903,amp.dev,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-07-13T09:40:14Z,2023-10-11T09:40:13Z,CN=amp.dev,amp.dev,www.amp.dev,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,f1003205f1320eeb799c383e390be62a,7ee72a01678521bc701b7f7f7bc7149ce16672d7b051f048e74c3fd5c0abb653,,ctls,amp.dev,443,https://ampproject.org:443,https,Netlify,text/html,GET,216.58.206.46,/,1735868236,2a00:1450:4001:82b::200e,Netlify,43,False,,https://amp.dev/,,,,
*.facebook.com,Facebook - log in or sign up,200,59232,m.facebook.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-05-04T00:00:00Z,2023-08-02T23:59:59Z,"CN=*.facebook.com, O=Meta Platforms\, Inc., L=Menlo Park, ST=California, C=US",*.facebook.com,messenger.com,"CN=DigiCert SHA2 High Assurance Server CA, OU=www.digicert.com, O=DigiCert Inc, C=US",DigiCert SHA2 High Assurance Server CA,DigiCert Inc,8772ecd6d55c04be64d975a144f76073,aa01e0176b5afbfefacbd88ca570a1402cf9b71c75ae497b1ce9a132d9457f23,True,ctls,m.facebook.com,443,https://facebook.com:443,https,,text/html,GET,157.240.252.35,/,142313513,2a03:2880:f177:83:face:b00c:0:25de,HTTP/3,19,False,"Meta Platforms, Inc.",https://m.facebook.com/?wtsid=rdr_0AA6SiIvoSTUD34pg,*.oculuscdn.com,,,
*.getsitecontrol.com,"Getsitecontrol: Popup Maker, Email Marketing Suite & Aurora Theme | Getsitecontrol",200,80198,getsitecontrol.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-03-07T08:31:12Z,2024-04-07T08:31:12Z,CN=*.getsitecontrol.com,*.getsitecontrol.com,getsitecontrol.com,"CN=Go Daddy Secure Certificate Authority - G2, OU=http://certs.godaddy.com/repository/, O=GoDaddy.com\, Inc., L=Scottsdale, ST=Arizona, C=US",Go Daddy Secure Certificate Authority - G2,"GoDaddy.com, Inc.",9ed3e6f2929cff9d9da2b42ddfc632f7,9f5ab3ec7cac1c2dd43ee97f975131a1583fe3418ba7236e614a98930207efba,True,ctls,getsitecontrol.com,443,https://getsitecontrol.com:443,https,nginx/1.19.1,text/html,GET,34.200.160.62,/,-1989523845,34.206.236.43,Nginx:1.19.1,29,False,,,,,,
*.google-analytics.com,Analytics Tools & Solutions for Your Business - Google Analytics,200,118570,marketingplatform.google.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-07-10T08:16:18Z,2023-10-02T08:16:17Z,CN=*.google.com,*.google.com,source.android.google.cn,"CN=GTS CA 1C3, O=Google Trust Services LLC, C=US",GTS CA 1C3,Google Trust Services LLC,dae25a43a6936128ed1b8afa4c2d653b,d9400a529522e19c31ee576709e351b1773254f9bfac91a668c893a61999d5fa,True,ctls,marketingplatform.google.com,443,https://google-analytics.com:443,https,sffe,text/html,GET,216.58.206.36,/,302920777,2a00:1450:4001:81c::2004,HTTP/3,1833,False,,https://marketingplatform.google.com/about/analytics/,https://csp.withgoogle.com/csp/uxe-owners-acl/marketing_platform,,,
*.google.com,Google,200,248457,www.google.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-07-10T08:21:46Z,2023-10-02T08:21:45Z,CN=www.google.com,www.google.com,www.google.com,"CN=GTS CA 1C3, O=Google Trust Services LLC, C=US",GTS CA 1C3,Google Trust Services LLC,531b6f0d6764795fb395fb7874cb00a6,9e39587ca471bdddb7c67a1e20d6b44c230f74a20a26c08a1b93762215747ac6,,ctls,www.google.com,443,https://google.com:443,https,gws,text/html,GET,216.58.206.46,/,708578229,2a00:1450:4001:806::200e,HTTP/3,149,False,,https://www.google.com/,https://csp.withgoogle.com/csp/gws/other-hp,,,
*.googletagmanager.com,Error 400 (Bad Request)!!1,400,1555,googletagmanager.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-07-10T08:16:15Z,2023-10-02T08:16:14Z,CN=*.google-analytics.com,*.google-analytics.com,www.googleoptimize.com,"CN=GTS CA 1C3, O=Google Trust Services LLC, C=US",GTS CA 1C3,Google Trust Services LLC,1c8fefbb8cb4afbb1c43de7e97d3502d,e0d7d78975428ef29c5f7c6749977f18abc39068f48ce83606ecd5f446a248b7,True,ctls,googletagmanager.com,443,https://googletagmanager.com:443,https,Google Tag Manager,text/html,GET,172.217.16.136,/,302920777,2a00:1450:4001:808::2008,HTTP/3,12,False,,,,,,
*.gstatic.com,Error 404 (Not Found)!!1,404,1561,www.gstatic.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-07-10T08:21:12Z,2023-10-02T08:21:11Z,CN=*.gstatic.com,*.gstatic.com,*.metric.gstatic.com,"CN=GTS CA 1C3, O=Google Trust Services LLC, C=US",GTS CA 1C3,Google Trust Services LLC,094b775d6381284fd7043fc871efdc5c,659210c1a54cc8ad5769aafb5777054e2a82cd6e9c0f3559c21166a97ede41b3,True,ctls,www.gstatic.com,443,https://gstatic.com:443,https,sffe,text/html,GET,142.250.186.131,/,302920777,2a00:1450:4001:82a::2003,HTTP/3,12,False,,https://www.gstatic.com/,,,,
*.intercom.io,Making Internet Business Personal | Intercom,200,938096,www.intercom.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-01-31T00:00:00Z,2024-02-29T23:59:59Z,CN=*.intercom.com,*.intercom.com,intercom.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,16a273078de16b234593d38b6d599fb1,1e78e3095b988214d59d22c24591ce1594d50267fd887783e5b5dd71889744ee,True,ctls,www.intercom.com,443,https://intercom.io:443,https,nginx,text/html,GET,52.222.214.34,/,2089970524,52.222.214.20,Nginx,12,False,,https://www.intercom.com/,https://client-registry.mutinycdn.com,cloudfront,True,
*.intercomcdn.com,Making Internet Business Personal | Intercom,200,938096,www.intercom.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-01-31T00:00:00Z,2024-02-29T23:59:59Z,CN=*.intercom.com,*.intercom.com,intercom.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,16a273078de16b234593d38b6d599fb1,1e78e3095b988214d59d22c24591ce1594d50267fd887783e5b5dd71889744ee,True,ctls,www.intercom.com,443,https://intercomcdn.com:443,https,nginx,text/html,GET,18.66.112.20,/,-851603781,18.66.112.33,Nginx,12,False,,https://www.intercom.com/,*.quora.com,cloudfront,True,
