input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_wildcard_certificate,tls_tls_connection,tls_sni,cdn_name,port,url,scheme,webserver,content_type,method,host,path,favicon,a_,tech_,lines,failed,cdn,csp_domains_,tls_expired,final_url,tls_mismatched,tls_subject_org_
api.h11.sentiance.com,Home - Sentiance,200,977837,sentiance.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-06-02T03:18:46Z,2023-08-31T03:18:45Z,CN=sentiance.com,sentiance.com,www.sentiance.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,c883e9e305d0094b9230b75f503b0b50,9e4028887725b04db43917ba73ab1b9b050a551dda4f44df530aa413bb6a7c14,,ctls,sentiance.com,,443,https://api.h11.sentiance.com:443,https,nginx,text/html,GET,54.254.132.234,/,673264342,52.77.44.94,Yoast SEO:20.12,3464,False,,,,https://sentiance.com/,,
api.p9.sentiance.com,,403,54,api.p9.sentiance.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-01-03T00:00:00Z,2024-01-03T23:59:59Z,CN=*.p9.sentiance.com,*.p9.sentiance.com,p9.sentiance.com,"CN=Gandi Standard SSL CA 2, O=Gandi, L=Paris, ST=Paris, C=FR",Gandi Standard SSL CA 2,Gandi,7f43ebeb796c3ee3e8fa9f686433cb6f,c1da609e39ddb87197247a4dc5aa588b3448381191eaa7c988ba6f49278ada96,True,ctls,api.p9.sentiance.com,,443,https://api.p9.sentiance.com:443,https,awselb/2.0,application/json,GET,54.237.254.140,/,237458298,34.200.192.35,,1,False,,,,,,
api.sentiance.com,Home - Sentiance,200,977837,sentiance.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-06-02T03:18:46Z,2023-08-31T03:18:45Z,CN=sentiance.com,sentiance.com,www.sentiance.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,c883e9e305d0094b9230b75f503b0b50,9e4028887725b04db43917ba73ab1b9b050a551dda4f44df530aa413bb6a7c14,,ctls,sentiance.com,,443,https://api.sentiance.com:443,https,nginx,text/html,GET,52.48.227.117,/,673264342,52.16.170.107,Yoast SEO:20.12,3464,False,,,,https://sentiance.com/,,
audience.sentiance.com,Insights,200,1652,insights.sentiance.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-02-28T00:00:00Z,2024-02-28T23:59:59Z,CN=*.sentiance.com,*.sentiance.com,sentiance.com,"CN=Gandi Standard SSL CA 2, O=Gandi, L=Paris, ST=Paris, C=FR",Gandi Standard SSL CA 2,Gandi,ccd6dce2bca5877859d2af572403dff1,64be0d6851484273c00629fcbba90b25451b84e042ae70d0d9d17bde147c50f1,True,ctls,insights.sentiance.com,,443,https://audience.sentiance.com:443,https,nginx/1.20.2,text/html,GET,52.48.10.17,/,231627084,34.252.72.145,Nginx:1.20.2,1,False,,*.sentiance.com,,https://insights.sentiance.com,,
controltower.h11.sentiance.com,Insights Control Tower,200,3899,controltower.h11.sentiance.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-01-13T00:00:00Z,2024-01-13T23:59:59Z,CN=*.h11.sentiance.com,*.h11.sentiance.com,h11.sentiance.com,"CN=Gandi Standard SSL CA 2, O=Gandi, L=Paris, ST=Paris, C=FR",Gandi Standard SSL CA 2,Gandi,6bfb0e55267365b80073ccb9777fc6ae,7000ebb59f5116b962fb59e3a8d7427251832de9fe9d821a7d8fe08386ff1dbd,True,ctls,controltower.h11.sentiance.com,,443,https://controltower.h11.sentiance.com:443,https,,text/html,GET,52.76.58.232,/,-522708096,18.139.102.248,,96,False,,,,,,
controltower.sentiance.com,Insights Control Tower,200,4132,controltower.sentiance.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-02-28T00:00:00Z,2024-02-28T23:59:59Z,CN=*.sentiance.com,*.sentiance.com,sentiance.com,"CN=Gandi Standard SSL CA 2, O=Gandi, L=Paris, ST=Paris, C=FR",Gandi Standard SSL CA 2,Gandi,ccd6dce2bca5877859d2af572403dff1,64be0d6851484273c00629fcbba90b25451b84e042ae70d0d9d17bde147c50f1,True,ctls,controltower.sentiance.com,,443,https://controltower.sentiance.com:443,https,,text/html,GET,52.48.10.17,/,-522708096,34.252.72.145,,105,False,,,,,,
developer.sentiance.com,Introduction - Sentiance,200,204699,docs.sentiance.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-07-06T02:59:10Z,2023-10-04T02:59:09Z,CN=docs.sentiance.com,docs.sentiance.com,docs.sentiance.com,"CN=GTS CA 1P5, O=Google Trust Services LLC, C=US",GTS CA 1P5,Google Trust Services LLC,a7a2af22d68ea2a5d4f3c2edac65542e,483fb4d92efd76fa5b5b2f39144ad771a66b89a4708d9b23aa1861966b9d3f16,,ctls,docs.sentiance.com,,443,https://developer.sentiance.com:443,https,cloudflare,text/html,GET,34.252.72.145,/,649323001,54.155.19.134,HTTP/3,1079,False,,*.intercom-attachments-9.com,,https://docs.sentiance.com,,
docs.sentiance.com,Introduction - Sentiance,200,204699,docs.sentiance.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-07-06T02:59:10Z,2023-10-04T02:59:09Z,CN=docs.sentiance.com,docs.sentiance.com,docs.sentiance.com,"CN=GTS CA 1P5, O=Google Trust Services LLC, C=US",GTS CA 1P5,Google Trust Services LLC,a7a2af22d68ea2a5d4f3c2edac65542e,483fb4d92efd76fa5b5b2f39144ad771a66b89a4708d9b23aa1861966b9d3f16,,ctls,docs.sentiance.com,cloudflare,443,https://docs.sentiance.com:443,https,cloudflare,text/html,GET,104.18.2.117,/,-251007895,2606:4700::6812:375,HTTP/3,1079,False,True,intercom.help,,,,
drive.sentiance.com,Sign in - Google Accounts,200,1489,www.google.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-07-10T08:21:46Z,2023-10-02T08:21:45Z,CN=www.google.com,www.google.com,www.google.com,"CN=GTS CA 1C3, O=Google Trust Services LLC, C=US",GTS CA 1C3,Google Trust Services LLC,531b6f0d6764795fb395fb7874cb00a6,9e39587ca471bdddb7c67a1e20d6b44c230f74a20a26c08a1b93762215747ac6,,ctls,www.google.com,,80,http://drive.sentiance.com:80,http,GSE,text/html,GET,172.217.18.19,/,706168004,2a00:1450:4001:808::2013,OpenGSE,32,False,,url=https://www.google.com/accounts/AccountChooser?hd=sentiance.com&continue=https%3A%2F%2Fdrive.google.com%2Fa%2Fsentiance.com%2F&followup=https%3A%2F%2Fdrive.google.com%2Fa%2Fsentiance.com%2F&osid=1&service=wise&faa=1,,https://www.google.com/a/sentiance.com/ServiceLogin?service=wise&passive=1209600&osid=1&continue=https://drive.google.com/a/sentiance.com/&followup=https://drive.google.com/a/sentiance.com/&faa=1,,
firehose-sink.g2.sentiance.com,,404,19,firehose-sink.g2.sentiance.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-07-20T00:00:00Z,2024-08-09T23:59:59Z,CN=*.g2.sentiance.com,*.g2.sentiance.com,g2.sentiance.com,"CN=Gandi Standard SSL CA 2, O=Gandi, L=Paris, ST=Paris, C=FR",Gandi Standard SSL CA 2,Gandi,6c0991ec17854b006ad26e9e78b77d0c,05a89aedacf931791b3d46f63c684b681a9a93d5af42e8bd0ac508b9c008b64b,True,ctls,firehose-sink.g2.sentiance.com,,443,https://firehose-sink.g2.sentiance.com:443,https,,text/plain,GET,52.51.238.149,/,-138391155,52.51.238.149,,2,False,,,,,,
