new,host,a,soa,status_code,aaaa,cdn,cdn-name,cname,ns,mx,txt,has_internal_ips,internal_ips,caa
[x],id-be.preprod.originenergy.com.au,,"ns-418.awsdns-52.com, hostmaster.cloudfront.net",NOERROR,,,,"id-preprod-be.origindigital-pac.com.au, d2v6wsmrdcb1z.cloudfront.net",,,,,,
[x],m.mc.ecomms.originenergy.com.au,"13.54.74.156, 3.104.163.208","ns-99.awsdns-12.com, awsdns-hostmaster.amazon.com",NOERROR,,,,originenergy-rt-prod6-ssl-1490877564.ap-southeast-2.elb.amazonaws.com,,,,,,
[x],mail-content.oetest.originenergy.com.au,"54.79.133.146, 52.64.161.133","ns-924.awsdns-51.net, awsdns-hostmaster.amazon.com",NOERROR,,,,ecs01-au.ficoccs-cqa.net,,,,,,
[x],mc.ecomms.originenergy.com.au,,"ns-1581.awsdns-05.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,"ns-1581.awsdns-05.co.uk, ns-1364.awsdns-42.org, ns-455.awsdns-56.com, ns-825.awsdns-39.net",inbound.campaign.adobe.com,v=spf1 redirect=__spf.campaign.adobe.com,,,
[x],renewable.originenergy.com.au,"3.69.136.55, 3.126.202.50","ns-748.awsdns-29.net, awsdns-hostmaster.amazon.com",NOERROR,,,,"fd4c21ff629c4303bbd9126baa341e71.unbouncepages.com, unbouncepages.com","ns-1465.awsdns-55.org, ns-1575.awsdns-04.co.uk, ns-362.awsdns-45.com, ns-748.awsdns-29.net",,google-site-verification=OR1Dxjz7lXfsMSTzdmscdUNH56xGM9k7kpj72k7ERAs,,,"amazon.com, comodoca.com, globalsign.com, letsencrypt.org"
[x],rx.originenergy.com.au,,"ns-1551.awsdns-01.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,"ns-91.awsdns-11.com, ns-1266.awsdns-30.org, ns-1551.awsdns-01.co.uk, ns-749.awsdns-29.net",,,,,
[x],t.mc.ecomms.originenergy.com.au,"13.54.74.156, 3.104.163.208","ns-99.awsdns-12.com, awsdns-hostmaster.amazon.com",NOERROR,,,,originenergy-rt-prod6-ssl-1490877564.ap-southeast-2.elb.amazonaws.com,,,,,,
,360ev.originenergy.com.au,"13.32.27.129, 13.32.27.119, 13.32.27.87, 13.32.27.104","ns-54.awsdns-06.com, awsdns-hostmaster.amazon.com",NOERROR,,True,cloudfront,,,,"v=spf1 include:spf.messagingengine.com include:spf.mandrillapp.com ?all, mandrill_verify.WODiHZJ65ELpwkLT4wLkRQ",,,
,575643-prod-mail1.originenergy.com.au,119.9.19.168,"ns-54.awsdns-06.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
,anmet.originenergy.com.au,"63.140.62.135, 63.140.62.160, 63.140.62.164","ns201.adobe.net, hostmaster.adobe.com",NOERROR,,,,originenergy.com.au.sc.omtrdc.net,,,,,,
,api-braze-dev.jindabyne.originenergy.com.au,"54.153.185.54, 3.104.212.121, 54.66.102.80","ns-172.awsdns-21.com, awsdns-hostmaster.amazon.com",NOERROR,,,,d-plf3x9whe8.execute-api.ap-southeast-2.amazonaws.com,,,,,,
,api-braze-prod.jindabyne.originenergy.com.au,"54.79.98.60, 3.24.92.232, 3.24.254.78","ns-172.awsdns-21.com, awsdns-hostmaster.amazon.com",NOERROR,,,,d-c8nhjoh7wb.execute-api.ap-southeast-2.amazonaws.com,,,,,,
,api-dev.originenergy.com.au,52.65.182.151,"ns-99.awsdns-12.com, awsdns-hostmaster.amazon.com",NOERROR,,,,boomi-dev-elb-328141026.ap-southeast-2.elb.amazonaws.com,,,,,,
,api-prod.origindigital-pac.com.au,"18.155.129.80, 18.155.129.51, 18.155.129.93, 18.155.129.58","ns-52.awsdns-06.com, awsdns-hostmaster.amazon.com",NOERROR,,True,cloudfront,d2it6lm3v3ssgd.cloudfront.net,"ns-1019.awsdns-63.net, ns-2034.awsdns-62.co.uk, ns-52.awsdns-06.com, ns-1516.awsdns-61.org",,,,,
,api.originenergy.com.au,"18.66.122.122, 18.66.122.85, 18.66.122.114, 18.66.122.70","ns-52.awsdns-06.com, awsdns-hostmaster.amazon.com",NOERROR,"2600:9000:2250:7600:13:3bbb:8340:93a1, 2600:9000:2250:8400:13:3bbb:8340:93a1, 2600:9000:2250:ec00:13:3bbb:8340:93a1, 2600:9000:2250:7a00:13:3bbb:8340:93a1, 2600:9000:2250:9e00:13:3bbb:8340:93a1, 2600:9000:2250:8c00:13:3bbb:8340:93a1, 2600:9000:2250:da00:13:3bbb:8340:93a1, 2600:9000:2250:6200:13:3bbb:8340:93a1",True,cloudfront,"api-prod.origindigital-pac.com.au, d2it6lm3v3ssgd.cloudfront.net","ns-1019.awsdns-63.net, ns-1516.awsdns-61.org, ns-2034.awsdns-62.co.uk, ns-52.awsdns-06.com",,,,,
,aplngnoms.originenergy.com.au,203.20.195.78,,NOERROR,,,,,"ns-1282.awsdns-32.org, ns-1747.awsdns-26.co.uk, ns-54.awsdns-06.com, ns-998.awsdns-60.net",,,,,
,assets-digital.origindigital-pac.com.au,"18.154.63.35, 18.154.63.78, 18.154.63.120, 18.154.63.27","ns-1273.awsdns-31.org, awsdns-hostmaster.amazon.com",NOERROR,,True,cloudfront,dh3rh6e3q0lq3.cloudfront.net,"ns-139.awsdns-17.com, ns-1693.awsdns-19.co.uk, ns-868.awsdns-44.net, ns-1273.awsdns-31.org",,,,,
,assets1.originenergy.com.au,,"ns-10.awsdns-01.com, awsdns-hostmaster.amazon.com",NOERROR,,,,products.rack.origindigital-pac.com.au,,,,,,
,assets2.originenergy.com.au,,"ns-10.awsdns-01.com, awsdns-hostmaster.amazon.com",NOERROR,,,,products.rack.origindigital-pac.com.au,,,,,,
,assets4.originenergy.com.au,,"ns-10.awsdns-01.com, awsdns-hostmaster.amazon.com",NOERROR,,,,products.rack.origindigital-pac.com.au,,,,,,
,assist.originenergy.com.au,"13.239.106.54, 3.104.254.41","ns-99.awsdns-12.com, awsdns-hostmaster.amazon.com",NOERROR,,,,"corecollection-consumer-au.fico-ccs.net, prod-inter-171xy1caujwh7-1785485662.ap-southeast-2.elb.amazonaws.com",,,,,,
,auth.api.originenergy.com.au,"52.85.132.35, 52.85.132.49, 52.85.132.54, 52.85.132.98, 205.251.192.228, 205.251.195.46, 205.251.197.45, 205.251.198.244","ns-814.awsdns-37.net, awsdns-hostmaster.amazon.com",NOERROR,"2600:9000:2073:2e00:f:1480:5ac0:93a1, 2600:9000:2073:4000:f:1480:5ac0:93a1, 2600:9000:2073:7c00:f:1480:5ac0:93a1, 2600:9000:2073:6c00:f:1480:5ac0:93a1, 2600:9000:2073:4400:f:1480:5ac0:93a1, 2600:9000:2073:dc00:f:1480:5ac0:93a1, 2600:9000:2073:a800:f:1480:5ac0:93a1, 2600:9000:2073:9200:f:1480:5ac0:93a1, 2600:9000:5303:2e00::1",True,cloudfront,d3rn7ykvezjsdn.cloudfront.net,"ns-1780.awsdns-30.co.uk, ns-814.awsdns-37.net, ns-228.awsdns-28.com, ns-1325.awsdns-37.org",,,,,
,auth.dataportal.originenergy.com.au,"18.160.10.50, 18.160.10.62, 18.160.10.19, 18.160.10.36","ns-261.awsdns-32.com, awsdns-hostmaster.amazon.com",NOERROR,,True,cloudfront,,,,,,,
,auth.mydata.cdr.originenergy.com.au,"104.18.40.111, 172.64.147.145","alexis.ns.cloudflare.com, dns.cloudflare.com",NOERROR,"2606:4700:4400::ac40:9391, 2606:4700:4400::6812:286f",True,cloudflare,,,,,,,
,autodiscover.originenergy.com.au,"52.98.243.8, 40.99.222.184, 52.98.152.168, 40.99.150.120, 40.99.150.88, 52.98.241.200, 52.98.152.248, 52.98.241.168","ns1-ms-acdc.office.com, hostmaster.microsoft.com",NOERROR,"2603:1026:c0d:c2f::8, 2603:1026:c0d:81a::8, 2603:1026:c0d:828::8, 2603:1026:c0d:82a::8, 2603:1026:c0d:82e::8, 2603:1026:c0d:c30::8, 2603:1026:c0d:c1e::8, 2603:1026:c0d:c28::8",,,"autodiscover.outlook.com, atod-g2.tm-4.office.com, autod.ms-acdc-autod.office.com",,,,,,
,backend-im.originenergy.com.au,"52.64.199.163, 52.64.241.112, 54.66.24.112",,NOERROR,,,,lb-ext-1262204475.ap-southeast-2.elb.amazonaws.com,"ns-1456.awsdns-54.org, ns-1910.awsdns-46.co.uk, ns-654.awsdns-17.net, ns-99.awsdns-12.com",,,,,
,bill-download-prod.origindigital-pac.com.au,,"ns-418.awsdns-52.com, hostmaster.cloudfront.net",NOERROR,,,,diqsu22oxs2jh.cloudfront.net,,,,,,
,buyinggroup.originenergy.com.au,"54.66.87.103, 13.55.233.252","ns-1324.awsdns-37.org, awsdns-hostmaster.amazon.com",NOERROR,,,,origin-apps.utilihub.io,,,,,,
,careers.originenergy.com.au,23.253.31.170,"ns4.sap-ag.de, dns.sap-ag.de",NOERROR,,,,"originenergy.jobs2web.com, RMKRS.jobs2web.com",,,,,,
,click.lpg.originenergy.com.au,128.245.32.230,"ns1.exacttarget.com, hostmaster.exacttarget.com",NOERROR,,,,,,,,,,
,clientretention.api.odcdn.com.au,"13.225.78.5, 13.225.78.103, 13.225.78.12, 13.225.78.31","ns-1122.awsdns-12.org, awsdns-hostmaster.amazon.com",NOERROR,,True,cloudfront,dvqgrh6s6hadr.cloudfront.net,"ns-1122.awsdns-12.org, ns-1683.awsdns-18.co.uk, ns-551.awsdns-04.net, ns-89.awsdns-11.com",,,,,
,cloud.lpg.originenergy.com.au,128.245.17.83,"ns1.exacttarget.com, hostmaster.exacttarget.com",NOERROR,,,,,,,,,,
,cloud.retail.originenergy.com.au,,"ns-54.awsdns-06.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
,codesearch.odcdn.com.au,10.201.243.36,"ns-484.awsdns-60.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,"ns-1103.awsdns-09.org, ns-1555.awsdns-02.co.uk, ns-484.awsdns-60.com, ns-555.awsdns-05.net",,,True,10.201.243.36,
,connect.originenergy.com.au,"13.32.27.96, 13.32.27.47, 13.32.27.102, 13.32.27.14","ns-267.awsdns-33.com, awsdns-hostmaster.amazon.com",NOERROR,"2600:9000:211e:3600:1a:e643:6a00:93a1, 2600:9000:211e:5000:1a:e643:6a00:93a1, 2600:9000:211e:7e00:1a:e643:6a00:93a1, 2600:9000:211e:4e00:1a:e643:6a00:93a1, 2600:9000:211e:e800:1a:e643:6a00:93a1, 2600:9000:211e:5200:1a:e643:6a00:93a1, 2600:9000:211e:ec00:1a:e643:6a00:93a1, 2600:9000:211e:a800:1a:e643:6a00:93a1",True,cloudfront,"connect.origindigital-pac.com.au, d10qyg37n429pk.cloudfront.net","ns-1931.awsdns-49.co.uk, ns-528.awsdns-02.net, ns-1181.awsdns-19.org, ns-267.awsdns-33.com",,,,,
,crmnow.originenergy.com.au,,"ns-54.awsdns-06.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,"mx1.emailsrvr.com, mx2.emailsrvr.com",v=spf1 mx -all,,,
,csc.originenergy.com.au,203.20.192.33,"ns-54.awsdns-06.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,"mailbackup.originenergy.com.au, mail.originenergy.com.au",v=spf1 mx -all,,,
,dashboard.mydata.cdr.originenergy.com.au,"172.64.147.145, 104.18.40.111","alexis.ns.cloudflare.com, dns.cloudflare.com",NOERROR,"2606:4700:4400::6812:286f, 2606:4700:4400::ac40:9391",True,cloudflare,,,,,,,
,dev-iproc.originenergy.com.au,203.20.192.90,"ns-54.awsdns-06.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
,dev.connect.originenergy.com.au,"13.224.187.48, 13.224.187.43, 13.224.187.55, 13.224.187.63","ns-19.awsdns-02.com, awsdns-hostmaster.amazon.com",NOERROR,"2600:9000:207d:6000:15:58b9:8080:93a1, 2600:9000:207d:e00:15:58b9:8080:93a1, 2600:9000:207d:e200:15:58b9:8080:93a1, 2600:9000:207d:b400:15:58b9:8080:93a1, 2600:9000:207d:2c00:15:58b9:8080:93a1, 2600:9000:207d:c800:15:58b9:8080:93a1, 2600:9000:207d:2800:15:58b9:8080:93a1, 2600:9000:207d:a000:15:58b9:8080:93a1",True,cloudfront,"dev-connect.origindigital-dac.com.au, dpxuqdzxj3bwi.cloudfront.net",,,,,,
