new,host,mx,soa,status_code,a,cname,txt,ns,has_internal_ips,internal_ips,cdn,cdn-name,aaaa
[x],api-stratum-live.aw096.c.fidelity.com,,"ns-1755.awsdns-27.co.uk, awsdns-hostmaster.amazon.com",NOERROR,"54.171.90.156, 34.246.14.122",,,,,,,,
[x],atim.fidelity.com,,,NOERROR,"155.199.74.35, 155.199.206.35, 155.199.42.35, 155.199.90.35",atim.iws.fidelity.com,,,,,,,
[x],capitalmarketssc-dr.fidelity.com,,"ns1-201.azure-dns.com, msnhst.microsoft.com",NOERROR,13.89.172.11,"fibetsitecorecentralus-cd.azurewebsites.net, waws-prod-dm1-167.sip.azurewebsites.windows.net, waws-prod-dm1-167.centralus.cloudapp.azure.com",,,,,True,azure,
[x],clearingcustodysc-prod.fidelity.com,,"ns1-06.azure-dns.com, msnhst.microsoft.com",NOERROR,20.49.97.6,"fibetsitecoreeastus2-cd.azurewebsites.net, waws-prod-bn1-085.sip.azurewebsites.windows.net, waws-prod-bn1-085-ae56.eastus2.cloudapp.azure.com",,,,,True,azure,
[x],era-oma1.fidelity.com,,"a8-64.akam.net, fwis.fmr.com",NOERROR,,,,,,,,,
[x],era-rtp1.fidelity.com,,"a8-64.akam.net, fwis.fmr.com",NOERROR,155.199.204.145,,,,,,,,
[x],events.fidelity.com,,"a8-64.akam.net, fwis.fmr.com",NOERROR,,,v=spf1 ip4:75.78.1.205 ip4:75.78.1.206 ip4:75.78.1.207 ip4:75.78.1.208 include:_spf.createsend.com -all,,,,,,
[x],familyofficesc-dr.fidelity.com,,"ns1-201.azure-dns.com, msnhst.microsoft.com",NOERROR,13.89.172.11,"fibetsitecorecentralus-cd.azurewebsites.net, waws-prod-dm1-167.sip.azurewebsites.windows.net, waws-prod-dm1-167.centralus.cloudapp.azure.com",,,,,True,azure,
[x],familyofficesc-prod.fidelity.com,,"ns1-06.azure-dns.com, msnhst.microsoft.com",NOERROR,20.49.97.6,"fibetsitecoreeastus2-cd.azurewebsites.net, waws-prod-bn1-085.sip.azurewebsites.windows.net, waws-prod-bn1-085-ae56.eastus2.cloudapp.azure.com",,,,,True,azure,
[x],fastquote-east2a.aw018.c.fidelity.com,,"ns-885.awsdns-46.net, awsdns-hostmaster.amazon.com",NOERROR,"3.135.35.149, 3.13.77.61",,,,,,,,
[x],fidelity.com,fidelity-com.mail.protection.outlook.com,"a8-64.akam.net, fwis.fmr.com",NOERROR,"104.126.37.130, 104.126.37.147",,"pardot_61712_*=d2ab3220a3c15a3c9764bc705dd401117f95a855d698f2b2d3a758507012466f, postman-domain-verification=3b0e71350416978902416243223b5761c215c5287a7556ecfe7413179890aa64, U47lFyueWciuYOX19/uxiR+LLAQE5m2s7gsctaqOZw65StuGyFY+5ZesXSNf3nPcgRNCq1MXG0GclI9e+AidsA==, apple-domain-verification=g5E1fUMZqpLJLnET, docker-verification=789887f6-0088-4722-b242-2fc6e0682f91, v=spf1 include:_fidelitynets.fmr.com include:_fidelitypartners-a.fidelity.com -all, MS=ms52443120, google-site-verification=wb5-HZE0toJ_WuU5-HV4pMwYEDbYjd5j7FpHxxnFU6g, docusign=e81e1a6e-c7da-4f4d-a418-ccdcbb686da3, google-site-verification=yt1lNuPjFTaCNX5FNks6zB1uCyeubgaujwzfkqzQzWk, docusign=11de847a-3694-436c-b539-b2156b246a5b, 92a1QMpfM00Aigl/mLy07NM2nbqjWaXFRV/J9NyOrcpH3zsAOozhEiVdZ39pvYh0lgo/SdbmTl92ilugO18c1w==","a2-65.akam.net, udns2.cscdns.uk, a8-64.akam.net, udns1.cscdns.net, a1-188.akam.net",,,,,
[x],fidelitydigitalassetsrtp2.fidelity.com,,"a8-64.akam.net, fwis.fmr.com",NOERROR,155.199.42.101,,,,,,,,
[x],fidelityinstitutionalsc-prod.fidelity.com,,"ns1-06.azure-dns.com, msnhst.microsoft.com",NOERROR,20.49.97.6,"fibetsitecoreeastus2-cd.azurewebsites.net, waws-prod-bn1-085.sip.azurewebsites.windows.net, waws-prod-bn1-085-ae56.eastus2.cloudapp.azure.com",,,,,True,azure,
[x],fidisclosuressc-dr.fidelity.com,,"ns1-201.azure-dns.com, msnhst.microsoft.com",NOERROR,13.89.172.11,"fibetsitecorecentralus-cd.azurewebsites.net, waws-prod-dm1-167.sip.azurewebsites.windows.net, waws-prod-dm1-167.centralus.cloudapp.azure.com",,,,,True,azure,
[x],fidisclosuressc-prod.fidelity.com,,"ns1-06.azure-dns.com, msnhst.microsoft.com",NOERROR,20.49.97.6,"fibetsitecoreeastus2-cd.azurewebsites.net, waws-prod-bn1-085.sip.azurewebsites.windows.net, waws-prod-bn1-085-ae56.eastus2.cloudapp.azure.com",,,,,True,azure,
[x],forgesc-dr.fidelity.com,,"ns1-201.azure-dns.com, msnhst.microsoft.com",NOERROR,13.89.172.11,"fibetsitecorecentralus-cd.azurewebsites.net, waws-prod-dm1-167.sip.azurewebsites.windows.net, waws-prod-dm1-167.centralus.cloudapp.azure.com",,,,,True,azure,
