input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_wildcard_certificate,tls_tls_connection,tls_sni,cdn_name,port,url,scheme,webserver,content_type,method,host,path,favicon,a_,tech_,lines,failed,cdn,tls_subject_org_,final_url
autoconfig.codeigniter.com,Private Email - Web-Based Business Hosting Solution,200,19576,privateemail.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-26T00:00:00Z,2024-05-26T23:59:59Z,"CN=privateemail.com, O=Namecheap\, Inc., ST=Arizona, C=US, businessCategory=Private Organization, jurisdictionStateOrProvince=Delaware, jurisdictionCountry=US, serialNumber=4077265, businessCategory=Private Organization, jurisdictionStateOrProvince=Delaware, jurisdictionCountry=US",privateemail.com,www.privateemail.com,"CN=Sectigo RSA Extended Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Extended Validation Secure Server CA,Sectigo Limited,279c3f2a35fe5c774386251d624ce51d,c0b27704c81b16be2d3759ee6228fd1401331f942c6b8f7757d646d4a8d67c38,,ctls,privateemail.com,,443,https://autoconfig.codeigniter.com:443,https,Apache,text/html,GET,198.54.122.136,/,-799121319,198.54.122.136,HSTS,1,False,,"Namecheap, Inc.",https://privateemail.com/
codeigniter.com,Just a moment...,403,5628,codeigniter.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-06-12T01:47:45Z,2023-09-10T01:47:44Z,CN=codeigniter.com,codeigniter.com,codeigniter.com,"CN=E1, O=Let's Encrypt, C=US",E1,Let's Encrypt,f327d7d20469856131665ddfd27d24f1,5d26a3d585943612491e533d01d54aecf261f1bdfad8a2710e0b3d71893fbd4c,True,ctls,codeigniter.com,cloudflare,443,https://codeigniter.com:443,https,cloudflare,text/html,GET,188.114.97.3,/,391762958,2a06:98c1:3121::3,HTTP/3,1,False,True,,
forum.codeigniter.com,Just a moment...,403,5642,forum.codeigniter.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-06-12T01:47:45Z,2023-09-10T01:47:44Z,CN=codeigniter.com,codeigniter.com,codeigniter.com,"CN=E1, O=Let's Encrypt, C=US",E1,Let's Encrypt,f327d7d20469856131665ddfd27d24f1,5d26a3d585943612491e533d01d54aecf261f1bdfad8a2710e0b3d71893fbd4c,True,ctls,forum.codeigniter.com,cloudflare,443,https://forum.codeigniter.com:443,https,cloudflare,text/html,GET,188.114.96.3,/,912141900,2a06:98c1:3121::3,HTTP/3,1,False,True,,
mail.codeigniter.com,Private Email - Web-Based Business Hosting Solution,200,19576,privateemail.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-26T00:00:00Z,2024-05-26T23:59:59Z,"CN=privateemail.com, O=Namecheap\, Inc., ST=Arizona, C=US, businessCategory=Private Organization, jurisdictionStateOrProvince=Delaware, jurisdictionCountry=US, serialNumber=4077265, businessCategory=Private Organization, jurisdictionStateOrProvince=Delaware, jurisdictionCountry=US",privateemail.com,www.privateemail.com,"CN=Sectigo RSA Extended Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Extended Validation Secure Server CA,Sectigo Limited,279c3f2a35fe5c774386251d624ce51d,c0b27704c81b16be2d3759ee6228fd1401331f942c6b8f7757d646d4a8d67c38,,ctls,privateemail.com,,443,https://mail.codeigniter.com:443,https,Apache,text/html,GET,198.54.122.136,/,-799121319,198.54.122.136,HSTS,1,False,,"Namecheap, Inc.",https://privateemail.com/
