new,host,ttl,a,aaaa,soa,status_code,cname,mx,ns,txt,caa
[x],office.azureedge.net,1800,152.199.19.161,2606:2800:133:206e:1315:22a5:2006:24fd,"{'name': 'wpc.v0cdn.net', 'ns': 'ns1.v0cdn.net', 'mailbox': 'noc.edgecast.com', 'serial': 1609952856, 'refresh': 3600, 'retry': 600, 'expire': 604800, 'minttl': 600}, {'name': 'wpc.v0cdn.net', 'ns': 'ns1.v0cdn.net', 'mailbox': 'noc.edgecast.com', 'serial': 1609952856, 'refresh': 3600, 'retry': 600, 'expire': 604800, 'minttl': 600}",NOERROR,"office.ec.azureedge.net, cs9.wpc.v0cdn.net",,,,
[x],offlinespeedcam-cdn.azureedge.net,1800,152.199.19.161,2606:2800:133:206e:1315:22a5:2006:24fd,"{'name': 'wpc.v0cdn.net', 'ns': 'ns1.v0cdn.net', 'mailbox': 'noc.edgecast.com', 'serial': 1609952856, 'refresh': 3600, 'retry': 600, 'expire': 604800, 'minttl': 600}, {'name': 'wpc.v0cdn.net', 'ns': 'ns1.v0cdn.net', 'mailbox': 'noc.edgecast.com', 'serial': 1609952856, 'refresh': 3600, 'retry': 600, 'expire': 604800, 'minttl': 600}",NOERROR,"offlinespeedcam-cdn.ec.azureedge.net, cs9.wpc.v0cdn.net",,,,
[x],payment.azureedge.net,1800,152.199.19.161,,"{'name': 'wpc.v0cdn.net', 'ns': 'ns1.v0cdn.net', 'mailbox': 'noc.edgecast.com', 'serial': 1609952856, 'refresh': 3600, 'retry': 600, 'expire': 604800, 'minttl': 600}, {'name': 'wpc.v0cdn.net', 'ns': 'ns1.v0cdn.net', 'mailbox': 'noc.edgecast.com', 'serial': 1609952856, 'refresh': 3600, 'retry': 600, 'expire': 604800, 'minttl': 600}, {'name': 'wpc.v0cdn.net', 'ns': 'ns1.v0cdn.net', 'mailbox': 'noc.edgecast.com', 'serial': 1609952856, 'refresh': 3600, 'retry': 600, 'expire': 604800, 'minttl': 600}, {'name': 'wpc.v0cdn.net', 'ns': 'ns1.v0cdn.net', 'mailbox': 'noc.edgecast.com', 'serial': 1609952856, 'refresh': 3600, 'retry': 600, 'expire': 604800, 'minttl': 600}",NOERROR,"payment.ec.azureedge.net, cs9.wpc.v0cdn.net",,,,
[x],plugins.azureedge.net,1800,152.199.19.161,2606:2800:133:206e:1315:22a5:2006:24fd,"{'name': 'wpc.v0cdn.net', 'ns': 'ns1.v0cdn.net', 'mailbox': 'noc.edgecast.com', 'serial': 1609952856, 'refresh': 3600, 'retry': 600, 'expire': 604800, 'minttl': 600}, {'name': 'wpc.v0cdn.net', 'ns': 'ns1.v0cdn.net', 'mailbox': 'noc.edgecast.com', 'serial': 1609952856, 'refresh': 3600, 'retry': 600, 'expire': 604800, 'minttl': 600}, {'name': 'wpc.v0cdn.net', 'ns': 'ns1.v0cdn.net', 'mailbox': 'noc.edgecast.com', 'serial': 1609952856, 'refresh': 3600, 'retry': 600, 'expire': 604800, 'minttl': 600}, {'name': 'wpc.v0cdn.net', 'ns': 'ns1.v0cdn.net', 'mailbox': 'noc.edgecast.com', 'serial': 1609952856, 'refresh': 3600, 'retry': 600, 'expire': 604800, 'minttl': 600}, {'name': 'wpc.v0cdn.net', 'ns': 'ns1.v0cdn.net', 'mailbox': 'noc.edgecast.com', 'serial': 1609952856, 'refresh': 3600, 'retry': 600, 'expire': 604800, 'minttl': 600}",NOERROR,"plugins.ec.azureedge.net, cs9.wpc.v0cdn.net",,,,
[x],prometheus.azureedge.net,1800,13.107.253.45,2620:1ec:bdf::60,"{'name': 't-msedge.net', 'ns': 'ns1.t-msedge.net', 'mailbox': 'msnhst.microsoft.com', 'serial': 2017103101, 'refresh': 1800, 'retry': 900, 'expire': 2419200, 'minttl': 60}, {'name': 'fb-t-msedge.net', 'ns': 'ns1.fb-t-msedge.net', 'mailbox': 'msnhst.microsoft.com', 'serial': 2018031501, 'refresh': 1800, 'retry': 900, 'expire': 2419200, 'minttl': 60}, {'name': 't-msedge.net', 'ns': 'ns1.t-msedge.net', 'mailbox': 'msnhst.microsoft.com', 'serial': 2017103101, 'refresh': 1800, 'retry': 900, 'expire': 2419200, 'minttl': 60}, {'name': 'fb-t-msedge.net', 'ns': 'ns1.fb-t-msedge.net', 'mailbox': 'msnhst.microsoft.com', 'serial': 2018031501, 'refresh': 1800, 'retry': 900, 'expire': 2419200, 'minttl': 60}, {'name': 'fb-t-msedge.net', 'ns': 'ns1.fb-t-msedge.net', 'mailbox': 'msnhst.microsoft.com', 'serial': 2018031501, 'refresh': 1800, 'retry': 900, 'expire': 2419200, 'minttl': 60}",NOERROR,"prometheus.afd.azureedge.net, azureedge-t-prod.trafficmanager.net, shed.dual-low.s-part-0017.t-0009.t-msedge.net, azurefd-t-fb-prod.trafficmanager.net, dual.s-part-0017.t-0009.fb-t-msedge.net, s-part-0017.t-0009.fb-t-msedge.net, shed.dual-low.s-part-0032.t-0009.t-msedge.net, s-part-0032.t-0009.t-msedge.net, shed.dual-low.s-part-0039.t-0009.t-msedge.net, dual.s-part-0039.t-0009.fb-t-msedge.net, s-part-0039.t-0009.fb-t-msedge.net, s-part-0039.t-0009.t-msedge.net, shed.dual-low.s-part-0014.t-0009.t-msedge.net, dual.s-part-0014.t-0009.fb-t-msedge.net, s-part-0014.t-0009.fb-t-msedge.net",,,,
[x],public.azureedge.net,1800,152.199.21.175,2606:2800:11f:1cb7:261b:1f9c:2074:3c,"{'name': 'wpc.systemcdn.net', 'ns': 'ns1.systemcdn.net', 'mailbox': 'noc.systemcdn.net', 'serial': 1725354923, 'refresh': 3600, 'retry': 600, 'expire': 604800, 'minttl': 600}, {'name': 'wpc.systemcdn.net', 'ns': 'ns1.systemcdn.net', 'mailbox': 'noc.systemcdn.net', 'serial': 1725354923, 'refresh': 3600, 'retry': 600, 'expire': 604800, 'minttl': 600}, {'name': 'wpc.systemcdn.net', 'ns': 'ns1.systemcdn.net', 'mailbox': 'noc.systemcdn.net', 'serial': 1725354923, 'refresh': 3600, 'retry': 600, 'expire': 604800, 'minttl': 600}, {'name': 'wpc.systemcdn.net', 'ns': 'ns1.systemcdn.net', 'mailbox': 'noc.systemcdn.net', 'serial': 1725354923, 'refresh': 3600, 'retry': 600, 'expire': 604800, 'minttl': 600}",NOERROR,"public.ec.azureedge.net, scdn1855d.wpc.bfe36.systemcdn.net, sni1gl.wpc.systemcdn.net",,,,
[x],s1.azureedge.net,1800,152.199.19.161,2606:2800:133:206e:1315:22a5:2006:24fd,"{'name': 'wpc.v0cdn.net', 'ns': 'ns1.v0cdn.net', 'mailbox': 'noc.edgecast.com', 'serial': 1609952856, 'refresh': 3600, 'retry': 600, 'expire': 604800, 'minttl': 600}, {'name': 'wpc.v0cdn.net', 'ns': 'ns1.v0cdn.net', 'mailbox': 'noc.edgecast.com', 'serial': 1609952856, 'refresh': 3600, 'retry': 600, 'expire': 604800, 'minttl': 600}, {'name': 'wpc.v0cdn.net', 'ns': 'ns1.v0cdn.net', 'mailbox': 'noc.edgecast.com', 'serial': 1609952856, 'refresh': 3600, 'retry': 600, 'expire': 604800, 'minttl': 600}",NOERROR,"s1.ec.azureedge.net, cs9.wpc.v0cdn.net",,,,
[x],search.azureedge.net,1800,152.199.21.175,,"{'name': 'wpc.nucdn.net', 'ns': 'ns1.edgecastcdn.net', 'mailbox': 'noc.edgecast.com', 'serial': 1721453107, 'refresh': 3600, 'retry': 600, 'expire': 604800, 'minttl': 600}, {'name': 'wpc.nucdn.net', 'ns': 'ns1.edgecastcdn.net', 'mailbox': 'noc.edgecast.com', 'serial': 1721453107, 'refresh': 3600, 'retry': 600, 'expire': 604800, 'minttl': 600}, {'name': 'wpc.nucdn.net', 'ns': 'ns1.edgecastcdn.net', 'mailbox': 'noc.edgecast.com', 'serial': 1721453107, 'refresh': 3600, 'retry': 600, 'expire': 604800, 'minttl': 600}, {'name': 'wpc.nucdn.net', 'ns': 'ns1.edgecastcdn.net', 'mailbox': 'noc.edgecast.com', 'serial': 1721453107, 'refresh': 3600, 'retry': 600, 'expire': 604800, 'minttl': 600}",NOERROR,"search.ec.azureedge.net, scdnd7bf.wpc.9c067.nucdn.net, sni1gl.wpc.nucdn.net",,,,
[x],shopify.azureedge.net,1800,13.107.246.45,2620:1ec:29:1::40,"{'name': 't-msedge.net', 'ns': 'ns1.t-msedge.net', 'mailbox': 'msnhst.microsoft.com', 'serial': 2017103101, 'refresh': 1800, 'retry': 900, 'expire': 2419200, 'minttl': 60}, {'name': 't-msedge.net', 'ns': 'ns1.t-msedge.net', 'mailbox': 'msnhst.microsoft.com', 'serial': 2017103101, 'refresh': 1800, 'retry': 900, 'expire': 2419200, 'minttl': 60}, {'name': 'fb-t-msedge.net', 'ns': 'ns1.fb-t-msedge.net', 'mailbox': 'msnhst.microsoft.com', 'serial': 2018031501, 'refresh': 1800, 'retry': 900, 'expire': 2419200, 'minttl': 60}",NOERROR,"shopify.afd.azureedge.net, azureedge-t-prod.trafficmanager.net, shed.dual-low.s-part-0017.t-0009.t-msedge.net, s-part-0017.t-0009.t-msedge.net, shed.dual-low.s-part-0012.t-0009.t-msedge.net, azurefd-t-fb-prod.trafficmanager.net, dual.s-part-0012.t-0009.fb-t-msedge.net, s-part-0012.t-0009.fb-t-msedge.net, shed.dual-low.s-part-0032.t-0009.t-msedge.net, s-part-0032.t-0009.t-msedge.net, shed.dual-low.s-part-0014.t-0009.t-msedge.net, dual.s-part-0014.t-0009.fb-t-msedge.net, s-part-0014.t-0009.fb-t-msedge.net",,,,
[x],stage.azureedge.net,1800,152.199.19.161,,"{'name': 'wpc.v0cdn.net', 'ns': 'ns1.v0cdn.net', 'mailbox': 'noc.edgecast.com', 'serial': 1609952856, 'refresh': 3600, 'retry': 600, 'expire': 604800, 'minttl': 600}, {'name': 'wpc.v0cdn.net', 'ns': 'ns1.v0cdn.net', 'mailbox': 'noc.edgecast.com', 'serial': 1609952856, 'refresh': 3600, 'retry': 600, 'expire': 604800, 'minttl': 600}, {'name': 'wpc.v0cdn.net', 'ns': 'ns1.v0cdn.net', 'mailbox': 'noc.edgecast.com', 'serial': 1609952856, 'refresh': 3600, 'retry': 600, 'expire': 604800, 'minttl': 600}",NOERROR,"stage.ec.azureedge.net, cs9.wpc.v0cdn.net",,,,
[x],staging.azureedge.net,1800,13.107.246.67,2620:1ec:bdf::67,"{'name': 't-msedge.net', 'ns': 'ns1.t-msedge.net', 'mailbox': 'msnhst.microsoft.com', 'serial': 2017103101, 'refresh': 1800, 'retry': 900, 'expire': 2419200, 'minttl': 60}, {'name': 't-msedge.net', 'ns': 'ns1.t-msedge.net', 'mailbox': 'msnhst.microsoft.com', 'serial': 2017103101, 'refresh': 1800, 'retry': 900, 'expire': 2419200, 'minttl': 60}, {'name': 'fb-t-msedge.net', 'ns': 'ns1.fb-t-msedge.net', 'mailbox': 'msnhst.microsoft.com', 'serial': 2018031501, 'refresh': 1800, 'retry': 900, 'expire': 2419200, 'minttl': 60}",NOERROR,"staging.afd.azureedge.net, azureedge-t-prod.trafficmanager.net, shed.dual-low.s-part-0039.t-0009.t-msedge.net, s-part-0039.t-0009.t-msedge.net, shed.dual-low.s-part-0041.t-0009.t-msedge.net, s-part-0041.t-0009.t-msedge.net, shed.dual-low.s-part-0025.t-0009.t-msedge.net, s-part-0025.t-0009.t-msedge.net, azurefd-t-fb-prod.trafficmanager.net, dual.s-part-0039.t-0009.fb-t-msedge.net, s-part-0039.t-0009.fb-t-msedge.net",,,,
