new,host,a,cname,soa,status_code,cdn,cdn-name,txt,aaaa,ns,mx,caa,has_internal_ips,internal_ips
[x],0-courier2.design-staging.gitlab.com,,,"diva.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,google,,,,,,,
[x],0es.design-staging.gitlab.com,35.196.77.186,design-staging.gitlab.com,"diva.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,google,,,,,,,
[x],0fwzru.design-staging.gitlab.com,35.196.77.186,design-staging.gitlab.com,"diva.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,google,,,,,,,
[x],0profile.design-staging.gitlab.com,35.196.77.186,design-staging.gitlab.com,"diva.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,google,,,,,,,
[x],108-80.design-staging.gitlab.com,35.196.77.186,design-staging.gitlab.com,"diva.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,google,,,,,,,
[x],109-46.design-staging.gitlab.com,35.196.77.186,design-staging.gitlab.com,"diva.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,google,,,,,,,
[x],10b.design-staging.gitlab.com,35.196.77.186,design-staging.gitlab.com,"diva.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,google,,,,,,,
[x],10k-aws.testbed.gitlab.net,50.16.54.103,,"arya.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,,
[x],10k-hybrid-aws-services.testbed.gitlab.net,54.85.172.12,,"arya.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,,
[x],10k-hybrid.testbed.gitlab.net,34.148.72.51,,"arya.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,google,,,,,,,
[x],10k.testbed.gitlab.net,34.73.165.75,,"arya.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,google,,,,,,,
[x],113-106-53.design-staging.gitlab.com,35.196.77.186,design-staging.gitlab.com,"diva.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,google,,,,,,,
[x],113-106-62.design-staging.gitlab.com,35.196.77.186,design-staging.gitlab.com,"diva.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,google,,,,,,,
