new,host,ttl,soa,status_code,txt,a,aaaa,cname,ns,mx
[x],app-staging.gmelius.com,299,"{'name': 'web.app', 'ns': 'ns1.googledomains.com', 'mailbox': 'cloud-dns-hostmaster.google.com', 'serial': 1, 'refresh': 21600, 'retry': 3600, 'expire': 259200, 'minttl': 300}, {'name': 'web.app', 'ns': 'ns1.googledomains.com', 'mailbox': 'cloud-dns-hostmaster.google.com', 'serial': 1, 'refresh': 21600, 'retry': 3600, 'expire': 259200, 'minttl': 300}, {'name': 'web.app', 'ns': 'ns1.googledomains.com', 'mailbox': 'cloud-dns-hostmaster.google.com', 'serial': 1, 'refresh': 21600, 'retry': 3600, 'expire': 259200, 'minttl': 300}, {'name': 'web.app', 'ns': 'ns1.googledomains.com', 'mailbox': 'cloud-dns-hostmaster.google.com', 'serial': 1, 'refresh': 21600, 'retry': 3600, 'expire': 259200, 'minttl': 300}, {'name': 'web.app', 'ns': 'ns1.googledomains.com', 'mailbox': 'cloud-dns-hostmaster.google.com', 'serial': 1, 'refresh': 21600, 'retry': 3600, 'expire': 259200, 'minttl': 300}",NOERROR,,199.36.158.100,2620:0:890::100,gmelius-staging-223008.web.app,,
[x],gmelius.com,300,"{'name': 'gmelius.com', 'ns': 'april.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2351078025, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'gmelius.com', 'ns': 'april.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2351078025, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'gmelius.com', 'ns': 'april.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2351078025, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}",NOERROR,,,"2606:4700:20::681a:e6f, 2606:4700:20::681a:f6f, 2606:4700:20::ac43:441b",,"jack.ns.cloudflare.com, april.ns.cloudflare.com","aspmx.l.google.com, alt2.aspmx.l.google.com, alt4.aspmx.l.google.com, alt1.aspmx.l.google.com, alt3.aspmx.l.google.com"
,api-dev.gmelius.com,300,"{'name': 'gmelius.com', 'ns': 'april.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2351078025, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'gmelius.com', 'ns': 'april.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2351078025, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'gmelius.com', 'ns': 'april.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2351078025, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'gmelius.com', 'ns': 'april.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2351078025, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'gmelius.com', 'ns': 'april.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2351078025, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}",NOERROR,,"104.26.14.111, 104.26.15.111, 172.67.68.27","2a06:98c1:3122:e000::5, 2a06:98c1:3123:e000::5",,,
,api-staging.gmelius.com,300,"{'name': 'gmelius.com', 'ns': 'april.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2351078025, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'gmelius.com', 'ns': 'april.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2351078025, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'gmelius.com', 'ns': 'april.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2351078025, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'gmelius.com', 'ns': 'april.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2351078025, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}",NOERROR,,"104.26.15.111, 104.26.14.111, 172.67.68.27","2a06:98c1:3123:e000::5, 2a06:98c1:3122:e000::5",,,
,api-staging2.gmelius.com,1800,"{'name': 'gmelius.com', 'ns': 'april.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2351078025, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'gmelius.com', 'ns': 'april.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2351078025, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'gmelius.com', 'ns': 'april.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2351078025, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'gmelius.com', 'ns': 'april.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2351078025, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'gmelius.com', 'ns': 'april.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2351078025, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}",NOERROR,,,,,,
,api-stagingg.gmelius.com,1463,"{'name': 'gmelius.com', 'ns': 'april.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2351078025, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'gmelius.com', 'ns': 'april.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2351078025, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'gmelius.com', 'ns': 'april.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2351078025, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'gmelius.com', 'ns': 'april.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2351078025, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'gmelius.com', 'ns': 'april.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2351078025, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'gmelius.com', 'ns': 'april.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2351078025, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'gmelius.com', 'ns': 'april.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2351078025, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}",NOERROR,google-site-verification=K8bSHCfRPvcgsgMukk4zIZYhNr83VpaZ9HVhBesL94Y,,,,,
,api.gmelius.com,300,"{'name': 'gmelius.com', 'ns': 'april.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2351078025, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'gmelius.com', 'ns': 'april.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2351078025, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'gmelius.com', 'ns': 'april.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2351078025, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'gmelius.com', 'ns': 'april.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2351078025, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}",NOERROR,google-site-verification=FdtpCsSNQO8w38J0HcM6oaX4aTFqvyUkBJSh8V9vErI,"104.26.15.111, 172.67.68.27, 104.26.14.111",,,,
,apitest2.gmelius.com,1474,"{'name': 'gmelius.com', 'ns': 'april.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2351078025, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'gmelius.com', 'ns': 'april.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2351078025, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'gmelius.com', 'ns': 'april.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2351078025, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'gmelius.com', 'ns': 'april.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2351078025, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'gmelius.com', 'ns': 'april.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2351078025, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'gmelius.com', 'ns': 'april.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2351078025, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'gmelius.com', 'ns': 'april.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2351078025, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}",NOERROR,google-site-verification=VSA8IHrhYBiSWH-d045-rV4cAQ9caEwp4CXnQKKYqcA,,,,,
,app.gmelius.com,1800,"{'name': 'gmelius.com', 'ns': 'april.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2351078025, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'gmelius.com', 'ns': 'april.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2351078025, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'gmelius.com', 'ns': 'april.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2351078025, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'gmelius.com', 'ns': 'april.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2351078025, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'gmelius.com', 'ns': 'april.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2351078025, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'gmelius.com', 'ns': 'april.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2351078025, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'gmelius.com', 'ns': 'april.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2351078025, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}",NOERROR,,,,,,
,billing.gmelius.com,300,"{'name': 'cloudflare.net', 'ns': 'ns1.cloudflare.net', 'mailbox': 'dns.cloudflare.com', 'serial': 2351095517, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'cloudflare.net', 'ns': 'ns1.cloudflare.net', 'mailbox': 'dns.cloudflare.com', 'serial': 2351095517, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'cloudflare.net', 'ns': 'ns1.cloudflare.net', 'mailbox': 'dns.cloudflare.com', 'serial': 2351095517, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'cloudflare.net', 'ns': 'ns1.cloudflare.net', 'mailbox': 'dns.cloudflare.com', 'serial': 2351095517, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}",NOERROR,,"172.64.152.100, 104.18.35.156","2606:4700:4400::ac40:9864, 2606:4700:4400::6812:239c","hosted-checkout.stripecdn.com, hosted-checkout.stripecdn.com.cdn.cloudflare.net",,
