new,host,ttl,a,aaaa,soa,status_code,cname,mx,ns
[x],gobugfree.com,300,,"2606:4700:20::681a:15e, 2606:4700:20::ac43:45bb, 2606:4700:20::681a:5e","{'name': 'gobugfree.com', 'ns': 'clint.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2349587541, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'gobugfree.com', 'ns': 'clint.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2349587541, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}",NOERROR,,gobugfree-com.mail.protection.outlook.com,"clint.ns.cloudflare.com, sasha.ns.cloudflare.com"
,app.gobugfree.com,300,"172.67.69.187, 104.26.1.94, 104.26.0.94",,"{'name': 'gobugfree.com', 'ns': 'clint.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2349587541, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'gobugfree.com', 'ns': 'clint.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2349587541, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'gobugfree.com', 'ns': 'clint.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2349587541, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'gobugfree.com', 'ns': 'clint.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2349587541, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'gobugfree.com', 'ns': 'clint.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2349587541, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}",NOERROR,,,
,autodiscover.gobugfree.com,3600,"52.98.243.8, 52.98.152.184, 40.99.150.40, 40.99.150.24, 40.99.214.40, 40.99.150.104, 52.98.243.56, 40.99.150.8","2603:1026:c0d:c31::8, 2603:1026:c0d:1801::8, 2603:1026:c0d:829::8, 2603:1026:c0d:82f::8","{'name': 'ms-acdc-autod.office.com', 'ns': 'ns1-ms-acdc.office.com', 'mailbox': 'hostmaster.microsoft.com', 'serial': 2024431563, 'refresh': 900, 'retry': 600, 'expire': 86400, 'minttl': 60}, {'name': 'ms-acdc-autod.office.com', 'ns': 'ns1-ms-acdc.office.com', 'mailbox': 'hostmaster.microsoft.com', 'serial': 2024431723, 'refresh': 900, 'retry': 600, 'expire': 86400, 'minttl': 60}, {'name': 'ms-acdc-autod.office.com', 'ns': 'ns1-ms-acdc.office.com', 'mailbox': 'hostmaster.microsoft.com', 'serial': 2024394873, 'refresh': 900, 'retry': 600, 'expire': 86400, 'minttl': 60}, {'name': 'ms-acdc-autod.office.com', 'ns': 'ns1-ms-acdc.office.com', 'mailbox': 'hostmaster.microsoft.com', 'serial': 2024422359, 'refresh': 900, 'retry': 600, 'expire': 86400, 'minttl': 60}",NOERROR,"autodiscover.outlook.com, atod-g2.tm-4.office.com, autod.ms-acdc-autod.office.com",,
,backend.gobugfree.com,300,,"2606:4700:20::681a:5e, 2606:4700:20::681a:15e, 2606:4700:20::ac43:45bb","{'name': 'gobugfree.com', 'ns': 'clint.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2349587541, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'gobugfree.com', 'ns': 'clint.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2349587541, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'gobugfree.com', 'ns': 'clint.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2349587541, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}",NOERROR,,,
,cdn.gobugfree.com,1800,,,"{'name': 'gobugfree.com', 'ns': 'clint.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2349587541, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'gobugfree.com', 'ns': 'clint.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2349587541, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'gobugfree.com', 'ns': 'clint.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2349587541, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'gobugfree.com', 'ns': 'clint.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2349587541, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'gobugfree.com', 'ns': 'clint.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2349587541, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'gobugfree.com', 'ns': 'clint.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2349587541, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}",NOERROR,,,
,cms.gobugfree.com,300,"104.26.0.94, 172.67.69.187, 104.26.1.94","2a06:98c1:3122:e000::5, 2a06:98c1:3123:e000::5","{'name': 'gobugfree.com', 'ns': 'clint.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2349587541, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'gobugfree.com', 'ns': 'clint.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2349587541, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'gobugfree.com', 'ns': 'clint.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2349587541, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'gobugfree.com', 'ns': 'clint.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2349587541, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}",NOERROR,,,
,demo.gobugfree.com,1800,,,"{'name': 'gobugfree.com', 'ns': 'clint.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2349587541, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'gobugfree.com', 'ns': 'clint.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2349587541, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'gobugfree.com', 'ns': 'clint.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2349587541, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'gobugfree.com', 'ns': 'clint.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2349587541, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'gobugfree.com', 'ns': 'clint.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2349587541, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}",NOERROR,,,
,id.gobugfree.com,300,"104.26.0.94, 104.26.1.94, 172.67.69.187","2606:4700:20::681a:5e, 2606:4700:20::681a:15e, 2606:4700:20::ac43:45bb","{'name': 'gobugfree.com', 'ns': 'clint.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2349587541, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'gobugfree.com', 'ns': 'clint.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2349587541, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'gobugfree.com', 'ns': 'clint.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2349587541, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'gobugfree.com', 'ns': 'clint.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2349587541, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}",NOERROR,,,
,media.gobugfree.com,300,"104.26.0.94, 172.67.69.187, 104.26.1.94","2606:4700:20::681a:5e, 2606:4700:20::681a:15e, 2606:4700:20::ac43:45bb","{'name': 'gobugfree.com', 'ns': 'clint.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2349587541, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'gobugfree.com', 'ns': 'clint.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2349587541, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'gobugfree.com', 'ns': 'clint.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2349587541, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'gobugfree.com', 'ns': 'clint.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2349587541, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'gobugfree.com', 'ns': 'clint.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2349587541, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'gobugfree.com', 'ns': 'clint.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2349587541, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}",NOERROR,,,
,www.gobugfree.com,300,"104.26.0.94, 104.26.1.94, 172.67.69.187","2606:4700:20::681a:5e, 2606:4700:20::681a:15e, 2606:4700:20::ac43:45bb","{'name': 'gobugfree.com', 'ns': 'clint.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2349587541, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'gobugfree.com', 'ns': 'clint.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2349587541, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'gobugfree.com', 'ns': 'clint.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2349587541, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'gobugfree.com', 'ns': 'clint.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2349587541, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'gobugfree.com', 'ns': 'clint.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2349587541, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'gobugfree.com', 'ns': 'clint.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2349587541, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}",NOERROR,,,
