input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_tls_connection,tls_sni,cdn_name,port,url,scheme,webserver,content_type,method,host,path,favicon_path,a_,tech_,lines,failed,cdn,knowledgebase_PageType,knowledgebase_pHash,favicon,final_url,tls_wildcard_certificate,tls_self_signed,tls_mismatched,tls_subject_org_,csp_domains_,tls_expired
1001c005-adfe-49f1-8d4e-826bd8e53d40-asia-south1.apps.astra.datastax.com,404 Not Found,404,150,1001c005-adfe-49f1-8d4e-826bd8e53d40-asia-south1.apps.astra.datastax.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2025-02-08T23:03:37Z,2025-05-09T23:03:36Z,CN=astra.datastax.com,astra.datastax.com,astra.datastax.com,"CN=R11, O=Let's Encrypt, C=US",R11,Let's Encrypt,0e9b6aeee78e6439557ee36e70b23f65,8d2c4b1947d3166ad6536be0067513a677a09afb19300662e9aa9877a3bbb477,ctls,1001c005-adfe-49f1-8d4e-826bd8e53d40-asia-south1.apps.astra.datastax.com,google,443,https://1001c005-adfe-49f1-8d4e-826bd8e53d40-asia-south1.apps.astra.datastax.com,https,openresty/1.25.3.1,text/html,GET,35.200.234.20,/,/favicon.ico,34.93.173.101,OpenResty:1.25.3.1,8,False,True,error,0,,,True,,,,,
1pscim.datastax.com,1Password SCIM bridge,200,619,1pscim.datastax.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2025-01-26T05:57:10Z,2025-04-26T05:57:09Z,CN=1pscim.datastax.com,1pscim.datastax.com,1pscim.datastax.com,"CN=E5, O=Let's Encrypt, C=US",E5,Let's Encrypt,a22cb04901a0f5738a189e31b9e201e3,d4b0fc1c2a5bece973af414e16dec5388bc374ff74575ec2db41b72023c1b5ac,ctls,1pscim.datastax.com,google,443,https://1pscim.datastax.com,https,,text/html,GET,34.27.115.190,/,/app/favicon.9c0c9d06.svg,34.27.115.190,,1,False,True,nonerror,0,,https://1pscim.datastax.com/app/,,,,,https://w3.org,
1rer.cloud02v9-okta-stage.teleport.teleport.astra-dev.datastax.com,,200,1005,teleport.astra-dev.datastax.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2024-11-17T00:00:00Z,2025-12-17T23:59:59Z,CN=teleport.astra-dev.datastax.com,teleport.astra-dev.datastax.com,*.teleport.astra-dev.datastax.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,510bf864c9cf938d265717c1d3bf8f6b,032d09410dd0ff775000a94e1f03db7ab58c51dce0461fb7b1725d908b394858,ctls,teleport.astra-dev.datastax.com,,443,https://1rer.cloud02v9-okta-stage.teleport.teleport.astra-dev.datastax.com,https,,text/html,GET,54.186.54.105,/,/web/app/favicon-light.png,52.89.244.98,HSTS,33,False,,other,0,,https://teleport.astra-dev.datastax.com:443/web/launch/1rer.cloud02v9-okta-stage.teleport.teleport.astra-dev.datastax.com?path=%2F,True,,,,https://1rer.cloud02v9-okta-stage.teleport.teleport.astra-dev.datastax.com:*,
35v0-okta-stagez.astra-ui.feat.cloud.datastax.com,Datastax Astra,200,11768,dev.accounts.datastax.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2024-08-27T00:00:00Z,2025-09-26T23:59:59Z,CN=cloud-session.dev.cloud.datastax.com,cloud-session.dev.cloud.datastax.com,dev.accounts.datastax.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,496bf159a09d09ec49545e4d2ca80108,8ba728a47398810f9d6ae0124162995221c5432b6357979e510d89bf79043094,ctls,dev.accounts.datastax.com,cloudfront,443,https://35v0-okta-stagez.astra-ui.feat.cloud.datastax.com,https,istio-envoy,text/html,GET,65.9.66.16,/,/favicon.ico,2600:9000:206f:ee00:17:8ec1:6e00:93a1,Envoy,256,False,True,nonerror,0,1566106478,https://dev.accounts.datastax.com/session-service/v1/login,,,,,,
a.datastax.com,,404,49,a.datastax.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2024-07-17T00:00:00Z,2025-08-15T23:59:59Z,CN=*.datastax.com,*.datastax.com,*.datastax.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,32680a957519fee4e8db4cece3eb579f,32084d78ece7e1dfa73ab3f4ffb88437403d27ec4ec461ac6f93e1b88edf278c,ctls,a.datastax.com,cloudfront,443,https://a.datastax.com,https,AmazonS3,text/plain,GET,143.204.98.3,/,/favicon.ico,2600:9000:2156:8a00:b:1945:26c0:93a1,Amazon Web Services,2,False,True,error,0,,,True,,,,,
academy.datastax.com,DataStax Academy | DataStax,200,92735,www.datastax.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2025-01-23T14:56:27Z,2025-04-23T14:56:26Z,CN=www.datastax.com,www.datastax.com,www.datastax.com,"CN=R11, O=Let's Encrypt, C=US",R11,Let's Encrypt,d79529bd7016687f9b8af9e402da56ed,fb9424053c41998125ec5bb9d0a6650cc3452c82f5fa9ee7c2d44aa93da1dbb3,ctls,www.datastax.com,cloudfront,443,https://academy.datastax.com,https,Vercel,text/html,GET,3.162.112.104,/,/favicon.ico,3.162.112.62,Webpack,5,False,True,nonerror,0,,https://www.datastax.com/academy,,,,,https://*.googlesyndication.com,
accounts.datastax.com,,404,,accounts.datastax.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2024-08-29T00:00:00Z,2025-09-28T23:59:59Z,CN=cloud-session.prod.cloud.datastax.com,cloud-session.prod.cloud.datastax.com,cloud-session.ingress.us-east-2.prod.apps.paas.datastax.com,"CN=Amazon RSA 2048 M03, O=Amazon, C=US",Amazon RSA 2048 M03,Amazon,58dfdb9415df037e2c13f21566158945,86e71dc7e6282c26ce7484884522596dee83315b8fa8a29d34e7576ef648d555,ctls,accounts.datastax.com,,443,https://accounts.datastax.com,https,istio-envoy,,GET,3.136.74.16,/,/favicon.ico,18.190.42.209,,1,False,,other,0,,,,,,,,
ai-chatbot.dev.cloud.datastax.com,,503,,ai-chatbot.dev.cloud.datastax.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2024-04-22T00:00:00Z,2025-05-22T23:59:59Z,CN=ai-chatbot.dev.cloud.datastax.com,ai-chatbot.dev.cloud.datastax.com,ai-chatbot.ingress.us-east-2.dev.apps.paas.datastax.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,e88eb8ee7af378559abc391f8b1b430c,6a0248c88cce91b2ce8735d4ae9ccecac15b796fe01ec33e74b047157fe36981,ctls,ai-chatbot.dev.cloud.datastax.com,,443,https://ai-chatbot.dev.cloud.datastax.com,https,,,GET,18.189.151.126,/,/favicon.ico,3.137.103.131,,1,False,,other,0,,,,,,,,
ai-chatbot.ingress.us-east-2.dev.apps.paas.datastax.com,,503,,ai-chatbot.ingress.us-east-2.dev.apps.paas.datastax.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2024-04-22T00:00:00Z,2025-05-22T23:59:59Z,CN=ai-chatbot.dev.cloud.datastax.com,ai-chatbot.dev.cloud.datastax.com,ai-chatbot.ingress.us-east-2.dev.apps.paas.datastax.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,e88eb8ee7af378559abc391f8b1b430c,6a0248c88cce91b2ce8735d4ae9ccecac15b796fe01ec33e74b047157fe36981,ctls,ai-chatbot.ingress.us-east-2.dev.apps.paas.datastax.com,,443,https://ai-chatbot.ingress.us-east-2.dev.apps.paas.datastax.com,https,,,GET,18.189.151.126,/,/favicon.ico,52.15.43.217,,1,False,,other,0,,,,,,,,
alertmanager.aws-apsouth1.streaming.datastax.com,DataStax - Sign In,200,34783,datastax.okta.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2025-01-15T00:00:00Z,2026-02-14T23:59:59Z,"CN=*.okta.com, O=Okta\, Inc., L=San Francisco, ST=California, C=US",*.okta.com,okta.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,9ff6784d566f017e9d13e23129e670a2,6df87a0d2550640ca1b933eab993257abedb0c582dc16995719f65badafd238f,ctls,datastax.okta.com,,443,https://alertmanager.aws-apsouth1.streaming.datastax.com,https,nginx,text/html,GET,3.7.96.225,/,/bc/image/fileStoreRecord,3.7.96.225,Nginx,220,False,,nonerror,0,1597580860,https://datastax.okta.com/oauth2/v1/authorize?client_id=0oa1fc9co0iCDTk7u1d8&redirect_uri=https%3A%2F%2Fjenkins-scaler.cloud-tools.datastax.com%2Fauth&response_type=code&scope=openid+email+profile+groups&state=gyDU9MiiTKuiPyqyKcaNERJ1GAHvFzd,True,,,"Okta, Inc.",http://127.0.0.1:65141,
