new,host,ttl,a,soa,status_code,cdn,cdn-name,aaaa,cname,ns,has_internal_ips,internal_ips,txt,mx,caa
[x],ago-h-ga-schakel-nprod-agwip2.schakel.ago.azure.vlaanderen.be,3600,98.71.136.6,"{'name': 'schakel.ago.azure.vlaanderen.be', 'ns': 'ns1-32.azure-dns.com', 'mailbox': 'azuredns-hostmaster.microsoft.com', 'serial': 1, 'refresh': 3600, 'retry': 300, 'expire': 2419200, 'minttl': 300}, {'name': 'schakel.ago.azure.vlaanderen.be', 'ns': 'ns1-32.azure-dns.com', 'mailbox': 'azuredns-hostmaster.microsoft.com', 'serial': 1, 'refresh': 3600, 'retry': 300, 'expire': 2419200, 'minttl': 300}, {'name': 'schakel.ago.azure.vlaanderen.be', 'ns': 'ns1-32.azure-dns.com', 'mailbox': 'azuredns-hostmaster.microsoft.com', 'serial': 1, 'refresh': 3600, 'retry': 300, 'expire': 2419200, 'minttl': 300}",NOERROR,,,,,,,,,,
[x],ago-h-ga-schakel-prod-agwip1.schakel.ago.azure.vlaanderen.be,300,,"{'name': 'schakel.ago.azure.vlaanderen.be', 'ns': 'ns1-32.azure-dns.com', 'mailbox': 'azuredns-hostmaster.microsoft.com', 'serial': 1, 'refresh': 3600, 'retry': 300, 'expire': 2419200, 'minttl': 300}, {'name': 'schakel.ago.azure.vlaanderen.be', 'ns': 'ns1-32.azure-dns.com', 'mailbox': 'azuredns-hostmaster.microsoft.com', 'serial': 1, 'refresh': 3600, 'retry': 300, 'expire': 2419200, 'minttl': 300}, {'name': 'schakel.ago.azure.vlaanderen.be', 'ns': 'ns1-32.azure-dns.com', 'mailbox': 'azuredns-hostmaster.microsoft.com', 'serial': 1, 'refresh': 3600, 'retry': 300, 'expire': 2419200, 'minttl': 300}, {'name': 'schakel.ago.azure.vlaanderen.be', 'ns': 'ns1-32.azure-dns.com', 'mailbox': 'azuredns-hostmaster.microsoft.com', 'serial': 1, 'refresh': 3600, 'retry': 300, 'expire': 2419200, 'minttl': 300}, {'name': 'schakel.ago.azure.vlaanderen.be', 'ns': 'ns1-32.azure-dns.com', 'mailbox': 'azuredns-hostmaster.microsoft.com', 'serial': 1, 'refresh': 3600, 'retry': 300, 'expire': 2419200, 'minttl': 300}, {'name': 'schakel.ago.azure.vlaanderen.be', 'ns': 'ns1-32.azure-dns.com', 'mailbox': 'azuredns-hostmaster.microsoft.com', 'serial': 1, 'refresh': 3600, 'retry': 300, 'expire': 2419200, 'minttl': 300}",NOERROR,,,,,,,,,,
[x],api-forward-proxy.onderwijs-dev.vlaanderen.be,300,,"{'name': 'cloudfront.net', 'ns': 'ns-418.awsdns-52.com', 'mailbox': 'hostmaster.cloudfront.net', 'serial': 1377556270, 'refresh': 16384, 'retry': 2048, 'expire': 1048576, 'minttl': 60}, {'name': 'cloudfront.net', 'ns': 'ns-418.awsdns-52.com', 'mailbox': 'hostmaster.cloudfront.net', 'serial': 1377556270, 'refresh': 16384, 'retry': 2048, 'expire': 1048576, 'minttl': 60}, {'name': 'cloudfront.net', 'ns': 'ns-418.awsdns-52.com', 'mailbox': 'hostmaster.cloudfront.net', 'serial': 1377556270, 'refresh': 16384, 'retry': 2048, 'expire': 1048576, 'minttl': 60}, {'name': 'cloudfront.net', 'ns': 'ns-418.awsdns-52.com', 'mailbox': 'hostmaster.cloudfront.net', 'serial': 1377556270, 'refresh': 16384, 'retry': 2048, 'expire': 1048576, 'minttl': 60}, {'name': 'cloudfront.net', 'ns': 'ns-418.awsdns-52.com', 'mailbox': 'hostmaster.cloudfront.net', 'serial': 1377556270, 'refresh': 16384, 'retry': 2048, 'expire': 1048576, 'minttl': 60}, {'name': 'cloudfront.net', 'ns': 'ns-418.awsdns-52.com', 'mailbox': 'hostmaster.cloudfront.net', 'serial': 1377556270, 'refresh': 16384, 'retry': 2048, 'expire': 1048576, 'minttl': 60}, {'name': 'cloudfront.net', 'ns': 'ns-418.awsdns-52.com', 'mailbox': 'hostmaster.cloudfront.net', 'serial': 1377556270, 'refresh': 16384, 'retry': 2048, 'expire': 1048576, 'minttl': 60}",NOERROR,,,,d384qvggujul5p.cloudfront.net,,,,,,
[x],api-test.veka.azure.vlaanderen.be,3600,20.73.122.252,"{'name': 'veka.azure.vlaanderen.be', 'ns': 'ns1-01.azure-dns.com', 'mailbox': 'azuredns-hostmaster.microsoft.com', 'serial': 1, 'refresh': 3600, 'retry': 300, 'expire': 2419200, 'minttl': 300}, {'name': 'veka.azure.vlaanderen.be', 'ns': 'ns1-01.azure-dns.com', 'mailbox': 'azuredns-hostmaster.microsoft.com', 'serial': 1, 'refresh': 3600, 'retry': 300, 'expire': 2419200, 'minttl': 300}, {'name': 'veka.azure.vlaanderen.be', 'ns': 'ns1-01.azure-dns.com', 'mailbox': 'azuredns-hostmaster.microsoft.com', 'serial': 1, 'refresh': 3600, 'retry': 300, 'expire': 2419200, 'minttl': 300}, {'name': 'veka.azure.vlaanderen.be', 'ns': 'ns1-01.azure-dns.com', 'mailbox': 'azuredns-hostmaster.microsoft.com', 'serial': 1, 'refresh': 3600, 'retry': 300, 'expire': 2419200, 'minttl': 300}, {'name': 'veka.azure.vlaanderen.be', 'ns': 'ns1-01.azure-dns.com', 'mailbox': 'azuredns-hostmaster.microsoft.com', 'serial': 1, 'refresh': 3600, 'retry': 300, 'expire': 2419200, 'minttl': 300}",NOERROR,,,,veka-api-tst.veka.azure.vlaanderen.be,,,,,,
[x],api.logaas-test.vlaanderen.be,60,"52.212.217.110, 34.241.60.59, 54.73.155.125","{'name': 'logaas-test.vlaanderen.be', 'ns': 'ns-791.awsdns-34.net', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'logaas-test.vlaanderen.be', 'ns': 'ns-791.awsdns-34.net', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'logaas-test.vlaanderen.be', 'ns': 'ns-791.awsdns-34.net', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'logaas-test.vlaanderen.be', 'ns': 'ns-791.awsdns-34.net', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'logaas-test.vlaanderen.be', 'ns': 'ns-791.awsdns-34.net', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'logaas-test.vlaanderen.be', 'ns': 'ns-791.awsdns-34.net', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}",NOERROR,,,,,,,,,,
[x],appbeh-mijn-schoolsoftware-app.vlaanderen.be,7200,"18.66.147.87, 18.66.147.16, 18.66.147.72, 18.66.147.81","{'name': 'd158hx965a7r4s.cloudfront.net', 'ns': 'ns-794.awsdns-35.net', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'd158hx965a7r4s.cloudfront.net', 'ns': 'ns-794.awsdns-35.net', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'd158hx965a7r4s.cloudfront.net', 'ns': 'ns-794.awsdns-35.net', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'd158hx965a7r4s.cloudfront.net', 'ns': 'ns-794.awsdns-35.net', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}",NOERROR,True,cloudfront,"2600:9000:225e:e000:1c:b6a8:c700:93a1, 2600:9000:225e:2600:1c:b6a8:c700:93a1, 2600:9000:225e:2e00:1c:b6a8:c700:93a1, 2600:9000:225e:4a00:1c:b6a8:c700:93a1, 2600:9000:225e:9800:1c:b6a8:c700:93a1, 2600:9000:225e:a000:1c:b6a8:c700:93a1, 2600:9000:225e:d000:1c:b6a8:c700:93a1, 2600:9000:225e:d200:1c:b6a8:c700:93a1",d158hx965a7r4s.cloudfront.net,"ns-1222.awsdns-24.org, ns-1672.awsdns-17.co.uk, ns-211.awsdns-26.com, ns-794.awsdns-35.net",,,,,
[x],appbeheer-opibus-omk-llond-app.vlaanderen.be,7200,"18.164.68.28, 18.164.68.40, 18.164.68.19, 18.164.68.95","{'name': 'd1rxjjl8h5zkfw.cloudfront.net', 'ns': 'ns-1611.awsdns-09.co.uk', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'd1rxjjl8h5zkfw.cloudfront.net', 'ns': 'ns-1611.awsdns-09.co.uk', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'd1rxjjl8h5zkfw.cloudfront.net', 'ns': 'ns-1611.awsdns-09.co.uk', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}",NOERROR,True,cloudfront,"2600:9000:2368:8200:1d:1846:cf00:93a1, 2600:9000:2368:a000:1d:1846:cf00:93a1, 2600:9000:2368:4000:1d:1846:cf00:93a1, 2600:9000:2368:de00:1d:1846:cf00:93a1, 2600:9000:2368:400:1d:1846:cf00:93a1, 2600:9000:2368:8a00:1d:1846:cf00:93a1, 2600:9000:2368:2200:1d:1846:cf00:93a1, 2600:9000:2368:7800:1d:1846:cf00:93a1",d1rxjjl8h5zkfw.cloudfront.net,"ns-1084.awsdns-07.org, ns-126.awsdns-15.com, ns-1611.awsdns-09.co.uk, ns-956.awsdns-55.net",,,,,
[x],appbeheer-opibus-toel-bet-app.vlaanderen.be,7200,"3.164.206.15, 3.164.206.119, 3.164.206.14, 3.164.206.58","{'name': 'd2buojadwkrkdx.cloudfront.net', 'ns': 'ns-163.awsdns-20.com', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'd2buojadwkrkdx.cloudfront.net', 'ns': 'ns-163.awsdns-20.com', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'd2buojadwkrkdx.cloudfront.net', 'ns': 'ns-163.awsdns-20.com', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'd2buojadwkrkdx.cloudfront.net', 'ns': 'ns-163.awsdns-20.com', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}",NOERROR,True,cloudfront,"2600:9000:223d:5400:b:2780:fd40:93a1, 2600:9000:223d:9000:b:2780:fd40:93a1, 2600:9000:223d:6400:b:2780:fd40:93a1, 2600:9000:223d:8000:b:2780:fd40:93a1, 2600:9000:223d:2c00:b:2780:fd40:93a1, 2600:9000:223d:f800:b:2780:fd40:93a1, 2600:9000:223d:de00:b:2780:fd40:93a1, 2600:9000:223d:e200:b:2780:fd40:93a1",d2buojadwkrkdx.cloudfront.net,"ns-163.awsdns-20.com, ns-1853.awsdns-39.co.uk, ns-614.awsdns-12.net, ns-1121.awsdns-12.org",,,,,
[x],applicatiebeheer-cresco-app.onderwijs-apps.vlaanderen.be,300,"52.222.214.112, 52.222.214.14, 52.222.214.113, 52.222.214.22","{'name': 'd16nposmy63ime.cloudfront.net', 'ns': 'ns-2023.awsdns-60.co.uk', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'd16nposmy63ime.cloudfront.net', 'ns': 'ns-2023.awsdns-60.co.uk', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'd16nposmy63ime.cloudfront.net', 'ns': 'ns-2023.awsdns-60.co.uk', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'd16nposmy63ime.cloudfront.net', 'ns': 'ns-2023.awsdns-60.co.uk', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}",NOERROR,True,cloudfront,,d16nposmy63ime.cloudfront.net,"ns-485.awsdns-60.com, ns-958.awsdns-55.net, ns-1133.awsdns-13.org, ns-2023.awsdns-60.co.uk",,,,,
[x],applicatiebeheer-cresco-app.onderwijs-stage.vlaanderen.be,300,"13.225.78.25, 13.225.78.45, 13.225.78.76, 13.225.78.81","{'name': 'd2k2t5x8tfsvv9.cloudfront.net', 'ns': 'ns-1849.awsdns-39.co.uk', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'd2k2t5x8tfsvv9.cloudfront.net', 'ns': 'ns-1849.awsdns-39.co.uk', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'd2k2t5x8tfsvv9.cloudfront.net', 'ns': 'ns-1849.awsdns-39.co.uk', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'd2k2t5x8tfsvv9.cloudfront.net', 'ns': 'ns-1849.awsdns-39.co.uk', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}",NOERROR,True,cloudfront,"2600:9000:215b:8c00:13:4c54:d540:93a1, 2600:9000:215b:1800:13:4c54:d540:93a1, 2600:9000:215b:e00:13:4c54:d540:93a1, 2600:9000:215b:4200:13:4c54:d540:93a1, 2600:9000:215b:600:13:4c54:d540:93a1, 2600:9000:215b:aa00:13:4c54:d540:93a1, 2600:9000:215b:3200:13:4c54:d540:93a1, 2600:9000:215b:6e00:13:4c54:d540:93a1",d2k2t5x8tfsvv9.cloudfront.net,"ns-1361.awsdns-42.org, ns-1849.awsdns-39.co.uk, ns-287.awsdns-35.com, ns-786.awsdns-34.net",,,,,
