new,host,a,aaaa,cname,soa,status_code,mx,cdn,cdn-name,ns,txt,has_internal_ips,internal_ips
[x],1-cgnt-hq.ecomm-test-aks.alaskaair.com,"13.107.213.45, 13.107.246.45","2620:1ec:46::45, 2620:1ec:bdf::45","ecomm-aks-test-fd.azurefd.net, star-azurefd-prod.trafficmanager.net, dual.part-0017.t-0009.t-msedge.net, part-0017.t-0009.t-msedge.net","ns1.t-msedge.net, msnhst.microsoft.com",NOERROR,,,,,,,
[x],31-72-3.its-test-aks.alaskaair.com,"13.107.246.45, 13.107.213.45","2620:1ec:bdf::45, 2620:1ec:46::45","its-aks-test-fd.azurefd.net, star-azurefd-prod.trafficmanager.net, dual.part-0017.t-0009.t-msedge.net, part-0017.t-0009.t-msedge.net","ns1.t-msedge.net, msnhst.microsoft.com",NOERROR,,,,,,,
[x],7-1-6.its-test-aks.alaskaair.com,"13.107.246.40, 13.107.213.40","2620:1ec:46::40, 2620:1ec:bdf::40","its-aks-test-fd.azurefd.net, star-azurefd-prod.trafficmanager.net, dual.part-0012.t-0009.t-msedge.net, part-0012.t-0009.t-msedge.net","ns1.t-msedge.net, msnhst.microsoft.com",NOERROR,,,,,,,
[x],add2.ecomm-qa-aks.alaskaair.com,"13.107.213.44, 13.107.246.44","2620:1ec:46::44, 2620:1ec:bdf::44","ecomm-aks-qa-fd.azurefd.net, star-azurefd-prod.trafficmanager.net, dual.part-0016.t-0009.t-msedge.net, part-0016.t-0009.t-msedge.net","ns1.t-msedge.net, msnhst.microsoft.com",NOERROR,,,,,,,
[x],adminkr.its-test-aks.alaskaair.com,"13.107.213.45, 13.107.246.45","2620:1ec:bdf::45, 2620:1ec:46::45","its-aks-test-fd.azurefd.net, star-azurefd-prod.trafficmanager.net, dual.part-0017.t-0009.t-msedge.net, part-0017.t-0009.t-msedge.net","ns1.t-msedge.net, msnhst.microsoft.com",NOERROR,,,,,,,
[x],aircraftmtxhistory-qa.alaskaair.com,13.66.138.104,,"aircraftmtxhistoryui-qa-tmg.trafficmanager.net, aircraftmtxhistoryui-qa-site-westus2.azurewebsites.net, waws-prod-mwh-041.sip.azurewebsites.windows.net, waws-prod-mwh-041.westus2.cloudapp.azure.com","ns1-02.azure-dns.com, msnhst.microsoft.com",NOERROR,,True,azure,,,,
[x],aircraftmtxhistory-qa2.alaskaair.com,13.66.138.104,,"aircraftmtxhistoryui-qa2-tmg.trafficmanager.net, aircraftmtxhistoryui-qa2-site-westus2.azurewebsites.net, waws-prod-mwh-041.sip.azurewebsites.windows.net, waws-prod-mwh-041.westus2.cloudapp.azure.com","ns1-02.azure-dns.com, msnhst.microsoft.com",NOERROR,,True,azure,,,,
[x],aircraftmtxhistory-test.alaskaair.com,13.66.138.104,,"aircraftmtxhistoryui-test-tmg.trafficmanager.net, aircraftmtxhistoryui-test-site-westus2.azurewebsites.net, waws-prod-mwh-041.sip.azurewebsites.windows.net, waws-prod-mwh-041.westus2.cloudapp.azure.com","ns1-02.azure-dns.com, msnhst.microsoft.com",NOERROR,,True,azure,,,,
[x],alaskaair.com,"159.49.47.135, 159.49.253.16",,,"edns94.ultradns.com, noc.alaskaair.com",NOERROR,Alaskaair-com.mail.protection.outlook.com,,,"edns94.ultradns.com, edns94.ultradns.biz, edns94.ultradns.net, edns94.ultradns.org","v=spf1 ip4:159.49.254.10 ip4:159.49.47.135 ip4:69.48.211.37 include:spf.protection.outlook.com include:_spf-alaska.vrli.com ip4:199.66.248.0/22 a:mailserver1.epowercenterdirect.com ip4:66.35.221.94 ip4:96.46.148.122 ip4:205.241.31.2 include:mailgun.org -a, ll, google-site-verification=k-P55P1zdE7T8pX_wY8m-shWF72DaLKPboKB2uk4tdU, 2deaaa4d4a3f4225a2d4153e9f170ad9, google-site-verification=bu3lSuLeaYDbAhJxRxc6vDT3XovZZWNgxei_mPPHrXg, mongodb-site-verification=OEkWQHK9PFgxT5UfeDOuawv3T66eCSfr, mongodb-site-verification=ENvbz6UJDKxHJMnpYNqtSbY9uM5XOffO, f00a67795f144468b7dd6731a8852844, 62cf89d604b7788eaf10cc3225635c05c1fd0c3c788439442750e30c1543f9d2, 5858d8d94c7248e8b89b0cb2c0a04496, globalsign-domain-verification=FB850CB1ACE33AC7B1A4658B86A94785, apple-domain-verification=lJOq9cYVIZDu4NiA, adobe-idp-site-verification=bf564b1e-63b3-4894-8aff-bf0bb0a31ef4, docker-verification=eed4de74-cc99-4c6f-add1-a8cadf7dfe23, traction-guest=671fabd5-7c22-484a-9c76-8da74918ef35, 5oVJQVMffoNXVA1kkS51s5b8, onetrust-domain-verification=c1ea4dbb653e49b697841f21ef1fbe1d, globalsign-domain-verification=B2AD31CE5E1D335996FC7FB5EAD9DEF5, MS=ms59319774, miro-verification=f163a98e44a4fbcd1132ebde9b2e71a246cd6cc1, infoblox-domain-mastery=9eb897e9515d23d660b8a2746792f36501ec3ae924a31b31a03fd6e6f3c5a2835b, google-site-verification=yxq264M6NjLXy_an9-C-BN4aMEY-v5TMncF05oVWeGQ",,
[x],api9-8.ecomm-test-aks.alaskaair.com,"13.107.213.67, 13.107.246.67","2620:1ec:48:1::67, 2620:1ec:29:1::67","ecomm-aks-test-fd.azurefd.net, star-azurefd-prod.trafficmanager.net, dual.part-0039.t-0009.t-msedge.net, part-0039.t-0009.t-msedge.net, global-entry-afdthirdparty-fallback.trafficmanager.net, dual.part-0039.t-0009.fb-t-msedge.net, part-0039.t-0009.fb-t-msedge.net","ns1.fb-t-msedge.net, msnhst.microsoft.com, ns1.t-msedge.net",NOERROR,,,,,,,
