new,host,a,status_code,soa,mx,cdn,cdn-name,txt,cname,aaaa,has_internal_ips,internal_ips,caa,ns
[x],3fac.shopmanager.rakuten.com,209.67.181.142,NOERROR,,,,,,,,,,,
[x],api.enterprise.blockchain-lab.rakuten.com,20.48.78.5,NOERROR,"ns1-05.azure-dns.com, msnhst.microsoft.com",,True,azure,,rbl-ebp.japaneast.cloudapp.azure.com,,,,,
[x],api.geo-platform.global.rakuten.com,,NOERROR,"ns.rakuten.co.jp, postmaster.rakuten.co.jp",,,,,,,,,,
[x],centralized-artifactory.symphony.rakuten.com,,NOERROR,"ns.rakuten.co.jp, postmaster.rakuten.co.jp",,,,,,,,,,
[x],e06smtp17.shopmanager.rakuten.com,209.67.181.142,NOERROR,,,,,,,,,,,
[x],enterprise.blockchain-lab.rakuten.com,,NOERROR,"ns.rakuten.co.jp, postmaster.rakuten.co.jp",,,,,,,,,,
[x],geo-platform.global.rakuten.com,,NOERROR,"ns.rakuten.co.jp, postmaster.rakuten.co.jp",,,,,,,,,,
[x],h-135-197-137-61.shopmanager.rakuten.com,209.67.181.142,NOERROR,,,,,,,,,,,
[x],idtoken-provider.accounts.global.rakuten.com,,NOERROR,"ns.rakuten.co.jp, postmaster.rakuten.co.jp",,,,,,,,,,
[x],lite-bot.accounts.global.rakuten.com,,NOERROR,"ns.rakuten.co.jp, postmaster.rakuten.co.jp",,,,,,,,,,
[x],mobile-android-tablet.shopmanager.rakuten.com,209.67.181.142,NOERROR,,,,,,,,,,,
[x],prodffnodeidp2.shopmanager.rakuten.com,209.67.181.142,NOERROR,,,,,,,,,,,
[x],qa1-api.rakuten.com,104.107.135.65,NOERROR,"n0a.akamaiedge-staging.net, hostmaster.akamai.com",,,,,"sansecure.rakuten.com.edgekey-staging.net, e6874.a.akamaiedge-staging.net",,,,,
[x],qa10-api.rakuten.com,104.107.135.65,NOERROR,"n0a.akamaiedge-staging.net, hostmaster.akamai.com",,,,,"sansecure.rakuten.com.edgekey-staging.net, e6874.a.akamaiedge-staging.net",,,,,
[x],rakuten.com,"216.238.190.102, 216.238.190.103",NOERROR,"ns.rakuten.co.jp, postmaster.rakuten.co.jp",rakuten-com.mail.protection.outlook.com,,,"7l3v5k4stjltzk08xlvz5lchpdqyyvk3, adobe-idp-site-verification=5aefb7fe-df28-4971-8c37-a5b48aa8714f, google-site-verification=sQxhhR8u56lx5nsXf-nHZlXW9yYtoRIhezNjhZioqlg, poVgrRG6GB3NT0KPPq7oWF12+WkAlodJJxWfxrhKjEH6j0GDIT0gvt+0YeaP5I0fgWvh/3gveh1/JS1GOL282Q==, v=spf1 include:spf01.rakuten.co.jp include:spf02.rakuten.co.jp include:spf03.rakuten.co.jp include:spf.protection.outlook.com ~all, beautifulai-site-verification=9b01a22a-d7d1-437d-a7db-09d81b2f738c, liveramp-site-verification=QjUZMPTinikRmbBj9w8NM5L9nWMBHfUnIwV4xzn-XSk, tdc1k22c30v6pd8z8n3jlpmd2rrzww73, 4ce9fc790a9779efff0490924e22aa2179c40a8a30f85aef58025f837b41aeef, fdyqv2nzgbcy7xtbwsc69jmmq2fm7z3y, google-site-verification=c0AJwAwQPiYFrMzTaBOhVUJF_GmAK4n9vo7lZuhkPCA, 1tlb8sw5ygwkmb6c7k0297f01fwz8yk8, docusign=de9d93c8-371e-4190-83de-dbe818614795, cloudhealth=45b59fc3-9ea7-424e-8791-0462136574b0, 8s8yxn961wlsb9y2wm2qpm1y6dxn3p5d, miro-verification=547580ac2359fc358182fce2a4f982612555ed95, 9b13xykjgrg42gy4lcrj3zgxs0xhk6s1, 20d3007bd0db4582ac8eeaa3fa58bf22, ZOOM_verify_1CUyk4ZURzG11xU4RW6Ncw, google-site-verification=r0CdsPG-g75LRJA1Cch65miCrleeIiXDVwhbXZntIkU, apple-domain-verification=fGId9MIDT25eyRvJ, atlassian-domain-verification=IUQIr8gZ06LRVZuRAUPe9if8wYA4IpyORQmHQID1YMCkup8TXNKo4oAfBw1gSKTL, google-site-verification=3xZBbDGNysB4H9ymSueYzZjOA_oyj7T4zWwOP6Nm5gk",,,,,,"a5-67.akam.net, a18-64.akam.net, a12-67.akam.net, a2-65.akam.net, a3-66.akam.net, a1-60.akam.net"
[x],ridepool2.shopmanager.rakuten.com,209.67.181.142,NOERROR,,,,,,,,,,,
,0-0-cgaanaemeaemea.shopmanager.rakuten.com,209.67.181.142,NOERROR,,,,,,,,,,,
,0-226-104-36.shopmanager.rakuten.com,209.67.181.142,NOERROR,,,,,,,,,,,
,0-3-5-7.shopmanager.rakuten.com,209.67.181.142,NOERROR,,,,,,,,,,,
,0-courier.shopmanager.rakuten.com,209.67.181.142,NOERROR,,,,,,,,,,,
,0-k8s-prod.shopmanager.rakuten.com,209.67.181.142,NOERROR,,,,,,,,,,,
,03.shopmanager.rakuten.com,209.67.181.142,NOERROR,,,,,,,,,,,
,03a.shopmanager.rakuten.com,209.67.181.142,NOERROR,,,,,,,,,,,
,05be.shopmanager.rakuten.com,209.67.181.142,NOERROR,,,,,,,,,,,
,07.shopmanager.rakuten.com,209.67.181.142,NOERROR,,,,,,,,,,,
,0crzr.shopmanager.rakuten.com,209.67.181.142,NOERROR,,,,,,,,,,,
,0ep8.shopmanager.rakuten.com,209.67.181.142,NOERROR,,,,,,,,,,,
,0es.shopmanager.rakuten.com,209.67.181.142,NOERROR,,,,,,,,,,,
,0lder.shopmanager.rakuten.com,209.67.181.142,NOERROR,,,,,,,,,,,
,0ler.shopmanager.rakuten.com,209.67.181.142,NOERROR,,,,,,,,,,,
,0pbuilder.shopmanager.rakuten.com,209.67.181.142,NOERROR,,,,,,,,,,,
,0tinzx5ctu.shopmanager.rakuten.com,,NOERROR,,,,,,,,,,,
,0upmidg.shopmanager.rakuten.com,209.67.181.142,NOERROR,"edns4.ultradns.com, premiumdns.support.neustar",,,,,,,,,,
,1-courier.shopmanager.rakuten.com,209.67.181.142,NOERROR,"edns4.ultradns.com, premiumdns.support.neustar",,,,,,,,,,
,1-edge-chat.shopmanager.rakuten.com,209.67.181.142,NOERROR,,,,,,,,,,,
,1-inc.shopmanager.rakuten.com,209.67.181.142,NOERROR,,,,,,,,,,,
,10-courier2.shopmanager.rakuten.com,209.67.181.142,NOERROR,,,,,,,,,,,
,100-83.shopmanager.rakuten.com,209.67.181.142,NOERROR,,,,,,,,,,,
,100-91.shopmanager.rakuten.com,209.67.181.142,NOERROR,,,,,,,,,,,
