input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_wildcard_certificate,tls_tls_connection,tls_sni,cdn_name,port,url,scheme,webserver,content_type,method,host,path,favicon,a_,tech_,lines,failed,cdn,final_url,csp_domains_
amazon.wickr.com,,200,200,amazon.wickr.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2022-12-12T00:00:00Z,2024-01-12T23:59:59Z,CN=amazon.wickr.com,amazon.wickr.com,www.amazon.wickr.com,"CN=RapidSSL Global TLS RSA4096 SHA256 2022 CA1, O=DigiCert\, Inc., C=US",RapidSSL Global TLS RSA4096 SHA256 2022 CA1,"DigiCert, Inc.",23df46d9109ac3dbf202950ebc6f5f3a,fcf07bfba71072e50e1dc7920ca2b9624661e698081fbe84a53e19f8e561f185,,ctls,amazon.wickr.com,,443,https://amazon.wickr.com:443,https,,text/html,GET,54.214.205.243,/,-738705486,44.231.167.226,HSTS,10,False,,,
countly.wickr.com,Countly,200,7544,countly.wickr.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-02-22T00:00:00Z,2023-09-23T23:59:59Z,CN=*.wickr.com,*.wickr.com,*.wickr.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,bf7f325b9b54335af94e2f567e43157e,255516c8d9d234cce9b2c47862be7080d26e4a8e3973c274be4ded496f68f34f,True,ctls,countly.wickr.com,,443,https://countly.wickr.com:443,https,nginx/1.22.0,text/html,GET,54.80.93.41,/,1593207841,34.233.165.28,Nginx:1.22.0,197,False,,https://countly.wickr.com/login,
enterprise-download.wickr.com,Wickr - Application Download,200,4414,enterprise-download.wickr.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-28T00:00:00Z,2024-03-28T23:59:59Z,CN=pro-download.wickr.com,pro-download.wickr.com,enterprise-download.wickr.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,fd15bdfd3566a1bdfc7e6f6cacdb0add,5da0514419e0d170bdcff92bb9088c9078b95dcd4ffb54489abc2413bbf2801f,,ctls,enterprise-download.wickr.com,cloudfront,443,https://enterprise-download.wickr.com:443,https,,text/html,GET,52.222.236.62,/,1943493440,2600:9000:223e:c200:d:6a3d:9500:93a1,Amazon Web Services,1,False,True,,
gw-me-prod.wickr.com,,200,200,gw-me-prod.wickr.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-22T00:00:00Z,2023-09-23T23:59:59Z,CN=*.wickr.com,*.wickr.com,*.wickr.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,bf7f325b9b54335af94e2f567e43157e,255516c8d9d234cce9b2c47862be7080d26e4a8e3973c274be4ded496f68f34f,True,ctls,gw-me-prod.wickr.com,cloudfront,443,https://gw-me-prod.wickr.com:443,https,Apache,text/html,GET,143.204.215.124,/,-738705486,2600:9000:214f:ce00:14:de2:9e00:93a1,HSTS,10,False,True,,
gw-pro-prod.wickr.com,,200,396,gw-pro-prod.wickr.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-11-12T00:00:00Z,2023-12-12T23:59:59Z,CN=gw-pro-prod.wickr.com,gw-pro-prod.wickr.com,admin.wickr.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,53dc34d32762e0bb223ade4b371a04a9,cf81798c994bd4c54c44cff65da8dd48f84069a75a6be06ada10370f17d9be0d,,ctls,gw-pro-prod.wickr.com,cloudfront,443,https://gw-pro-prod.wickr.com:443,https,,text/html,GET,13.224.189.16,/,1494302000,2600:9000:20eb:f800:c:820b:1d40:93a1,HSTS,1,False,True,https://gw-pro-prod.wickr.com/admin/,
me-download.wickr.com,Wickr - Application Download,200,4414,me-download.wickr.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-28T00:00:00Z,2024-03-28T23:59:59Z,CN=pro-download.wickr.com,pro-download.wickr.com,enterprise-download.wickr.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,fd15bdfd3566a1bdfc7e6f6cacdb0add,5da0514419e0d170bdcff92bb9088c9078b95dcd4ffb54489abc2413bbf2801f,,ctls,me-download.wickr.com,cloudfront,443,https://me-download.wickr.com:443,https,,text/html,GET,52.222.236.62,/,1943493440,2600:9000:223e:ea00:d:6a3d:9500:93a1,Amazon Web Services,1,False,True,,
messaging-me-prod.wickr.com,,200,200,messaging-me-prod.wickr.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-02-22T00:00:00Z,2023-09-23T23:59:59Z,CN=*.wickr.com,*.wickr.com,*.wickr.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,bf7f325b9b54335af94e2f567e43157e,255516c8d9d234cce9b2c47862be7080d26e4a8e3973c274be4ded496f68f34f,True,ctls,messaging-me-prod.wickr.com,,443,https://messaging-me-prod.wickr.com:443,https,Apache,text/html,GET,18.205.137.84,/,-738705486,52.200.246.126,HSTS,10,False,,,
preprod-amazon.wickr.com,,200,200,preprod-amazon.wickr.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2022-12-30T00:00:00Z,2024-01-28T23:59:59Z,CN=preprod-amazon.wickr.com,preprod-amazon.wickr.com,preprod-amazon.wickr.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,3e202b5d9bd54b8e310bdee21a8db118,6b2600b3e77b6a78b25fc16f24b7e57f909b0959b45baa9499285dd82d4139df,,ctls,preprod-amazon.wickr.com,,443,https://preprod-amazon.wickr.com:443,https,,text/html,GET,52.33.154.147,/,-738705486,44.232.64.50,HSTS,10,False,,,
pro-download.wickr.com,Wickr - Application Download,200,4414,pro-download.wickr.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-28T00:00:00Z,2024-03-28T23:59:59Z,CN=pro-download.wickr.com,pro-download.wickr.com,enterprise-download.wickr.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,fd15bdfd3566a1bdfc7e6f6cacdb0add,5da0514419e0d170bdcff92bb9088c9078b95dcd4ffb54489abc2413bbf2801f,,ctls,pro-download.wickr.com,cloudfront,443,https://pro-download.wickr.com:443,https,,text/html,GET,52.222.236.85,/,1943493440,2600:9000:223e:8e00:d:6a3d:9500:93a1,Amazon Web Services,1,False,True,,
register.wickr.com,Wickr Self Service,200,11437,register.wickr.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-22T00:00:00Z,2023-09-23T23:59:59Z,CN=*.wickr.com,*.wickr.com,*.wickr.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,bf7f325b9b54335af94e2f567e43157e,255516c8d9d234cce9b2c47862be7080d26e4a8e3973c274be4ded496f68f34f,True,ctls,register.wickr.com,cloudfront,443,https://register.wickr.com:443,https,AmazonS3,text/html,GET,52.222.214.76,/,1496662379,2600:9000:223d:4400:b:fdd:d2c0:93a1,Amazon Web Services,149,False,True,,
support.wickr.com,Security check,403,7852,support.wickr.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-05-19T23:50:13Z,2023-08-17T23:50:12Z,CN=support.wickr.com,support.wickr.com,support.wickr.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,b8f58020b9bde4cca16771361a534ad3,e532269d7c1f0a44e8b0f48393e217a8681e3124f0de9456ffd431d6a8a327e1,,ctls,support.wickr.com,cloudflare,443,https://support.wickr.com:443,https,cloudflare,text/html,GET,104.16.53.111,/,-1279294674,104.16.51.111,Cloudflare,104,False,True,https://support.wickr.com/hc/en-us,
testing-amazon.wickr.com,,404,9,testing-amazon.wickr.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-06-06T00:00:00Z,2024-06-05T23:59:59Z,CN=testing-amazon.wickr.com,testing-amazon.wickr.com,www.testing-amazon.wickr.com,"CN=RapidSSL TLS RSA CA G1, OU=www.digicert.com, O=DigiCert Inc, C=US",RapidSSL TLS RSA CA G1,DigiCert Inc,8b0b322350c035f4acea90ec16440a81,7923d504a4f97e2f345da06c358d748758ae0702a2b62060d4e39fbf2ce51c90,,ctls,testing-amazon.wickr.com,,443,https://testing-amazon.wickr.com:443,https,,text/html,GET,44.227.192.60,/,-738705486,44.232.216.36,HSTS,1,False,,,https:
wickr.com,AWS Wickr | Secure Communication with End-to-end Encryption,200,278440,wickr.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-06-11T00:00:00Z,2024-07-09T23:59:59Z,CN=*.wickr.com,*.wickr.com,wickr.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,494913bd08859c8e0cc97fe430f9ab85,e3b1a0e5aa568eda68eba833dd965353ca316c6eb18b1f4cac2006e6e00b2e27,True,ctls,wickr.com,cloudfront,443,https://wickr.com:443,https,AmazonS3,text/html,GET,18.66.122.38,/,1155283676,18.66.122.124,Yoast SEO:20.8,1404,False,True,,
