input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_wildcard_certificate,tls_tls_connection,tls_sni,cdn_name,port,url,scheme,webserver,content_type,method,host,path,favicon,a_,tech_,lines,failed,cdn,tls_subject_org_,final_url,tls_mismatched,csp_domains_
ablink.videofy.magisto.com,404 Not Found,404,162,ablink.videofy.magisto.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2022-12-14T18:12:57Z,2024-01-15T17:57:31Z,CN=*.sendgrid.net,*.sendgrid.net,sendgrid.net,"CN=Go Daddy Secure Certificate Authority - G2, OU=http://certs.godaddy.com/repository/, O=GoDaddy.com\, Inc., L=Scottsdale, ST=Arizona, C=US",Go Daddy Secure Certificate Authority - G2,"GoDaddy.com, Inc.",5b6add9e6e69e62589480ba3bd94b267,53aadc5910a6619d5102afbe44af32ecae87d4ef77fea8317be1ddc34b349e10,True,ctls,ablink.videofy.magisto.com,,443,https://ablink.videofy.magisto.com:443,https,nginx,text/html,GET,167.89.115.120,/,190856733,167.89.123.54,Nginx,8,False,,,,True,
ablink.videofyapp.magisto.com,404 Not Found,404,162,ablink.videofyapp.magisto.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-03-01T00:00:00Z,2023-08-27T23:59:59Z,CN=*.videofyapp.magisto.com,*.videofyapp.magisto.com,*.videofyapp.magisto.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,bbf79feb0b3ec817b7355a72273cfe79,91b7b79960b23bba8bf7ae468a854a5b8fb969b41f701c7d86b482f67759179a,True,ctls,ablink.videofyapp.magisto.com,,443,https://ablink.videofyapp.magisto.com:443,https,nginx/1.10.3,text/html,GET,52.3.124.0,/,190856733,34.201.207.122,Nginx:1.10.3,8,False,,,,,
api-cache.cdn.magisto.com,ERROR: The request could not be satisfied,403,919,api-cache.cdn.magisto.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-28T00:00:00Z,2023-08-07T23:59:59Z,CN=*.cdn.magisto.com,*.cdn.magisto.com,*.cdn.magisto.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,233b4f234427f020ab0999a2f95d392b,563dd0971db272c980961cdaf5cfb5dddc2bdd3aade6565de8fee7fa801cc909,True,ctls,api-cache.cdn.magisto.com,cloudfront,443,https://api-cache.cdn.magisto.com:443,https,CloudFront,text/html,GET,18.66.112.50,/,947237088,18.66.112.14,Amazon Web Services,20,False,True,,,,
api.magisto.com,Best Free Online Video Editor Tools,200,251401,vimeo.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-09-21T00:00:00Z,2023-09-20T23:59:59Z,"CN=vimeo.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",vimeo.com,vimeo.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",abfbe98ee21ae761e7c907a2c2b11739,194c25b1c83430e1b8571f3a61c8671e0c371c345f741e485c2458d8b9e2a85b,True,ctls,vimeo.com,cloudflare,443,https://api.magisto.com:443,https,cloudflare,text/html,GET,104.18.18.84,/,576695368,104.18.19.84,Varnish,487,False,True,"Cloudflare, Inc.",https://vimeo.com/video-editor?utm_source=magisto&utm_medium=redirect&utm_campaign=migration,,https:
api2.magisto.com,Vimeo / Something went wrong,530,5230,api2.magisto.com,443,True,tls12,TLS_ECDHE_ECDSA_WITH_AES_128_GCM_SHA256,2023-05-17T00:00:00Z,2024-05-15T23:59:59Z,"CN=magisto.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",magisto.com,*.vimeoent.magisto.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",7f13ccde91be9a062396331594bc31c4,b36e927a59fea61b49c9b8333c3c34c4c9f401bcf6f202c74d39e5047d8ca3fd,True,ctls,api2.magisto.com,cloudflare,443,https://api2.magisto.com:443,https,cloudflare,text/html,GET,104.18.18.84,/,-668929386,104.18.19.84,Cloudflare,31,False,True,"Cloudflare, Inc.",,,
beast.medialib.cdn.magisto.com,,403,243,beast.medialib.cdn.magisto.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-24T00:00:00Z,2024-01-26T23:59:59Z,CN=beast.medialib.cdn.magisto.com,beast.medialib.cdn.magisto.com,beast.medialib.cdn.magisto.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,444d22db99ed4e0963715fa803271926,b0685ac45e7a84944ed13844176146d1c41c7dcba89271b7f5b8a8d08c2bd62b,,ctls,beast.medialib.cdn.magisto.com,cloudfront,443,https://beast.medialib.cdn.magisto.com:443,https,AmazonS3,application/xml,GET,65.9.66.61,/,-2107111542,65.9.66.54,Amazon Web Services,2,False,True,,,,
beast.musiclib.cdn.magisto.com,,403,243,beast.musiclib.cdn.magisto.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-03-02T00:00:00Z,2024-01-27T23:59:59Z,CN=beast.musiclib.cdn.magisto.com,beast.musiclib.cdn.magisto.com,beast.musiclib.cdn.magisto.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,0416e35285bbabc7f57d405f244066d8,4adfff4a47ed0a92c19f3592c000e89800f03e82ef3071c64a816ea56d7d4056,,ctls,beast.musiclib.cdn.magisto.com,cloudfront,443,https://beast.musiclib.cdn.magisto.com:443,https,AmazonS3,application/xml,GET,13.32.121.45,/,-1590079665,13.32.121.109,Amazon Web Services,2,False,True,,,,
beast.static.cdn.magisto.com,,403,243,beast.static.cdn.magisto.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-25T00:00:00Z,2024-03-26T23:59:59Z,CN=beast.static.cdn.magisto.com,beast.static.cdn.magisto.com,beast.static.cdn.magisto.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,c9e9ecb3684614be08b358063688aa7e,159550dee1cb778dc6adb1ffc822479f6e08b83e438d9f8a999a11a3456fd196,,ctls,beast.static.cdn.magisto.com,cloudfront,443,https://beast.static.cdn.magisto.com:443,https,AmazonS3,application/xml,GET,13.225.78.99,/,228470288,13.225.78.65,Amazon Web Services,2,False,True,,,,
beast.sticker.cdn.magisto.com,,403,146,beast.sticker.cdn.magisto.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-28T00:00:00Z,2024-01-27T23:59:59Z,CN=beast.sticker.cdn.magisto.com,beast.sticker.cdn.magisto.com,beast.sticker.cdn.magisto.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,c8a926b3aa554055233be02b30c0e60b,b250f3ce6d575f54d2b9d45817ba88e0a2103ee581ffd87385f5577840f81198,,ctls,beast.sticker.cdn.magisto.com,cloudfront,443,https://beast.sticker.cdn.magisto.com:443,https,CloudFront,text/xml,GET,13.32.145.47,/,-13968365,13.32.145.48,Amazon Web Services,1,False,True,,,,
cloudfront.cdn.magisto.com,ERROR: The request could not be satisfied,403,915,,,,,,,,,,,,,,,,,,,cloudfront,80,http://cloudfront.cdn.magisto.com:80,http,CloudFront,text/html,GET,52.222.169.28,/,-1889518609,52.222.169.129,Amazon Web Services,20,False,True,,,,
