input,title,status_code,content_length,csp_domains_,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_tls_connection,tls_sni,cdn_name,port,url,scheme,webserver,content_type,method,host,path,favicon,a_,tech_,lines,failed,cdn,tls_subject_org_,tls_wildcard_certificate,tls_mismatched,final_url
17-121-124-95.service.newrelic.com,404 Sorry – You've reached an error on New Relic,404,19755,,17-121-124-95.service.newrelic.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-11-18T00:00:00Z,2023-12-19T23:59:59Z,"CN=*.service.newrelic.com, O=New Relic\, Inc., L=San Francisco, ST=California, C=US",*.service.newrelic.com,service.newrelic.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,cebc90daed69987d6d0074096ef109f8,cfe6f56332cf8e968987e7f7e651fa8bdc6de19c72b2dbf3d3c0a347b555db71,ctls,17-121-124-95.service.newrelic.com,,80,http://17-121-124-95.service.newrelic.com:80,http,,text/html,GET,162.247.242.38,/,771224655,162.247.242.40,,389,False,,"New Relic, Inc.",True,,https://17-121-124-95.service.newrelic.com/
account-information.service.newrelic.com,404 Sorry – You've reached an error on New Relic,404,19755,,account-information.service.newrelic.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-11-18T00:00:00Z,2023-12-19T23:59:59Z,"CN=*.service.newrelic.com, O=New Relic\, Inc., L=San Francisco, ST=California, C=US",*.service.newrelic.com,service.newrelic.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,cebc90daed69987d6d0074096ef109f8,cfe6f56332cf8e968987e7f7e651fa8bdc6de19c72b2dbf3d3c0a347b555db71,ctls,account-information.service.newrelic.com,,443,https://account-information.service.newrelic.com:443,https,,text/html,GET,162.247.242.38,/,771224655,162.247.242.40,,389,False,,"New Relic, Inc.",True,,
account.eu.newrelic.com,404 Sorry – You've reached an error on New Relic,404,19755,,account.eu.newrelic.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2022-08-29T00:00:00Z,2023-09-29T23:59:59Z,"CN=*.eu.newrelic.com, O=New Relic\, Inc., L=San Francisco, ST=California, C=US",*.eu.newrelic.com,eu.newrelic.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,05e54b3b010efa75c6c82ee3f77246ec,c5bc1c00bf36b137170122b451a0950c9f53c4399d5f9c72f56815400a1e0ab6,ctls,account.eu.newrelic.com,,443,https://account.eu.newrelic.com:443,https,,text/html,GET,185.221.86.9,/,328720415,185.221.86.41,,389,False,,"New Relic, Inc.",True,,
account.newrelic.com,Log in to New Relic,200,59527,,login.newrelic.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-12-12T00:00:00Z,2024-01-12T23:59:59Z,"CN=*.newrelic.com, O=New Relic\, Inc., L=San Francisco, ST=California, C=US",*.newrelic.com,newrelic.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,ed71d227155f659971e84e5b26104251,b476109ef0cb51262194aa09a02d5f6ce0c1d22b1bc3544dc542c76f855e03d4,ctls,login.newrelic.com,,80,http://account.newrelic.com:80,http,nginx,text/html,GET,162.247.242.35,/,328720415,162.247.242.37,Ruby on Rails,110,False,,"New Relic, Inc.",True,,https://login.newrelic.com/login?return_to=https%3A%2F%2Faccount.newrelic.com%2F
also-two.newrelic.com,Log in to New Relic,200,59533,,login.newrelic.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-12-12T00:00:00Z,2024-01-12T23:59:59Z,"CN=*.newrelic.com, O=New Relic\, Inc., L=San Francisco, ST=California, C=US",*.newrelic.com,newrelic.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,ed71d227155f659971e84e5b26104251,b476109ef0cb51262194aa09a02d5f6ce0c1d22b1bc3544dc542c76f855e03d4,ctls,login.newrelic.com,,443,https://also-two.newrelic.com:443,https,nginx,text/html,GET,34.201.255.68,/,328720415,54.91.113.227,Ruby on Rails,110,False,,"New Relic, Inc.",True,,https://login.newrelic.com/login?return_to=https%3A%2F%2Falso-two.newrelic.com%2F
api.eu.newrelic.com,Swagger UI,200,734,*.newrelic.com,api.eu.newrelic.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2022-08-29T00:00:00Z,2023-09-29T23:59:59Z,"CN=*.eu.newrelic.com, O=New Relic\, Inc., L=San Francisco, ST=California, C=US",*.eu.newrelic.com,eu.newrelic.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,05e54b3b010efa75c6c82ee3f77246ec,c5bc1c00bf36b137170122b451a0950c9f53c4399d5f9c72f56815400a1e0ab6,ctls,api.eu.newrelic.com,,443,https://api.eu.newrelic.com:443,https,nginx,text/html,GET,185.221.86.9,/,-171471091,185.221.86.41,Nginx,20,False,,"New Relic, Inc.",True,,https://api.eu.newrelic.com/docs/
api.newrelic.com,Swagger UI,200,734,*.newrelic.com,api.newrelic.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2022-12-12T00:00:00Z,2024-01-12T23:59:59Z,"CN=*.newrelic.com, O=New Relic\, Inc., L=San Francisco, ST=California, C=US",*.newrelic.com,newrelic.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,ed71d227155f659971e84e5b26104251,b476109ef0cb51262194aa09a02d5f6ce0c1d22b1bc3544dc542c76f855e03d4,ctls,api.newrelic.com,,443,https://api.newrelic.com:443,https,nginx,text/html,GET,162.247.242.11,/,-171471091,162.247.242.11,Nginx,20,False,,"New Relic, Inc.",True,,https://api.newrelic.com/docs/
apt.newrelic.com,,200,8141,,apt.newrelic.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-07T17:48:32Z,2024-05-08T17:48:31Z,CN=download.newrelic.com,download.newrelic.com,yum.newrelic.com,"CN=GlobalSign Atlas R3 DV TLS CA 2023 Q1, O=GlobalSign nv-sa, C=BE",GlobalSign Atlas R3 DV TLS CA 2023 Q1,GlobalSign nv-sa,85415b03e506a2a031ce8d6a2b0bed7a,b370aa1e87164e4e870b2155f1460401bf973824446059bd57d1c573ea9f7c35,ctls,apt.newrelic.com,fastly,80,http://apt.newrelic.com:80,http,AmazonS3,text/html,GET,146.75.122.137,/,368966252,146.75.122.137,Varnish,229,False,True,,,,https://apt.newrelic.com/
auth.newrelic.com,,404,19,,auth.newrelic.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-12-12T00:00:00Z,2024-01-12T23:59:59Z,"CN=*.newrelic.com, O=New Relic\, Inc., L=San Francisco, ST=California, C=US",*.newrelic.com,newrelic.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,ed71d227155f659971e84e5b26104251,b476109ef0cb51262194aa09a02d5f6ce0c1d22b1bc3544dc542c76f855e03d4,ctls,auth.newrelic.com,,443,https://auth.newrelic.com:443,https,,text/plain,GET,162.247.242.42,/,-138391155,162.247.242.42,,2,False,,"New Relic, Inc.",True,,
authelb-elasticbeanstalk-nov-accountswebproxy.service.newrelic.com,404 Sorry – You've reached an error on New Relic,404,19755,,authelb-elasticbeanstalk-nov-accountswebproxy.service.newrelic.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-11-18T00:00:00Z,2023-12-19T23:59:59Z,"CN=*.service.newrelic.com, O=New Relic\, Inc., L=San Francisco, ST=California, C=US",*.service.newrelic.com,service.newrelic.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,cebc90daed69987d6d0074096ef109f8,cfe6f56332cf8e968987e7f7e651fa8bdc6de19c72b2dbf3d3c0a347b555db71,ctls,authelb-elasticbeanstalk-nov-accountswebproxy.service.newrelic.com,,443,https://authelb-elasticbeanstalk-nov-accountswebproxy.service.newrelic.com:443,https,,text/html,GET,162.247.242.38,/,771224655,162.247.242.40,,389,False,,"New Relic, Inc.",True,,
