new,host,ttl,a,soa,status_code,cname,aaaa,mx,txt
[x],asymetrix.io,300,"172.67.75.15, 104.26.2.199, 104.26.3.199","{'name': 'asymetrix.io', 'ns': 'gemma.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2347040687, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'asymetrix.io', 'ns': 'gemma.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2347040687, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}",NOERROR,,"2606:4700:20::681a:2c7, 2606:4700:20::ac43:4b0f, 2606:4700:20::681a:3c7","alt2.aspmx.l.google.com, aspmx.l.google.com, alt3.aspmx.l.google.com, alt4.aspmx.l.google.com, alt1.aspmx.l.google.com","v=spf1 include:_spf.google.com ~all, google-site-verification=7_ghdXVwEmEBhG7FHG10c-lty2V--EY1dymPoI8kE8I"
,api.asymetrix.io,300,"18.135.238.142, 13.43.68.102, 18.135.175.252","{'name': 'eu-west-2.elb.amazonaws.com', 'ns': 'ns-1198.awsdns-21.org', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 60}, {'name': 'eu-west-2.elb.amazonaws.com', 'ns': 'ns-1198.awsdns-21.org', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 60}, {'name': 'eu-west-2.elb.amazonaws.com', 'ns': 'ns-1198.awsdns-21.org', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 60}",NOERROR,pbonds-production-alb-84499357.eu-west-2.elb.amazonaws.com,,,
,api.beta.asymetrix.io,300,18.132.69.174,"{'name': 'asymetrix.io', 'ns': 'gemma.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2347040687, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'asymetrix.io', 'ns': 'gemma.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2347040687, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'asymetrix.io', 'ns': 'gemma.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2347040687, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'asymetrix.io', 'ns': 'gemma.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2347040687, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'asymetrix.io', 'ns': 'gemma.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2347040687, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'asymetrix.io', 'ns': 'gemma.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2347040687, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}",NOERROR,,,,
,api.eeth.asymetrix.io,300,"13.43.68.102, 18.135.175.252, 18.135.238.142","{'name': 'eu-west-2.elb.amazonaws.com', 'ns': 'ns-1198.awsdns-21.org', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 60}, {'name': 'eu-west-2.elb.amazonaws.com', 'ns': 'ns-1198.awsdns-21.org', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 60}, {'name': 'eu-west-2.elb.amazonaws.com', 'ns': 'ns-1198.awsdns-21.org', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 60}, {'name': 'eu-west-2.elb.amazonaws.com', 'ns': 'ns-1198.awsdns-21.org', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 60}, {'name': 'eu-west-2.elb.amazonaws.com', 'ns': 'ns-1198.awsdns-21.org', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 60}",NOERROR,pbonds-production-alb-84499357.eu-west-2.elb.amazonaws.com,,,
,api.rseth.asymetrix.io,300,,"{'name': 'eu-west-2.elb.amazonaws.com', 'ns': 'ns-1198.awsdns-21.org', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 60}, {'name': 'eu-west-2.elb.amazonaws.com', 'ns': 'ns-1198.awsdns-21.org', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 60}, {'name': 'eu-west-2.elb.amazonaws.com', 'ns': 'ns-1198.awsdns-21.org', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 60}",NOERROR,pbonds-production-alb-84499357.eu-west-2.elb.amazonaws.com,,,
,app.asymetrix.io,300,"104.26.2.199, 172.67.75.15, 104.26.3.199","{'name': 'asymetrix.io', 'ns': 'gemma.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2347040687, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'asymetrix.io', 'ns': 'gemma.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2347040687, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'asymetrix.io', 'ns': 'gemma.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2347040687, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'asymetrix.io', 'ns': 'gemma.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2347040687, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}",NOERROR,,,,
,beta.asymetrix.io,1800,,"{'name': 'asymetrix.io', 'ns': 'gemma.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2347040687, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'asymetrix.io', 'ns': 'gemma.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2347040687, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'asymetrix.io', 'ns': 'gemma.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2347040687, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'asymetrix.io', 'ns': 'gemma.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2347040687, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}",NOERROR,,,,
,docs.asymetrix.io,300,,"{'name': 'asymetrix.io', 'ns': 'gemma.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2347040687, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'asymetrix.io', 'ns': 'gemma.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2347040687, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'asymetrix.io', 'ns': 'gemma.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2347040687, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}",NOERROR,,"2606:4700:20::ac43:4b0f, 2606:4700:20::681a:2c7, 2606:4700:20::681a:3c7",,
,eeth.asymetrix.io,300,"104.26.3.199, 172.67.75.15, 104.26.2.199","{'name': 'asymetrix.io', 'ns': 'gemma.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2347040687, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'asymetrix.io', 'ns': 'gemma.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2347040687, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'asymetrix.io', 'ns': 'gemma.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2347040687, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}",NOERROR,,,,
,preprod-api.asymetrix.io,300,"18.171.76.220, 3.11.31.35, 13.40.252.108","{'name': 'eu-west-2.elb.amazonaws.com', 'ns': 'ns-1198.awsdns-21.org', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 60}, {'name': 'eu-west-2.elb.amazonaws.com', 'ns': 'ns-1198.awsdns-21.org', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 60}, {'name': 'eu-west-2.elb.amazonaws.com', 'ns': 'ns-1198.awsdns-21.org', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 60}, {'name': 'eu-west-2.elb.amazonaws.com', 'ns': 'ns-1198.awsdns-21.org', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 60}",NOERROR,pbonds-preproduction-alb-2130423755.eu-west-2.elb.amazonaws.com,,,
,preprod-app.asymetrix.io,300,"104.26.3.199, 172.67.75.15, 104.26.2.199","{'name': 'asymetrix.io', 'ns': 'gemma.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2347040687, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'asymetrix.io', 'ns': 'gemma.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2347040687, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'asymetrix.io', 'ns': 'gemma.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2347040687, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'asymetrix.io', 'ns': 'gemma.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2347040687, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}",NOERROR,,"2606:4700:20::ac43:4b0f, 2606:4700:20::681a:2c7, 2606:4700:20::681a:3c7",,
,preprod.asymetrix.io,300,"104.26.2.199, 104.26.3.199, 172.67.75.15","{'name': 'asymetrix.io', 'ns': 'gemma.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2347040687, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'asymetrix.io', 'ns': 'gemma.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2347040687, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'asymetrix.io', 'ns': 'gemma.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2347040687, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}",NOERROR,,"2a06:98c1:3122:e000::5, 2a06:98c1:3123:e000::5",,
,rseth.asymetrix.io,300,"104.26.3.199, 104.26.2.199, 172.67.75.15","{'name': 'asymetrix.io', 'ns': 'gemma.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2347040687, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'asymetrix.io', 'ns': 'gemma.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2347040687, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'asymetrix.io', 'ns': 'gemma.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2347040687, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'asymetrix.io', 'ns': 'gemma.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2347040687, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'asymetrix.io', 'ns': 'gemma.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2347040687, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'asymetrix.io', 'ns': 'gemma.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2347040687, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}",NOERROR,,"2a06:98c1:3122:e000::5, 2a06:98c1:3123:e000::5",,
