input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_org_,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_wildcard_certificate,tls_tls_connection,tls_sni,port,url,scheme,content_type,method,host,path,favicon,final_url,a_,tech_,lines,failed,webserver,tls_mismatched,cdn_name,cdn,csp_domains_,location,tls_expired
0-latinamericannewsdigest.com.wildpac.virusflags.letgo.com,301 Moved Permanently,301,134,www.www.www.www.www.www.www.www.www.0-latinamericannewsdigest.com.wildpac.virusflags.letgo.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-02-23T00:00:00Z,2023-09-10T23:59:59Z,CN=olx.in,olx.in,,www.olx.ec,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,69b53b4efedb5fc928f8f0616ea67fe3,fa3349f0bdacea6c3f3963130acfb81438c6e6709451427bc9fb4eed81ab9688,True,ctls,www.www.www.www.www.www.www.www.www.0-latinamericannewsdigest.com.wildpac.virusflags.letgo.com,443,https://0-latinamericannewsdigest.com.wildpac.virusflags.letgo.com:443,https,text/html,GET,3.230.51.120,/,-1115817075,https://www.www.www.www.www.www.www.www.www.0-latinamericannewsdigest.com.wildpac.virusflags.letgo.com:443/,54.175.52.101,,7,False,awselb/2.0,True,,,,https://www.www.www.www.www.www.www.www.www.www.0-latinamericannewsdigest.com.wildpac.virusflags.letgo.com:443/,
0-latinamericannewsdigest.virusflagscom.wildpac.letgo.com,301 Moved Permanently,301,134,www.www.www.www.www.www.www.www.www.0-latinamericannewsdigest.virusflagscom.wildpac.letgo.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-02-23T00:00:00Z,2023-09-10T23:59:59Z,CN=olx.in,olx.in,,www.olx.ec,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,69b53b4efedb5fc928f8f0616ea67fe3,fa3349f0bdacea6c3f3963130acfb81438c6e6709451427bc9fb4eed81ab9688,True,ctls,www.www.www.www.www.www.www.www.www.0-latinamericannewsdigest.virusflagscom.wildpac.letgo.com,443,https://0-latinamericannewsdigest.virusflagscom.wildpac.letgo.com:443,https,text/html,GET,23.22.130.80,/,-1115817075,https://www.www.www.www.www.www.www.www.www.0-latinamericannewsdigest.virusflagscom.wildpac.letgo.com:443/,3.230.51.120,,7,False,awselb/2.0,True,,,,https://www.www.www.www.www.www.www.www.www.www.0-latinamericannewsdigest.virusflagscom.wildpac.letgo.com:443/,
0-search.otoplus.com,,200,2336,www.otoplus.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2022-12-09T00:00:00Z,2023-12-09T23:59:59Z,"CN=*.otoplus.com, O=OLX Global B.V., ST=Noord-Holland, C=NL",*.otoplus.com,OLX Global B.V.,otoplus.com,"CN=Sectigo ECC Organization Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo ECC Organization Validation Secure Server CA,Sectigo Limited,2d812c371bfe8aacafca1bdc2db72538,3a32dda6ff4d55328cae3767f97e0d77c92053e5bee2540d6a216fb32681a294,True,ctls,www.otoplus.com,443,https://0-search.otoplus.com:443,https,text/html,GET,2.16.186.233,/,-2002170661,https://www.otoplus.com/,2a02:26f0:3100::1735:2afb,Akamai Bot Manager,51,False,,,,,,,
000dco1sb2we4.virusflagsredmond.corp.letgo.com,301 Moved Permanently,301,134,www.www.www.www.www.www.www.www.www.000dco1sb2we4.virusflagsredmond.corp.letgo.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-02-23T00:00:00Z,2023-09-10T23:59:59Z,CN=olx.in,olx.in,,www.olx.ec,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,69b53b4efedb5fc928f8f0616ea67fe3,fa3349f0bdacea6c3f3963130acfb81438c6e6709451427bc9fb4eed81ab9688,True,ctls,www.www.www.www.www.www.www.www.www.000dco1sb2we4.virusflagsredmond.corp.letgo.com,80,http://000dco1sb2we4.virusflagsredmond.corp.letgo.com:80,http,text/html,GET,3.230.51.120,/,-1115817075,https://www.www.www.www.www.www.www.www.www.000dco1sb2we4.virusflagsredmond.corp.letgo.com:443/,23.22.130.80,,7,False,awselb/2.0,True,,,,https://www.www.www.www.www.www.www.www.www.www.000dco1sb2we4.virusflagsredmond.corp.letgo.com:443/,
002tousan-donkey1.alpha6-09-9-polishlove1relyingparty-okta-stable.assets.letgo.com,301 Moved Permanently,301,134,www.www.www.www.www.www.www.www.www.002tousan-donkey1.alpha6-09-9-polishlove1relyingparty-okta-stable.assets.letgo.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-02-23T00:00:00Z,2023-09-10T23:59:59Z,CN=olx.in,olx.in,,www.olx.ec,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,69b53b4efedb5fc928f8f0616ea67fe3,fa3349f0bdacea6c3f3963130acfb81438c6e6709451427bc9fb4eed81ab9688,True,ctls,www.www.www.www.www.www.www.www.www.002tousan-donkey1.alpha6-09-9-polishlove1relyingparty-okta-stable.assets.letgo.com,443,https://002tousan-donkey1.alpha6-09-9-polishlove1relyingparty-okta-stable.assets.letgo.com:443,https,text/html,GET,54.175.52.101,/,-1115817075,https://www.www.www.www.www.www.www.www.www.002tousan-donkey1.alpha6-09-9-polishlove1relyingparty-okta-stable.assets.letgo.com:443/,23.22.130.80,,7,False,awselb/2.0,True,,,,https://www.www.www.www.www.www.www.www.www.www.002tousan-donkey1.alpha6-09-9-polishlove1relyingparty-okta-stable.assets.letgo.com:443/,
04v.otoplus.com,Access Denied,403,264,www.otoplus.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2022-12-09T00:00:00Z,2023-12-09T23:59:59Z,"CN=*.otoplus.com, O=OLX Global B.V., ST=Noord-Holland, C=NL",*.otoplus.com,OLX Global B.V.,otoplus.com,"CN=Sectigo ECC Organization Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo ECC Organization Validation Secure Server CA,Sectigo Limited,2d812c371bfe8aacafca1bdc2db72538,3a32dda6ff4d55328cae3767f97e0d77c92053e5bee2540d6a216fb32681a294,True,ctls,www.otoplus.com,443,https://04v.otoplus.com:443,https,text/html,GET,23.38.98.73,/,1119439625,https://www.otoplus.com/,2a02:26f0:480:1a::5f65:6faa,,10,False,AkamaiGHost,,,,,,
05d.otoplus.com,,200,2336,www.otoplus.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2022-12-09T00:00:00Z,2023-12-09T23:59:59Z,"CN=*.otoplus.com, O=OLX Global B.V., ST=Noord-Holland, C=NL",*.otoplus.com,OLX Global B.V.,otoplus.com,"CN=Sectigo ECC Organization Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo ECC Organization Validation Secure Server CA,Sectigo Limited,2d812c371bfe8aacafca1bdc2db72538,3a32dda6ff4d55328cae3767f97e0d77c92053e5bee2540d6a216fb32681a294,True,ctls,www.otoplus.com,443,https://05d.otoplus.com:443,https,text/html,GET,2.16.186.233,/,-859740044,https://www.otoplus.com/,2a02:26f0:3100::1735:2b0b,Akamai Bot Manager,51,False,,,,,,,
06u.otoplus.com,,200,2341,www.otoplus.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2022-12-09T00:00:00Z,2023-12-09T23:59:59Z,"CN=*.otoplus.com, O=OLX Global B.V., ST=Noord-Holland, C=NL",*.otoplus.com,OLX Global B.V.,otoplus.com,"CN=Sectigo ECC Organization Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo ECC Organization Validation Secure Server CA,Sectigo Limited,2d812c371bfe8aacafca1bdc2db72538,3a32dda6ff4d55328cae3767f97e0d77c92053e5bee2540d6a216fb32681a294,True,ctls,www.otoplus.com,443,https://06u.otoplus.com:443,https,text/html,GET,2.16.186.233,/,2014796838,https://www.otoplus.com/,2a02:26f0:3100::1735:2afb,Akamai Bot Manager,51,False,,,,,,,
092jy.otoplus.com,,200,2341,www.otoplus.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2022-12-09T00:00:00Z,2023-12-09T23:59:59Z,"CN=*.otoplus.com, O=OLX Global B.V., ST=Noord-Holland, C=NL",*.otoplus.com,OLX Global B.V.,otoplus.com,"CN=Sectigo ECC Organization Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo ECC Organization Validation Secure Server CA,Sectigo Limited,2d812c371bfe8aacafca1bdc2db72538,3a32dda6ff4d55328cae3767f97e0d77c92053e5bee2540d6a216fb32681a294,True,ctls,www.otoplus.com,443,https://092jy.otoplus.com:443,https,text/html,GET,2.16.186.233,/,-1920478475,https://www.otoplus.com/,2a02:26f0:3100::1735:2afb,Akamai Bot Manager,51,False,,,,,,,
0fwww-36.otoplus.com,,200,2341,www.otoplus.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2022-12-09T00:00:00Z,2023-12-09T23:59:59Z,"CN=*.otoplus.com, O=OLX Global B.V., ST=Noord-Holland, C=NL",*.otoplus.com,OLX Global B.V.,otoplus.com,"CN=Sectigo ECC Organization Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo ECC Organization Validation Secure Server CA,Sectigo Limited,2d812c371bfe8aacafca1bdc2db72538,3a32dda6ff4d55328cae3767f97e0d77c92053e5bee2540d6a216fb32681a294,True,ctls,www.otoplus.com,443,https://0fwww-36.otoplus.com:443,https,text/html,GET,23.38.98.73,/,387453226,https://www.otoplus.com/,2a02:26f0:480:1a::5f65:6f97,Akamai Bot Manager,51,False,,,,,,,
