new,host,a,aaaa,cname,soa,status_code,ns,cdn,cdn-name,txt,caa,mx,has_internal_ips,internal_ips
[x],155-9-214-84.snap3.letgo.com,"54.175.52.101, 3.230.51.120, 23.22.130.80",,,"ns-384.awsdns-48.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,
[x],17-121-115-51.snap3.letgo.com,"54.175.52.101, 3.230.51.120, 23.22.130.80",,,"ns-384.awsdns-48.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,
[x],17-121-118-44.snap3.letgo.com,"54.175.52.101, 3.230.51.120, 23.22.130.80",,,"ns-384.awsdns-48.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,
[x],17-121-118-63.snap3.letgo.com,"3.230.51.120, 54.175.52.101, 23.22.130.80",,,"ns-384.awsdns-48.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,
[x],17-121-121-13.ghs.letgo.com,"23.22.130.80, 54.175.52.101, 3.230.51.120",,,"ns-384.awsdns-48.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,
[x],17-121-123-75.snap3.letgo.com,"23.22.130.80, 3.230.51.120, 54.175.52.101",,,"ns-384.awsdns-48.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,
[x],17-121-127-59.ghs.letgo.com,"23.22.130.80, 54.175.52.101, 3.230.51.120",,,"ns-384.awsdns-48.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,
[x],17-58-101-25.ghs.letgo.com,"54.175.52.101, 3.230.51.120, 23.22.130.80",,,"ns-384.awsdns-48.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,
[x],17-58-99-42.ghs.letgo.com,"54.175.52.101, 3.230.51.120, 23.22.130.80",,,"ns-384.awsdns-48.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,
[x],17-58-99-42.snap3.letgo.com,"23.22.130.80, 3.230.51.120, 54.175.52.101",,,"ns-384.awsdns-48.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,
[x],2020-beta-access2020-upload.otoplus.com,"2.16.186.233, 2.16.186.162","2a02:26f0:3100::1735:2b0b, 2a02:26f0:3100::1735:2afb","otoplus.edgekey.net, e118669.dscf.akamaiedge.net","n0dscf.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,,,
[x],4liker-facebook-photo-auto-liker.ghs.letgo.com,"3.230.51.120, 23.22.130.80, 54.175.52.101",,,"ns-384.awsdns-48.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,
[x],a-96-119-179-21-picaa0vmfmobiwd.ghs.letgo.com,"23.22.130.80, 54.175.52.101, 3.230.51.120",,,"ns-384.awsdns-48.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,
[x],a-96-119-21-42.snap3.letgo.com,"54.175.52.101, 23.22.130.80, 3.230.51.120",,,"ns-384.awsdns-48.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,
[x],aagdevapps.ghs.letgo.com,"54.175.52.101, 3.230.51.120, 23.22.130.80",,,"ns-384.awsdns-48.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,
[x],acc-ptr1.ghs.letgo.com,"3.230.51.120, 54.175.52.101, 23.22.130.80",,,"ns-384.awsdns-48.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,
[x],access-tr.letgo.com,"54.175.52.101, 3.230.51.120, 23.22.130.80",,,"ns-384.awsdns-48.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,
[x],accountcatalogue.snap3.letgo.com,"3.230.51.120, 23.22.130.80, 54.175.52.101",,,"ns-384.awsdns-48.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,
[x],accountedgeextern-shv-01-gru2.ghs.letgo.com,"23.22.130.80, 3.230.51.120, 54.175.52.101",,,"ns-384.awsdns-48.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,
[x],accountedgeextern-shv-01-gru2.snap3.letgo.com,"3.230.51.120, 23.22.130.80, 54.175.52.101",,,"ns-384.awsdns-48.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,
[x],accountfcanr.snap3.letgo.com,"54.175.52.101, 3.230.51.120, 23.22.130.80",,,"ns-384.awsdns-48.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,
[x],accountmedia.ghs.letgo.com,"54.175.52.101, 3.230.51.120, 23.22.130.80",,,"ns-384.awsdns-48.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,
[x],accountmedia.snap3.letgo.com,"54.175.52.101, 3.230.51.120, 23.22.130.80",,,"ns-384.awsdns-48.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,
[x],activesupport.snap3.letgo.com,"54.175.52.101, 3.230.51.120, 23.22.130.80",,,"ns-384.awsdns-48.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,
[x],admin-apiwebstatus-clients-svnpostgresgit.ghs.letgo.com,"3.230.51.120, 23.22.130.80, 54.175.52.101",,,"ns-384.awsdns-48.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,
[x],admin-apiwebstatus-clients-svnpostgresgit.snap3.letgo.com,"23.22.130.80, 3.230.51.120, 54.175.52.101",,,"ns-384.awsdns-48.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,
[x],admin-cache.ghs.letgo.com,"54.175.52.101, 3.230.51.120, 23.22.130.80",,,"ns-384.awsdns-48.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,
[x],advertise-oauth2.letgo.com,"23.22.130.80, 3.230.51.120, 54.175.52.101",,,"ns-384.awsdns-48.com, awsdns-hostmaster.amazon.com",NOERROR,"ns-1297.awsdns-34.org, ns-1544.awsdns-01.co.uk, ns-384.awsdns-48.com, ns-926.awsdns-51.net",,,,,,,
[x],aeroportoderibeiraopreto.snap3.letgo.com,"54.175.52.101, 3.230.51.120, 23.22.130.80",,,"ns-384.awsdns-48.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,
