input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_mismatched,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_org_,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_wildcard_certificate,tls_tls_connection,tls_sni,cdn_name,port,url,scheme,content_type,method,host,path,favicon,a_,tech_,lines,failed,cdn,csp_domains_,webserver,final_url
api-ota.belastingdienst.nl,,500,81,api-ota.belastingdienst.nl,443,True,tls13,TLS_AES_256_GCM_SHA384,,2023-04-04T08:36:04Z,2024-04-04T08:31:00Z,"CN=api-ota.belastingdienst.nl, O=Belastingdienst, L=Apeldoorn, ST=Gelderland, C=NL",api-ota.belastingdienst.nl,Belastingdienst,api-ota.belastingdienst.nl,"CN=QuoVadis Europe SSL CA G2, O=QuoVadis Trustlink B.V., C=NL",QuoVadis Europe SSL CA G2,QuoVadis Trustlink B.V.,461e9f904d0abd88b19843964820f920,967706a71716a12e70dfa688599d5d1bf340b014a6d38b64471cd795aa6543d8,,ctls,api-ota.belastingdienst.nl,,443,https://api-ota.belastingdienst.nl:443,https,application/json,GET,85.159.99.234,/,2033390377,85.159.99.234,IBM DataPower,5,False,,,,
belastingdienst.nl,Belastingdienst Nederland,200,26101,www.belastingdienst.nl,443,True,tls13,TLS_AES_256_GCM_SHA384,,2023-05-22T11:14:25Z,2024-05-22T11:09:00Z,"CN=www.belastingdienst.nl, O=Belastingdienst, L=Apeldoorn, ST=Gelderland, C=NL",www.belastingdienst.nl,Belastingdienst,belastingdienst.nl,"CN=QuoVadis Europe SSL CA G2, O=QuoVadis Trustlink B.V., C=NL",QuoVadis Europe SSL CA G2,QuoVadis Trustlink B.V.,1030b599fe8fdd986ffbba53c975cd4f,19ca91c4739f924189f7c45db538257fc811108521c455df0fe919d32f835e26,,ctls,www.belastingdienst.nl,,443,https://belastingdienst.nl:443,https,text/html,GET,85.159.98.33,/,-569487998,2a04:9a01:1002::33,HSTS,717,False,,https://belastingdienst.nl,,https://www.belastingdienst.nl/wps/wcm/connect/nl/home/home
beta.belastingdienst.nl,Belastingdienst Nederland,200,26101,www.belastingdienst.nl,443,True,tls13,TLS_AES_256_GCM_SHA384,,2023-05-22T11:14:25Z,2024-05-22T11:09:00Z,"CN=www.belastingdienst.nl, O=Belastingdienst, L=Apeldoorn, ST=Gelderland, C=NL",www.belastingdienst.nl,Belastingdienst,belastingdienst.nl,"CN=QuoVadis Europe SSL CA G2, O=QuoVadis Trustlink B.V., C=NL",QuoVadis Europe SSL CA G2,QuoVadis Trustlink B.V.,1030b599fe8fdd986ffbba53c975cd4f,19ca91c4739f924189f7c45db538257fc811108521c455df0fe919d32f835e26,,ctls,www.belastingdienst.nl,,443,https://beta.belastingdienst.nl:443,https,text/html,GET,85.159.98.233,/,-569487998,2a04:9a01:1002::233,HSTS,717,False,,https://*.cdn.optimizely.com,,https://www.belastingdienst.nl/wps/wcm/connect/nl/home/home
betalen-cnf.belastingdienst.nl,Online diensten en gegevens niet beschikbaar,200,616,betalen-cnf.belastingdienst.nl,443,True,tls13,TLS_AES_256_GCM_SHA384,,2023-05-22T11:30:16Z,2024-05-22T11:25:00Z,"CN=betalen-cnf.belastingdienst.nl, O=Belastingdienst, L=Apeldoorn, ST=Gelderland, C=NL",betalen-cnf.belastingdienst.nl,Belastingdienst,betalen-cnf.belastingdienst.nl,"CN=QuoVadis Europe SSL CA G2, O=QuoVadis Trustlink B.V., C=NL",QuoVadis Europe SSL CA G2,QuoVadis Trustlink B.V.,458219da8c57818fd636d1d3c45c6ae1,01afe905145a74f93f65e12cb5f8b20c16e68febde8b5e114ec4e7d5bd61cb4f,,ctls,betalen-cnf.belastingdienst.nl,,443,https://betalen-cnf.belastingdienst.nl:443,https,text/html,GET,85.159.98.199,/,-780928015,85.159.98.199,,14,False,,,,
brm.belastingdienst.nl,,500,232,brm.belastingdienst.nl,443,True,tls13,TLS_AES_256_GCM_SHA384,,2022-08-01T14:39:13Z,2023-08-01T14:49:00Z,"CN=brm.belastingdienst.nl, O=Belastingdienst, L=Apeldoorn, ST=Gelderland, C=NL",brm.belastingdienst.nl,Belastingdienst,brm.belastingdienst.nl,"CN=QuoVadis Europe SSL CA G2, O=QuoVadis Trustlink B.V., C=NL",QuoVadis Europe SSL CA G2,QuoVadis Trustlink B.V.,498eecfeada0960f126358cf5712e872,07d1804691b4a0c1daaa771665d4191f3f84b235b6e5c7d26da4d1289486c2bd,,ctls,brm.belastingdienst.nl,,443,https://brm.belastingdienst.nl:443,https,text/xml,GET,85.159.98.46,/,-806471848,2a04:9a01:1002::46,IBM DataPower,10,False,,,,
bvs.belastingdienst.nl,Toegang geblokkeerd,200,30151,bvs.belastingdienst.nl,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,,2022-10-07T09:54:53Z,2023-10-07T09:49:00Z,"CN=bvs.belastingdienst.nl, O=Belastingdienst, L=Apeldoorn, ST=Gelderland, C=NL",bvs.belastingdienst.nl,Belastingdienst,bvs.belastingdienst.nl,"CN=QuoVadis Europe SSL CA G2, O=QuoVadis Trustlink B.V., C=NL",QuoVadis Europe SSL CA G2,QuoVadis Trustlink B.V.,0f5889c7792c50f0f0cdff0354737941,b1ef9f5a27e26528e9683ceb6eb2c4f3fa78a89f597faefb6a9ae41c65f05e9d,,ctls,bvs.belastingdienst.nl,,443,https://bvs.belastingdienst.nl:443,https,text/html,GET,85.159.98.57,/,-364758503,85.159.98.57,,477,False,,,,
cciwebstats.belastingdienst.nl,Toegang geblokkeerd,200,30151,cciwebstats.belastingdienst.nl,443,True,tls13,TLS_AES_256_GCM_SHA384,,2022-07-14T13:41:04Z,2023-07-14T13:51:00Z,"CN=cciwebstats.belastingdienst.nl, O=Belastingdienst, L=Apeldoorn, ST=Gelderland, C=NL",cciwebstats.belastingdienst.nl,Belastingdienst,cciwebstats.belastingdienst.nl,"CN=QuoVadis Europe SSL CA G2, O=QuoVadis Trustlink B.V., C=NL",QuoVadis Europe SSL CA G2,QuoVadis Trustlink B.V.,9747044b76b06ff47c0dd2d358e422b2,d8bc2c4380df2dd5385ac881160fb9d75899f90f8b5f1d8d0de3573fc8c26062,,ctls,cciwebstats.belastingdienst.nl,,443,https://cciwebstats.belastingdienst.nl:443,https,text/html,GET,85.159.98.160,/,-465700486,2a04:9a01:1002::160,,477,False,,,,
centraalaanspreekpuntpensioenen.belastingdienst.nl,Home - Centraal Aanspreekpunt Pensioenen,200,90573,centraalaanspreekpuntpensioenen.belastingdienst.nl,443,True,tls13,TLS_AES_256_GCM_SHA384,,2023-05-23T09:59:49Z,2024-05-23T09:54:00Z,"CN=centraalaanspreekpuntpensioenen.belastingdienst.nl, O=Belastingdienst, L=Apeldoorn, ST=Gelderland, C=NL",centraalaanspreekpuntpensioenen.belastingdienst.nl,Belastingdienst,www.belastingdienstpensioensite.nl,"CN=QuoVadis Europe SSL CA G2, O=QuoVadis Trustlink B.V., C=NL",QuoVadis Europe SSL CA G2,QuoVadis Trustlink B.V.,5de18c3d6a313b151325b6a12e894609,f100ef44d774649f182b19818161e2d795be26996e305fce487c69d8640047de,,ctls,centraalaanspreekpuntpensioenen.belastingdienst.nl,,443,https://centraalaanspreekpuntpensioenen.belastingdienst.nl:443,https,text/html,GET,85.159.98.44,/,-569487998,2a04:9a01:1002::44,Yoast SEO:20.7,719,False,,,,
connectpeople.belastingdienst.nl,ConnectPeople Mobiel Login,401,13430,connectpeople.belastingdienst.nl,443,True,tls13,TLS_AES_256_GCM_SHA384,,2023-05-08T09:55:25Z,2024-05-08T09:50:00Z,"CN=connectpeople.belastingdienst.nl, O=Belastingdienst, L=Apeldoorn, ST=Gelderland, C=NL",connectpeople.belastingdienst.nl,Belastingdienst,cpapps.belastingdienst.nl,"CN=QuoVadis Europe SSL CA G2, O=QuoVadis Trustlink B.V., C=NL",QuoVadis Europe SSL CA G2,QuoVadis Trustlink B.V.,c65728520d0f9b55d856d2c8bfa32076,4e36483fbb04385f054b337506f210d49f3c5fe5834f68674f5e06e836335a46,,ctls,connectpeople.belastingdienst.nl,,443,https://connectpeople.belastingdienst.nl:443,https,text/html,GET,85.159.98.157,/,1880561807,85.159.98.157,HSTS,281,False,,,,
connectpeoplereg.belastingdienst.nl,,200,301,connectpeoplereg.belastingdienst.nl,443,True,tls13,TLS_AES_256_GCM_SHA384,,2023-05-08T09:58:28Z,2024-05-08T09:53:00Z,"CN=connectpeoplereg.belastingdienst.nl, O=Belastingdienst, L=Apeldoorn, ST=Gelderland, C=NL",connectpeoplereg.belastingdienst.nl,Belastingdienst,connectpeoplereg.belastingdienst.nl,"CN=QuoVadis Europe SSL CA G2, O=QuoVadis Trustlink B.V., C=NL",QuoVadis Europe SSL CA G2,QuoVadis Trustlink B.V.,6e6668b7c9987ce1b85b395ed540afc5,2b5562026fbd4ebcb6c8e487797d969168e90fec85bbc0d800b4a7adf1849a7f,,ctls,connectpeoplereg.belastingdienst.nl,,443,https://connectpeoplereg.belastingdienst.nl:443,https,text/html,GET,85.159.98.6,/,1957517245,85.159.98.6,HSTS,2,False,,URL=/applicatie/uam.nsf/BLDLoginUserFormExtern,,
