new,host,a,aaaa,cname,soa,status_code,ns,cdn,cdn-name,has_internal_ips,internal_ips,mx,txt,caa
[x],00wins1.xi.nutanix.com,"92.123.189.67, 92.123.189.49","2a02:26f0:d8::1740:c40, 2a02:26f0:d8::1740:c2b","xi.nutanix.com.edgekey.net, e26240.dscb.akamaiedge.net","n0dscb.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,,,
[x],02b.xi.nutanix.com,"95.101.111.146, 95.101.111.147","2a02:26f0:480:23::1726:62b1, 2a02:26f0:480:23::1726:6297","xi.nutanix.com.edgekey.net, e26240.dscb.akamaiedge.net","n0dscb.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,,,
[x],03b.xi.nutanix.com,"92.123.189.49, 92.123.189.67","2a02:26f0:d8::1740:c40, 2a02:26f0:d8::1740:c2b","xi.nutanix.com.edgekey.net, e26240.dscb.akamaiedge.net","n0dscb.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,,,
[x],0es.xi.nutanix.com,"2.16.241.134, 2.16.241.159","2a02:26f0:480:c::210:f186, 2a02:26f0:480:c::210:f19f","xi.nutanix.com.edgekey.net, e26240.dscb.akamaiedge.net","n0dscb.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,,,
[x],1-vl-21.xi.nutanix.com,"2.17.100.224, 2.17.100.152","2a02:26f0:ab00::214:8e48, 2a02:26f0:ab00::214:8e70","xi.nutanix.com.edgekey.net, e26240.dscb.akamaiedge.net","n0dscb.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,,,
[x],10-5-10-5.xi.nutanix.com,"92.123.189.67, 92.123.189.49","2a02:26f0:d8::1740:c40, 2a02:26f0:d8::1740:c2b","xi.nutanix.com.edgekey.net, e26240.dscb.akamaiedge.net","n0dscb.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,,,
[x],11-sysbilling.xi.nutanix.com,"104.114.73.163, 104.114.73.139","2600:1408:5400:d::170c:9396, 2600:1408:5400:d::170c:938f","xi.nutanix.com.edgekey.net, e26240.dscb.akamaiedge.net","n0dscb.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,,,
[x],113-104-51.xi.nutanix.com,"23.43.58.170, 23.43.58.146","2600:1408:5400:d::170c:938f, 2600:1408:5400:d::170c:9396","xi.nutanix.com.edgekey.net, e26240.dscb.akamaiedge.net","n0dscb.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,,,
[x],113-106-53.xi.nutanix.com,"2.20.142.17, 2.20.143.80","2a02:26f0:ab00::214:8e70, 2a02:26f0:ab00::214:8e48","xi.nutanix.com.edgekey.net, e26240.dscb.akamaiedge.net","n0dscb.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,,,
[x],114-111-16.xi.nutanix.com,"2.20.142.17, 2.20.143.80","2a02:26f0:ab00::214:8e48, 2a02:26f0:ab00::214:8e70","xi.nutanix.com.edgekey.net, e26240.dscb.akamaiedge.net","n0dscb.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,,,
[x],114-111-70.xi.nutanix.com,"95.101.74.137, 95.101.74.158","2a02:26f0:c900:9::5f65:4a9e, 2a02:26f0:c900:9::5f65:4a89","xi.nutanix.com.edgekey.net, e26240.dscb.akamaiedge.net","n0dscb.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,,,
