new,host,soa,status_code,a,txt,ns,aaaa,cname,cdn,cdn-name,has_internal_ips,internal_ips,caa,mx
[x],fleethub-fr.zego.com,"ns-1428.awsdns-50.org, awsdns-hostmaster.amazon.com",NOERROR,"34.225.25.191, 3.218.35.185, 23.21.48.221",,,,zego-knowledge-base-fr.helpscoutdocs.com,,,,,letsencrypt.org,
[x],fleethub-nl.zego.com,"ns-1428.awsdns-50.org, awsdns-hostmaster.amazon.com",NOERROR,"23.21.48.221, 34.225.25.191, 3.218.35.185",,,,zego-knowledge-base-nl.helpscoutdocs.com,,,,,letsencrypt.org,
[x],zegocover.com,"aria.ns.cloudflare.com, dns.cloudflare.com",NOERROR,"104.18.14.10, 104.18.15.10","google-site-verification=C6vZso27aGy1mrtzcJKuJgo2hUppesaUjRodDefs9_w, v=spf1 include:_spf.google.com include:mail.zendesk.com include:cust-spf.exacttarget.com ~all, google-site-verification=y1hIsw7AbdrTj23wpS3EgD8nRsLyu7PzAptP7lSW2ug","aria.ns.cloudflare.com, terry.ns.cloudflare.com","2606:4700::6812:f0a, 2606:4700::6812:e0a",,True,cloudflare,,,,"alt4.aspmx.l.google.com, alt1.aspmx.l.google.com, alt2.aspmx.l.google.com, aspmx.l.google.com, alt3.aspmx.l.google.com"
,admin.production-aws.zegocover.com,"ns-1700.awsdns-20.co.uk, awsdns-hostmaster.amazon.com",NOERROR,"172.16.22.227, 172.16.24.118, 172.16.16.248","heritage=external-dns,external-dns/owner=default,external-dns/resource=gateway/zego-admin-proxy/zego-admin-proxy",,,,,,True,"172.16.22.227, 172.16.24.118, 172.16.16.248",,
,aixaeng9.zego.com,"aria.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,,,,
,api-v3.production-aws.zegocover.com,"ns-1700.awsdns-20.co.uk, awsdns-hostmaster.amazon.com",NOERROR,"54.155.101.116, 54.217.229.142, 34.242.23.191","heritage=external-dns,external-dns/owner=default,external-dns/resource=gateway/api-v3/api-v3",,,,,,,,,
,api-v3.staging-aws.zegocover.com,"ns-1999.awsdns-57.co.uk, awsdns-hostmaster.amazon.com",NOERROR,"3.248.54.158, 52.31.77.6, 18.200.217.183","heritage=external-dns,external-dns/owner=default,external-dns/resource=gateway/api-v3/api-v3",,,,,,,,,
,api.integrations.zego.com,"aria.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,,,,
,api.staging.zego.com,"aria.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,,,,
,api.zego.com,"aria.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,"2606:4700:3108::ac42:2b5a, 2606:4700:3108::ac42:28a6",,True,cloudflare,,,,
,api.zegocover.com,"aria.ns.cloudflare.com, dns.cloudflare.com",NOERROR,"104.18.15.10, 104.18.14.10",,,"2606:4700::6812:e0a, 2606:4700::6812:f0a",,True,cloudflare,,,,
,argocd.production-aws.zegocover.com,"ns-1700.awsdns-20.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,,
,argocd.staging-aws.zegocover.com,"ns-1999.awsdns-57.co.uk, awsdns-hostmaster.amazon.com",NOERROR,"172.16.53.178, 172.16.59.204, 172.16.51.94","heritage=external-dns,external-dns/owner=default,external-dns/resource=service/argocd/argocd-server",,,,,,True,"172.16.53.178, 172.16.59.204, 172.16.51.94",,
,argocd.syseng-sandbox-aws.zegocover.com,"ns-1455.awsdns-53.org, awsdns-hostmaster.amazon.com",NOERROR,"172.16.216.146, 172.16.208.66, 172.16.212.153","heritage=external-dns,external-dns/owner=default,external-dns/resource=service/argocd/argocd-server",,,,,,True,"172.16.216.146, 172.16.208.66, 172.16.212.153",,
,assets.zego.com,"aria.ns.cloudflare.com, dns.cloudflare.com",NOERROR,"172.66.40.166, 172.66.43.90",,,,,True,cloudflare,,,,
,auth-staging.zego.com,"kara.ns.cloudflare.com, dns.cloudflare.com",NOERROR,"104.17.235.88, 104.17.171.55",,,"2606:4700::6811:eb58, 2606:4700::6811:ab37",zego-staging-cd-flfl6cbqcqtxdbmt.edge.tenants.eu.auth0.com,True,cloudflare,,,"digicert.com, letsencrypt.org",
,auth.datascience-production-aws.zegocover.com,"ns-534.awsdns-02.net, awsdns-hostmaster.amazon.com",NOERROR,"172.30.81.152, 172.30.87.170, 172.30.91.112","heritage=external-dns,external-dns/owner=datascience-prod-kubeflow,external-dns/resource=gateway/auth/auth-gateway",,,,,,True,"172.30.81.152, 172.30.87.170, 172.30.91.112",,
,auth.datascience-sandbox-aws.zegocover.com,"ns-187.awsdns-23.com, awsdns-hostmaster.amazon.com",NOERROR,"172.30.55.131, 172.30.51.188, 172.30.57.1","heritage=external-dns,external-dns/owner=datascience-sandbox-kubeflow,external-dns/resource=gateway/auth/auth-gateway",,,,,,True,"172.30.55.131, 172.30.51.188, 172.30.57.1",,
,auth.integrations-aws.zegocover.com,"ns-1539.awsdns-00.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,,
,auth.production-aws.zegocover.com,"ns-1700.awsdns-20.co.uk, awsdns-hostmaster.amazon.com",NOERROR,"172.16.24.118, 172.16.22.227, 172.16.16.248","heritage=external-dns,external-dns/owner=default,external-dns/resource=gateway/auth/auth-gateway","ns-1409.awsdns-48.org, ns-1700.awsdns-20.co.uk, ns-35.awsdns-04.com, ns-843.awsdns-41.net",,,,,True,"172.16.24.118, 172.16.22.227, 172.16.16.248",,
,auth.syseng-sandbox-aws.zegocover.com,"ns-1455.awsdns-53.org, awsdns-hostmaster.amazon.com",NOERROR,"172.16.212.213, 172.16.219.203, 172.16.208.191","heritage=external-dns,external-dns/owner=default,external-dns/resource=gateway/auth/auth-gateway",,,,,,True,"172.16.212.213, 172.16.219.203, 172.16.208.191",,
,b2bhelpdesk.zego.com,"ns-1687.awsdns-18.co.uk, awsdns-hostmaster.amazon.com",NOERROR,"18.195.68.40, 3.71.156.255, 18.192.237.30",,,,"56a635e6bcf03bd659ac804b6710b8ae.freshservice.com, fserv-euc1-lb37.freshservice.com",,,,,"letsencrypt.org, amazon.com",
,backend-app.btob-preproduction-aws.zegocover.com,"ns-1296.awsdns-34.org, awsdns-hostmaster.amazon.com",NOERROR,"52.48.78.52, 52.51.230.191, 54.216.89.81","heritage=external-dns,external-dns/owner=default,external-dns/resource=gateway/b2bego-appserver/b2bego-appserver",,,,,,,,,
,backoffice.production-aws.zegocover.com,"ns-1053.awsdns-03.org, awsdns-hostmaster.amazon.com",NOERROR,"54.216.207.48, 34.253.25.19",,,,awseb-awseb-kwbvmsoa48wf-1863088521.eu-west-1.elb.amazonaws.com,,,,,,
,backoffice.staging-aws.zegocover.com,"ns-1053.awsdns-03.org, awsdns-hostmaster.amazon.com",NOERROR,"52.212.84.117, 34.242.60.144",,,,awseb-awseb-1qiayfojsvyga-2108565330.eu-west-1.elb.amazonaws.com,,,,,,
,bounce.zegocover.com,"aria.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,,,,bounce.s50.exacttarget.com
,bp.zego.com,"aria.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,,,,
,btob-development-aws.zegocover.com,"ns-1930.awsdns-49.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,"ns-354.awsdns-44.com, ns-734.awsdns-27.net, ns-1395.awsdns-46.org, ns-1930.awsdns-49.co.uk",,,,,,,,
,btob-preproduction-aws.zegocover.com,"ns-1296.awsdns-34.org, awsdns-hostmaster.amazon.com",NOERROR,,,"ns-74.awsdns-09.com, ns-812.awsdns-37.net, ns-1296.awsdns-34.org, ns-1627.awsdns-11.co.uk",,,,,,,,
