input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_tls_connection,tls_sni,cdn_name,port,url,scheme,content_type,method,host,path,favicon,a_,lines,failed,cdn,tls_subject_org_,tls_wildcard_certificate,webserver,tech_,csp_domains_,final_url,tls_mismatched
api-v3.production-aws.zegocover.com,Zego API v3,200,2895,api-v3.production-aws.zegocover.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-10T00:00:00Z,2023-11-27T23:59:59Z,CN=production-aws.zegocover.com,production-aws.zegocover.com,*.production-aws.zegocover.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,209749231d5f6729d1ac7ad2fb980939,58bc60cf41752ad3e09598acbcf43a43f8f3872e8e63860d55467725aa344492,ctls,api-v3.production-aws.zegocover.com,,443,https://api-v3.production-aws.zegocover.com:443,https,text/html,GET,34.242.23.191,/,2125685474,54.155.101.116,52,False,,,True,zego,React,,https://api-v3.production-aws.zegocover.com/docs,
api-v3.staging-aws.zegocover.com,Zego API v3,200,2895,api-v3.staging-aws.zegocover.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-09T00:00:00Z,2023-11-27T23:59:59Z,CN=staging-aws.zegocover.com,staging-aws.zegocover.com,*.staging-aws.zegocover.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,7717b37e338c687aa55291dcc006b6ec,4455f65df9276e57fa4365430fc8f0f992bffa632bebf20e9c4b9703348d3192,ctls,api-v3.staging-aws.zegocover.com,,443,https://api-v3.staging-aws.zegocover.com:443,https,text/html,GET,3.248.54.158,/,2125685474,18.200.217.183,52,False,,,True,zego,React,,https://api-v3.staging-aws.zegocover.com/docs,
api.zego.com,Homepage - UK,200,225704,api.zego.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-10-30T00:00:00Z,2023-10-30T23:59:59Z,"CN=zego.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",zego.com,zego.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",6fb5c75a59a828da23972375ea7fef62,e2fa32508a31223cb0fe4221e3c7534a2ff7f344e66d069e60133e0d22e0ee83,ctls,api.zego.com,cloudflare,443,https://api.zego.com:443,https,text/html,GET,172.66.43.90,/,-1990017334,2606:4700:3108::ac42:2b5a,49,False,True,"Cloudflare, Inc.",True,cloudflare,webpack,,,
api.zegocover.com,Homepage - UK,200,224519,api.zegocover.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-17T00:00:00Z,2024-04-16T23:59:59Z,"CN=sni.cloudflaressl.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sni.cloudflaressl.com,zegocover.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",6cd3724912891b08780087cedaa3a74c,197d62f39ef1e283bbafac8d621f81d8db57511a229238b473e5f60b7ac9af35,ctls,api.zegocover.com,cloudflare,443,https://api.zegocover.com:443,https,text/html,GET,104.18.15.10,/,-1021440565,2606:4700::6812:e0a,49,False,True,"Cloudflare, Inc.",True,cloudflare,webpack,,,
assets.zego.com,,403,243,assets.zego.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-10-30T00:00:00Z,2023-10-30T23:59:59Z,"CN=zego.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",zego.com,zego.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",6fb5c75a59a828da23972375ea7fef62,e2fa32508a31223cb0fe4221e3c7534a2ff7f344e66d069e60133e0d22e0ee83,ctls,assets.zego.com,cloudflare,443,https://assets.zego.com:443,https,application/xml,GET,172.66.43.90,/,-1616532811,2606:4700:3108::ac42:28a6,2,False,True,"Cloudflare, Inc.",True,cloudflare,HSTS,,,
auth-staging.zego.com,Homepage - UK,200,225704,www.zego.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-10-30T00:00:00Z,2023-10-30T23:59:59Z,"CN=zego.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",zego.com,zego.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",6fb5c75a59a828da23972375ea7fef62,e2fa32508a31223cb0fe4221e3c7534a2ff7f344e66d069e60133e0d22e0ee83,ctls,www.zego.com,cloudflare,443,https://auth-staging.zego.com:443,https,text/html,GET,104.17.171.55,/,-738705486,2606:4700::6811:ab37,49,False,True,"Cloudflare, Inc.",True,cloudflare,webpack,,https://www.zego.com/,
b2bhelpdesk.zego.com,,200,60107,b2bhelpdesk.zego.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-05-27T10:40:04Z,2023-08-25T10:40:03Z,CN=b2bhelpdesk.zego.com,b2bhelpdesk.zego.com,b2bhelpdesk.zego.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,d49f305011d604e5de71c5cbde458100,54cf4f4c1017c7aebca5c9d7f4c338e561fd4165e842a6b81075cded4944be5a,ctls,b2bhelpdesk.zego.com,,443,https://b2bhelpdesk.zego.com:443,https,text/html,GET,3.71.156.255,/,-1840324437,18.192.237.30,387,False,,,,fwe,Ruby on Rails,,https://b2bhelpdesk.zego.com/support/home,
backend-app.btob-preproduction-aws.zegocover.com,,404,,backend-app.btob-preproduction-aws.zegocover.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-10-21T00:00:00Z,2023-11-19T23:59:59Z,CN=btob-preproduction-aws.zegocover.com,btob-preproduction-aws.zegocover.com,*.b2b.btob-preproduction-aws.zegocover.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,88df5b0b55f7da623edfba7af0c3bd1d,fa1eeafaa5cc984d0a8394896e036b1fc0772b991a2a3b1c1eb43bb38a89a109,ctls,backend-app.btob-preproduction-aws.zegocover.com,,443,https://backend-app.btob-preproduction-aws.zegocover.com:443,https,,GET,54.216.89.81,/,-1840324437,52.48.78.52,1,False,,,True,zego,,,,
backoffice.production-aws.zegocover.com,The resource cannot be found.,404,3213,backoffice.production-aws.zegocover.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-02-10T00:00:00Z,2023-11-27T23:59:59Z,CN=production-aws.zegocover.com,production-aws.zegocover.com,*.production-aws.zegocover.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,209749231d5f6729d1ac7ad2fb980939,58bc60cf41752ad3e09598acbcf43a43f8f3872e8e63860d55467725aa344492,ctls,backoffice.production-aws.zegocover.com,,443,https://backoffice.production-aws.zegocover.com:443,https,text/html,GET,34.253.25.19,/,1772087922,54.216.207.48,57,False,,,True,Microsoft-IIS/10.0,Windows Server,,,
backoffice.staging-aws.zegocover.com,The resource cannot be found.,404,3213,backoffice.staging-aws.zegocover.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-02-09T00:00:00Z,2023-11-27T23:59:59Z,CN=staging-aws.zegocover.com,staging-aws.zegocover.com,*.staging-aws.zegocover.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,7717b37e338c687aa55291dcc006b6ec,4455f65df9276e57fa4365430fc8f0f992bffa632bebf20e9c4b9703348d3192,ctls,backoffice.staging-aws.zegocover.com,,443,https://backoffice.staging-aws.zegocover.com:443,https,text/html,GET,34.242.60.144,/,1772087922,52.212.84.117,57,False,,,True,Microsoft-IIS/10.0,Windows Server,,,
