new,host,a,status_code,aaaa,cname,soa,cdn,cdn-name,mx,ns,txt,caa
[x],autodiscover.natur.com,"52.98.229.184, 52.97.190.40, 52.98.240.136, 52.98.240.24, 52.97.229.216, 52.97.190.8, 52.98.240.40, 52.98.240.120",NOERROR,"2603:1026:c0e:86a::8, 2603:1026:c0e:80d::8, 2603:1026:c0e:20::8","autodiscover.outlook.com, atod-g2.tm-4.office.com, autod.ms-acdc-autod.office.com","ns1-ms-acdc.office.com, hostmaster.microsoft.com",,,,,,
[x],enterpriseregistration.natur.com,"40.126.53.23, 20.190.181.22, 20.190.181.21, 20.190.181.19",NOERROR,"2603:1027:1:28::, 2603:1027:1:28::2, 2603:1027:1:28::b, 2603:1027:1:28::3","enterpriseregistration.windows.net, adrs.privatelink.msidentity.com, www.tm.prd.adrs.trafficmanager.net, na.privatelink.msidentity.com, prdf.aadg.msidentity.com, www.tm.f.prd.aadg.trafficmanager.net","tm1.dns-tm.com, hostmaster.trafficmanager.net",True,azure,,,,
[x],lyncdiscover.natur.com,52.112.65.206,NOERROR,"2603:1037:0:c::12, 2603:1037::e, 2603:1037:0:5::e, 2603:1037:0:7::e, 2603:1037:0:6::e, 2603:1037:0:8::e, 2603:1037:0:a::e, 2603:1037:0:15::d",webdir.online.lync.com,"admin.nsatc.net, dns.level3.net",,,,,,
[x],mail.natur.com,"104.26.9.249, 104.26.8.249, 172.67.70.228",NOERROR,"2606:4700:20::681a:9f9, 2606:4700:20::ac43:46e4, 2606:4700:20::681a:8f9",,"erin.ns.cloudflare.com, dns.cloudflare.com",True,cloudflare,,,,
[x],msoid.natur.com,"40.126.32.74, 40.126.32.133, 40.126.32.136, 40.126.32.138, 40.126.32.140, 20.190.160.17, 20.190.160.22, 40.126.32.68",NOERROR,"2603:1026:3000:150::8, 2603:1026:3000:150::a, 2603:1027:1:158::2, 2603:1027:1:158::a, 2603:1026:3000:148::e, 2603:1026:3000:148::10, 2603:1026:3000:148::12, 2603:1026:3000:150::5","clientconfig.microsoftonline-p.net, a.privatelink.msidentity.com, prda.aadg.msidentity.com, www.tm.a.prd.aadg.akadns.net, www.tm.a.prd.aadg.trafficmanager.net","internal.akadns.net, hostmaster.akamai.com, tm1.dns-tm.com, hostmaster.trafficmanager.net",True,azure,,,,
[x],natur.com,"104.26.9.249, 172.67.70.228, 104.26.8.249",NOERROR,"2606:4700:20::681a:9f9, 2606:4700:20::ac43:46e4, 2606:4700:20::681a:8f9",,"erin.ns.cloudflare.com, dns.cloudflare.com",True,cloudflare,"natur-com.mail.protection.outlook.com, mx1.dnsmadeeasy.com, mx2.dnsmadeeasy.com, mx3.dnsmadeeasy.com, _dc-mx.1ef0054d926f.natur.com","ram.ns.cloudflare.com, erin.ns.cloudflare.com",v=spf1 include:spf.protection.outlook.com ip4:172.246.27.64 include:_spf.perfora.net include:_spf.kundenserver.de -all,"comodoca.com, digicert.com; cansignhttpexchanges=yes, letsencrypt.org, pki.goog; cansignhttpexchanges=yes, sectigo.com"
[x],sip.natur.com,52.112.192.139,NOERROR,2603:1027:0:48::20,sipdir.online.lync.com,"admin.nsatc.net, dns.level3.net",,,,,,
[x],web.natur.com,54.144.128.85,NOERROR,,,,,,,,,
[x],www.bnw.natur.com,54.144.128.85,NOERROR,,,,,,,,,
[x],www.natur.com,"188.114.98.229, 188.114.99.229",NOERROR,"2a06:98c1:3122:e000::5, 2a06:98c1:3123:e000::5",,"erin.ns.cloudflare.com, dns.cloudflare.com",True,cloudflare,,,,
