input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_mismatched,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_org_,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_tls_connection,tls_sni,port,url,scheme,webserver,content_type,method,host,path,favicon,a_,lines,failed,tls_wildcard_certificate,tech_,final_url,cdn_name,cdn,csp_domains_
api.staging.tripit.com,404 Not Found,404,146,api.staging.tripit.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,,2023-05-19T00:00:00Z,2024-05-18T23:59:59Z,"CN=www.tripit.com, O=Concur Technologies\, Inc, L=Bellevue, ST=Washington, C=US",www.tripit.com,"Concur Technologies, Inc",www.staging.tripit.com,"CN=GeoTrust RSA CA 2018, OU=www.digicert.com, O=DigiCert Inc, C=US",GeoTrust RSA CA 2018,DigiCert Inc,2303c00727e6d697b273a9c2d4774e25,3c2dad8386b03f571971544ef3322d6a4799102609240cf5e9aa0dfa67f968e7,ctls,api.staging.tripit.com,443,https://api.staging.tripit.com:443,https,envoy,text/html,GET,184.30.134.71,/,1951692205,2a02:26f0:1700:182::11a0,8,False,,HSTS,,,,
api.tripit.com,404 Not Found,404,146,api.tripit.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,,2023-05-19T00:00:00Z,2024-05-18T23:59:59Z,"CN=www.tripit.com, O=Concur Technologies\, Inc, L=Bellevue, ST=Washington, C=US",www.tripit.com,"Concur Technologies, Inc",www.staging.tripit.com,"CN=GeoTrust RSA CA 2018, OU=www.digicert.com, O=DigiCert Inc, C=US",GeoTrust RSA CA 2018,DigiCert Inc,2303c00727e6d697b273a9c2d4774e25,3c2dad8386b03f571971544ef3322d6a4799102609240cf5e9aa0dfa67f968e7,ctls,api.tripit.com,443,https://api.tripit.com:443,https,envoy,text/html,GET,184.30.134.71,/,1951692205,2a02:26f0:1700:182::11a0,8,False,,HSTS,,,,
assets.tripit.com,TripIt | Online travel itinerary and trip planner,200,22289,www.tripit.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,,2023-05-19T00:00:00Z,2024-05-18T23:59:59Z,"CN=www.tripit.com, O=Concur Technologies\, Inc, L=Bellevue, ST=Washington, C=US",www.tripit.com,"Concur Technologies, Inc",www.staging.tripit.com,"CN=GeoTrust RSA CA 2018, OU=www.digicert.com, O=DigiCert Inc, C=US",GeoTrust RSA CA 2018,DigiCert Inc,2303c00727e6d697b273a9c2d4774e25,3c2dad8386b03f571971544ef3322d6a4799102609240cf5e9aa0dfa67f968e7,ctls,www.tripit.com,443,https://assets.tripit.com:443,https,nginx,text/html,GET,23.215.21.247,/,-2017593730,2a02:26f0:7100:98b::11a0,692,False,,Nginx,https://www.tripit.com/assets/,,,
blog.tripit.com,Access Denied,403,223,blog.tripit.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,True,2023-05-19T00:00:00Z,2024-05-18T23:59:59Z,"CN=www.tripit.com, O=Concur Technologies\, Inc, L=Bellevue, ST=Washington, C=US",www.tripit.com,"Concur Technologies, Inc",www.staging.tripit.com,"CN=GeoTrust RSA CA 2018, OU=www.digicert.com, O=DigiCert Inc, C=US",GeoTrust RSA CA 2018,DigiCert Inc,2303c00727e6d697b273a9c2d4774e25,3c2dad8386b03f571971544ef3322d6a4799102609240cf5e9aa0dfa67f968e7,ctls,blog.tripit.com,443,https://blog.tripit.com:443,https,AkamaiGHost,text/html,GET,23.215.21.247,/,1039402071,2a02:26f0:480:ba9::11a0,10,False,,,,,,
business.staging.tripit.com,404 Not Found,404,146,business.staging.tripit.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,,2023-05-19T00:00:00Z,2024-05-18T23:59:59Z,"CN=www.tripit.com, O=Concur Technologies\, Inc, L=Bellevue, ST=Washington, C=US",www.tripit.com,"Concur Technologies, Inc",www.staging.tripit.com,"CN=GeoTrust RSA CA 2018, OU=www.digicert.com, O=DigiCert Inc, C=US",GeoTrust RSA CA 2018,DigiCert Inc,2303c00727e6d697b273a9c2d4774e25,3c2dad8386b03f571971544ef3322d6a4799102609240cf5e9aa0dfa67f968e7,ctls,business.staging.tripit.com,443,https://business.staging.tripit.com:443,https,envoy,text/html,GET,23.215.21.247,/,1951692205,2a02:26f0:480:b91::11a0,8,False,,HSTS,,,,
business.tripit.com,404 Not Found,404,146,business.tripit.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,,2023-05-19T00:00:00Z,2024-05-18T23:59:59Z,"CN=www.tripit.com, O=Concur Technologies\, Inc, L=Bellevue, ST=Washington, C=US",www.tripit.com,"Concur Technologies, Inc",www.staging.tripit.com,"CN=GeoTrust RSA CA 2018, OU=www.digicert.com, O=DigiCert Inc, C=US",GeoTrust RSA CA 2018,DigiCert Inc,2303c00727e6d697b273a9c2d4774e25,3c2dad8386b03f571971544ef3322d6a4799102609240cf5e9aa0dfa67f968e7,ctls,business.tripit.com,443,https://business.tripit.com:443,https,envoy,text/html,GET,184.30.134.71,/,1951692205,2a02:26f0:1700:196::11a0,8,False,,HSTS,,,,
careers.staging.tripit.com,404 File Not Found,404,641,careers.peopleclick.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,,2022-08-08T00:00:00Z,2023-08-08T23:59:59Z,"CN=*.peopleclick.com, O=Learning Technologies Group Inc., ST=North Carolina, C=US",*.peopleclick.com,Learning Technologies Group Inc.,peopleclick.com,"CN=Sectigo RSA Organization Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Organization Validation Secure Server CA,Sectigo Limited,2238bd212be547313822fbea913e77b9,01dd112f63bf0146be9852fca60f7ab89c9372138e4f6f668e4798ea92da5a05,ctls,careers.peopleclick.com,443,https://careers.staging.tripit.com:443,https,BigIP,text/html,GET,184.30.134.71,/,1951692205,2a02:26f0:1700:182::11a0,1,False,True,F5 BigIP,https://careers.peopleclick.com/careerscp/client_concur/tripit/search.do?functionName=getSearchCriteria,,,
careers.tripit.com,404 File Not Found,404,641,careers.peopleclick.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,,2022-08-08T00:00:00Z,2023-08-08T23:59:59Z,"CN=*.peopleclick.com, O=Learning Technologies Group Inc., ST=North Carolina, C=US",*.peopleclick.com,Learning Technologies Group Inc.,peopleclick.com,"CN=Sectigo RSA Organization Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Organization Validation Secure Server CA,Sectigo Limited,2238bd212be547313822fbea913e77b9,01dd112f63bf0146be9852fca60f7ab89c9372138e4f6f668e4798ea92da5a05,ctls,careers.peopleclick.com,443,https://careers.tripit.com:443,https,BigIP,text/html,GET,184.30.134.71,/,1951692205,2a02:26f0:1700:196::11a0,1,False,True,F5 BigIP,https://careers.peopleclick.com/careerscp/client_concur/tripit/search.do?functionName=getSearchCriteria,,,
fwdkim1.tripit.com,ERROR: The request could not be satisfied,403,915,,,,,,,,,,,,,,,,,,,,80,http://fwdkim1.tripit.com:80,http,CloudFront,text/html,GET,13.225.78.59,/,-1521252499,13.225.78.40,20,False,,Amazon Web Services,,cloudfront,True,
help.tripit.com,Support : TripIt,200,43033,help.tripit.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,,2023-05-17T19:19:21Z,2023-08-15T19:19:20Z,CN=help.tripit.com,help.tripit.com,,help.tripit.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,afb9210fbb37dfd36a612bb18bbf59f5,479c1b924e04cbd880d3fe42e1123e2e19136362fae28ceee2b91eb780561097,ctls,help.tripit.com,443,https://help.tripit.com:443,https,fwe,text/html,GET,54.93.134.127,/,-1611011004,52.58.204.26,1088,False,,Ruby on Rails,https://help.tripit.com/en/support/home,,,
links.emea.tripit.com,Anti-Spam and Privacy,200,3323,links.emea.tripit.com,443,True,tls13,TLS_AES_128_GCM_SHA256,True,2023-03-07T00:00:00Z,2024-03-16T23:59:59Z,"CN=*.ibmmarketingcloud.com, O=Acoustic\, L.P., L=Atlanta, ST=Georgia, C=US",*.ibmmarketingcloud.com,"Acoustic, L.P.",silverpop.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,02f154265e47a3ebe3dcb7270ca62663,2df36c87bb90f110bd26017407a31214466271592a7dc36ceb6bbe6f49eb634b,ctls,links.emea.tripit.com,443,https://links.emea.tripit.com:443,https,,text/html,GET,3.127.205.219,/,-1182956792,3.127.205.219,149,False,True,HSTS,,,,
m.staging.tripit.com,TripIt | Online travel itinerary and trip planner,200,37785,www.staging.tripit.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,,2023-05-19T00:00:00Z,2024-05-18T23:59:59Z,"CN=www.tripit.com, O=Concur Technologies\, Inc, L=Bellevue, ST=Washington, C=US",www.tripit.com,"Concur Technologies, Inc",www.staging.tripit.com,"CN=GeoTrust RSA CA 2018, OU=www.digicert.com, O=DigiCert Inc, C=US",GeoTrust RSA CA 2018,DigiCert Inc,2303c00727e6d697b273a9c2d4774e25,3c2dad8386b03f571971544ef3322d6a4799102609240cf5e9aa0dfa67f968e7,ctls,www.staging.tripit.com,443,https://m.staging.tripit.com:443,https,envoy,text/html,GET,184.30.134.71,/,1951692205,2a02:26f0:1700:196::11a0,184,False,,HSTS,https://www.staging.tripit.com/account/login,,,https:
m.tripit.com,TripIt | Online travel itinerary and trip planner,200,22289,www.tripit.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,,2023-05-19T00:00:00Z,2024-05-18T23:59:59Z,"CN=www.tripit.com, O=Concur Technologies\, Inc, L=Bellevue, ST=Washington, C=US",www.tripit.com,"Concur Technologies, Inc",www.staging.tripit.com,"CN=GeoTrust RSA CA 2018, OU=www.digicert.com, O=DigiCert Inc, C=US",GeoTrust RSA CA 2018,DigiCert Inc,2303c00727e6d697b273a9c2d4774e25,3c2dad8386b03f571971544ef3322d6a4799102609240cf5e9aa0dfa67f968e7,ctls,www.tripit.com,443,https://m.tripit.com:443,https,nginx,text/html,GET,184.30.134.71,/,1951692205,2a02:26f0:1700:182::11a0,692,False,,Nginx,https://www.tripit.com/web,,,
