input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_org_,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_wildcard_certificate,tls_tls_connection,tls_sni,cdn_name,port,url,scheme,webserver,content_type,method,host,path,favicon,a_,tech_,lines,failed,cdn,final_url,tls_expired,csp_domains_,tls_mismatched
*.amplitude.com,Amplitude | Product Analytics & Event Tracking Platform | Amplitude,200,323121,amplitude.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-01-23T00:00:00Z,2024-02-14T23:59:59Z,CN=*.amplitude.com,*.amplitude.com,,amplitude.com,"CN=COMODO RSA Domain Validation Secure Server CA, O=COMODO CA Limited, L=Salford, ST=Greater Manchester, C=GB",COMODO RSA Domain Validation Secure Server CA,COMODO CA Limited,4666e0796ab29d5bbff77ea132d95ee2,b6fb73c2f4a87e5f215e1fd93dcfbdfe444fbd5254fb16a2eeef91fbcbeca6a0,True,ctls,amplitude.com,,443,https://amplitude.com:443,https,nginx/1.22.0,text/html,GET,13.248.219.127,/,1001190211,76.223.69.48,webpack,1,False,,,,,
*.googleapis.com,Error 404 (Not Found)!!1,404,1561,,,,,,,,,,,,,,,,,,,,,80,http://googleapis.com:80,http,,text/html,GET,142.250.184.228,/,302920777,2a00:1450:4001:828::2004,,12,False,,,,,
*.gstatic.com,Error 404 (Not Found)!!1,404,1561,,,,,,,,,,,,,,,,,,,,,80,http://gstatic.com:80,http,sffe,text/html,GET,172.217.16.195,/,302920777,2a00:1450:4001:81c::2003,,12,False,,http://www.gstatic.com/,,,
00010.myshoplaza.com,The store is currently unavailable,404,6405,00010.myshoplaza.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-06-24T00:00:00Z,2024-06-23T23:59:59Z,"CN=myshoplaza.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",myshoplaza.com,"Cloudflare, Inc.",*.myshoplaza.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",0ce38301e875cd46435c551cc4bb59db,0eaffd396363b60c5eecd5b52a6a12aae9753a0f8dfddb0ff7c1e68001a945bf,True,ctls,00010.myshoplaza.com,cloudflare,443,https://00010.myshoplaza.com:443,https,cloudflare,text/html,GET,104.18.26.71,/,1519621425,104.18.27.71,Microsoft ASP.NET,26,False,True,,,,
0001xf.myshoplaza.com,kiebay,200,219562,0001xf.myshoplaza.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-06-24T00:00:00Z,2024-06-23T23:59:59Z,"CN=myshoplaza.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",myshoplaza.com,"Cloudflare, Inc.",*.myshoplaza.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",0ce38301e875cd46435c551cc4bb59db,0eaffd396363b60c5eecd5b52a6a12aae9753a0f8dfddb0ff7c1e68001a945bf,True,ctls,0001xf.myshoplaza.com,cloudflare,443,https://0001xf.myshoplaza.com:443,https,cloudflare,text/html,GET,104.18.26.71,/,-1206076886,104.18.27.71,Microsoft ASP.NET,1942,False,True,,,,
008.myshoplaza.com,The store is currently unavailable,404,6405,008.myshoplaza.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-06-24T00:00:00Z,2024-06-23T23:59:59Z,"CN=myshoplaza.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",myshoplaza.com,"Cloudflare, Inc.",*.myshoplaza.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",0ce38301e875cd46435c551cc4bb59db,0eaffd396363b60c5eecd5b52a6a12aae9753a0f8dfddb0ff7c1e68001a945bf,True,ctls,008.myshoplaza.com,cloudflare,443,https://008.myshoplaza.com:443,https,cloudflare,text/html,GET,104.18.26.71,/,1869094077,104.18.27.71,Microsoft ASP.NET,26,False,True,,,,
109.myshoplaza.com,The store is currently unavailable,404,6405,109.myshoplaza.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-06-24T00:00:00Z,2024-06-23T23:59:59Z,"CN=myshoplaza.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",myshoplaza.com,"Cloudflare, Inc.",*.myshoplaza.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",0ce38301e875cd46435c551cc4bb59db,0eaffd396363b60c5eecd5b52a6a12aae9753a0f8dfddb0ff7c1e68001a945bf,True,ctls,109.myshoplaza.com,cloudflare,443,https://109.myshoplaza.com:443,https,cloudflare,text/html,GET,104.18.26.71,/,-186430678,104.18.27.71,Microsoft ASP.NET,26,False,True,,,,
11-11c.myshoplaza.com,Homewent Shop,200,167196,11-11c.myshoplaza.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-06-24T00:00:00Z,2024-06-23T23:59:59Z,"CN=myshoplaza.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",myshoplaza.com,"Cloudflare, Inc.",*.myshoplaza.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",0ce38301e875cd46435c551cc4bb59db,0eaffd396363b60c5eecd5b52a6a12aae9753a0f8dfddb0ff7c1e68001a945bf,True,ctls,11-11c.myshoplaza.com,cloudflare,443,https://11-11c.myshoplaza.com:443,https,cloudflare,text/html,GET,104.18.26.71,/,-1206076886,104.18.27.71,Microsoft ASP.NET,2054,False,True,,,,
11-15a.myshoplaza.com,Rankinggreen Shop,200,172100,11-15a.myshoplaza.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-06-24T00:00:00Z,2024-06-23T23:59:59Z,"CN=myshoplaza.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",myshoplaza.com,"Cloudflare, Inc.",*.myshoplaza.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",0ce38301e875cd46435c551cc4bb59db,0eaffd396363b60c5eecd5b52a6a12aae9753a0f8dfddb0ff7c1e68001a945bf,True,ctls,11-15a.myshoplaza.com,cloudflare,443,https://11-15a.myshoplaza.com:443,https,cloudflare,text/html,GET,104.18.26.71,/,-1206076886,104.18.27.71,Microsoft ASP.NET,1815,False,True,,,,
11ss.myshoplaza.com,RNTWT,200,517849,11ss.myshoplaza.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-06-24T00:00:00Z,2024-06-23T23:59:59Z,"CN=myshoplaza.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",myshoplaza.com,"Cloudflare, Inc.",*.myshoplaza.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",0ce38301e875cd46435c551cc4bb59db,0eaffd396363b60c5eecd5b52a6a12aae9753a0f8dfddb0ff7c1e68001a945bf,True,ctls,11ss.myshoplaza.com,cloudflare,443,https://11ss.myshoplaza.com:443,https,cloudflare,text/html,GET,104.18.26.71,/,-1206076886,104.18.27.71,Microsoft ASP.NET,9506,False,True,,,,
