new,host,a,soa,status_code,cname,cdn,cdn-name,txt,ns,aaaa,mx,caa
[x],qylxum01-ms.informatica.com,,,NOERROR,,,,,,,,
[x],rc-sbc1.informatica.com,4.15.123.201,"dns1.p02.nsone.net, hostmaster.nsone.net",NOERROR,,,,,,,,
[x],rcgw.informatica.com,4.15.123.194,"dns1.p02.nsone.net, hostmaster.nsone.net",NOERROR,,,,,,,,
[x],redirects.informatica.com,198.202.141.115,"dns1.p02.nsone.net, hostmaster.nsone.net",NOERROR,,,,v=spf1 include:spf.protection.outlook.com -all,,,,
[x],redirerror-a.informatica.com,198.202.141.84,"dns1.p02.nsone.net, hostmaster.nsone.net",NOERROR,,,,v=spf1 include:spf.protection.outlook.com -all,,,,
[x],rsgw.informatica.com,67.108.126.6,"dns1.p02.nsone.net, hostmaster.nsone.net",NOERROR,,,,,,,,
[x],ru.informatica.com,198.202.141.157,"dns1.p02.nsone.net, hostmaster.nsone.net",NOERROR,wwwmicrolb.informatica.com,,,v=spf1 include:spf.protection.outlook.com -all,,,,
[x],sa.informatica.com,198.202.141.157,"dns1.p02.nsone.net, hostmaster.nsone.net",NOERROR,wwwmicrolb.informatica.com,,,v=spf1 include:spf.protection.outlook.com -all,,,,
[x],salesforce-aml-prod.informatica.com,52.156.69.46,,NOERROR,,True,azure,,,,,
[x],sbdeloitteextract.informaticacloud.com,"18.209.186.71, 52.20.99.145, 18.211.247.209, 18.210.142.87","ns-1119.awsdns-11.org, awsdns-hostmaster.amazon.com",NOERROR,iics-sandbox-sdel1-ids-ma-elb-820925640.us-east-1.elb.amazonaws.com,,,,,,,
[x],sccm-rwc.informatica.com,198.202.141.138,"dns1.p02.nsone.net, hostmaster.nsone.net",NOERROR,,,,v=spf1 include:spf.protection.outlook.com -all,,,,
[x],se.informatica.com,198.202.141.157,"dns1.p02.nsone.net, hostmaster.nsone.net",NOERROR,wwwmicrolb.informatica.com,,,v=spf1 include:spf.protection.outlook.com -all,,,,
[x],sea.informatica.com,198.202.141.157,"dns1.p02.nsone.net, hostmaster.nsone.net",NOERROR,wwwmicrolb.informatica.com,,,,,,,
[x],search.informatica.com,198.202.141.84,"dns1.p02.nsone.net, hostmaster.nsone.net",NOERROR,,,,,,,,
[x],serverless.dm-ap.informaticacloud.com,"3.104.9.5, 3.105.160.203",,NOERROR,sl-prod-sl-ap-ext-elb-2086172465.ap-southeast-2.elb.amazonaws.com,,,,,,,
[x],serverless.dm-na.informaticacloud.com,"3.98.30.177, 15.223.62.76","ns-616.awsdns-13.net, awsdns-hostmaster.amazon.com",NOERROR,sl-prod-sl-ca-ext-elb-1854595812.ca-central-1.elb.amazonaws.com,,,,,,,
[x],serverless.dm-uk.informaticacloud.com,"18.134.186.43, 3.11.250.148","ns-1198.awsdns-21.org, awsdns-hostmaster.amazon.com",NOERROR,sl-prod-sl-uk-ext-elb-219242374.eu-west-2.elb.amazonaws.com,,,,,,,
[x],serverless.dm-us.informaticacloud.com,"52.89.68.91, 52.89.39.3","ns-332.awsdns-41.com, awsdns-hostmaster.amazon.com",NOERROR,iics-prod-sl-us-sl--elb-864590102.us-west-2.elb.amazonaws.com,,,,,,,
[x],serverless.dmp-us.informaticacloud.com,"52.38.89.163, 35.80.221.67","ns-332.awsdns-41.com, awsdns-hostmaster.amazon.com",NOERROR,sl-preview-sl-c360-ext-elb-1801305156.us-west-2.elb.amazonaws.com,,,,,,,
[x],serverless.dmr-us.informaticacloud.com,"54.148.3.35, 52.89.55.58","ns-332.awsdns-41.com, awsdns-hostmaster.amazon.com",NOERROR,sl-preview-sl-us-ext-elb-452328432.us-west-2.elb.amazonaws.com,,,,,,,
[x],sggw.informatica.com,118.189.168.242,"dns1.p02.nsone.net, hostmaster.nsone.net",NOERROR,,,,,,,,
[x],sip.informatica.com,52.112.192.11,"admin.nsatc.net, dns.level3.net",NOERROR,sipdir.online.lync.com,,,,,2603:1027:0:2::b,,
[x],sp-sbc1.informatica.com,186.231.95.108,"dns1.p02.nsone.net, hostmaster.nsone.net",NOERROR,,,,,,,,
[x],spgw.informatica.com,179.191.77.250,"dns1.p02.nsone.net, hostmaster.nsone.net",NOERROR,,,,,,,,
[x],springbok.informatica.com,198.202.141.84,"dns1.p02.nsone.net, hostmaster.nsone.net",NOERROR,,,,v=spf1 include:spf.protection.outlook.com -all,,,,
[x],spurlmail.informatica.com,"167.89.123.124, 167.89.115.120, 167.89.115.56, 167.89.123.54","ns10.dnsmadeeasy.com, dns.dnsmadeeasy.com",NOERROR,sendgrid.net,,,"v=spf1 ip4:167.89.0.0/17 ip4:208.117.48.0/20 ip4:50.31.32.0/19 ip4:198.37.144.0/20 ip4:198.21.0.0/21 ip4:192.254.112.0/20 ip4:168.245.0.0/17 ip4:149.72.0.0/16 ip4:159.183.0.0/16 include:ab.sendgrid.net ~all, mailru-verification: 2e3995fa8a7d00e0, p8bnb2lp424dkl3c4io1aemiei, google-site-verification=1UEf8ey-RibUjY6gnpqIZFjWNqMknmeyeHz1zTmj0DE","ns10.dnsmadeeasy.com, ns13.dnsmadeeasy.com, ns12.dnsmadeeasy.com, ns11.dnsmadeeasy.com, ns14.dnsmadeeasy.com, ns15.dnsmadeeasy.com",,"mx2.sendgrid.net, mx.sendgrid.net","godaddy.com, amazonaws.com"
[x],sso.informatica.com,"35.71.190.245, 52.223.7.86","ns-609.awsdns-12.net, awsdns-hostmaster.amazon.com",NOERROR,"informatica.customdomains.okta.com, ok3-custom-crtrs.okta.com, ok3-custom-crtrs.oktaedge.okta.com, aaa00e5cffb63d634.awsglobalaccelerator.com",,,,,,,
