new,host,ttl,a,aaaa,soa,status_code,ns
[x],h1ctf.com,1796,,,"{'name': 'h1ctf.com', 'ns': 'a.ns.hackerone.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2344580146, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'h1ctf.com', 'ns': 'a.ns.hackerone.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2344580146, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}",NOERROR,"b.ns.hackerone.com, a.ns.hackerone.com"
,www.h1ctf.com,300,"188.114.96.0, 188.114.97.0","2606:4700:3031::6815:5089, 2606:4700:3032::ac43:b780","{'name': 'h1ctf.com', 'ns': 'a.ns.hackerone.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2344580146, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'h1ctf.com', 'ns': 'a.ns.hackerone.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2344580146, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'h1ctf.com', 'ns': 'a.ns.hackerone.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2344580146, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'h1ctf.com', 'ns': 'a.ns.hackerone.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2344580146, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'h1ctf.com', 'ns': 'a.ns.hackerone.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2344580146, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'h1ctf.com', 'ns': 'a.ns.hackerone.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2344580146, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}",NOERROR,
