new,host,soa,status_code,a,aaaa,cdn,cdn-name,cname,ns,has_internal_ips,internal_ips,mx,txt,caa
,ci3-1.ops.irccloud.com,"ns1.irccloud.com, dns.cloudflare.com",NOERROR,,,,,,,,,,,
,ci3-8.ops.irccloud.com,"ns1.irccloud.com, dns.cloudflare.com",NOERROR,,,,,,,,,,,
,ci6-1.ops.irccloud.com,"ns1.irccloud.com, dns.cloudflare.com",NOERROR,,,,,,,,,,,
,ci6-4.ops.irccloud.com,"ns1.irccloud.com, dns.cloudflare.com",NOERROR,,,,,,,,,,,
,ci6-5.ops.irccloud.com,"ns1.irccloud.com, dns.cloudflare.com",NOERROR,,,,,,,,,,,
,ci6-7.ops.irccloud.com,"ns1.irccloud.com, dns.cloudflare.com",NOERROR,,,,,,,,,,,
,ci62.ops.irccloud.com,"ns1.irccloud.com, dns.cloudflare.com",NOERROR,,,,,,,,,,,
,ci8.ops.irccloud.com,"ns1.irccloud.com, dns.cloudflare.com",NOERROR,,,,,,,,,,,
,clk-247b1f43.irccloud.com,"ns1.irccloud.com, dns.cloudflare.com",NOERROR,,,,,,,,,,,
,dashboard.ops.irccloud.com,"ns1.irccloud.com, dns.cloudflare.com",NOERROR,,,,,,,,,,,
,dev.internal.146504.nw.ops.irccloud.com,"ns1.irccloud.com, dns.cloudflare.com",NOERROR,,,,,,,,,,,
,dns.irccloud.com,"ns1.irccloud.com, dns.cloudflare.com",NOERROR,"52.12.132.80, 44.240.159.162",,,,,,,,,,
,dns1.irccloud.com,"ns1.irccloud.com, dns.cloudflare.com",NOERROR,52.12.132.80,,,,,,,,,,
,dns2.irccloud.com,"ns1.irccloud.com, dns.cloudflare.com",NOERROR,44.240.159.162,,,,,,,,,,
,ec2-us-west-1.irccloud.com,"ns1.irccloud.com, dns.cloudflare.com",NOERROR,,,,,,,,,,,
,ec2-us-west-2.irccloud.com,"ns1.irccloud.com, dns.cloudflare.com",NOERROR,,,,,,,,,,,
,frontend.irccloud.com,"ns1.irccloud.com, dns.cloudflare.com",NOERROR,,,,,,,,,,,
,graphite.ops.irccloud.com,"ns1.irccloud.com, dns.cloudflare.com",NOERROR,,,,,,,,,,,
,hampstead.irccloud.com,"dns1.irccloud.com, team.irccloud.com",NOERROR,5.254.36.61,,,,,"dns2.irccloud.com, dns1.irccloud.com",,,,,
,icinga.ops.irccloud.com,"ns1.irccloud.com, dns.cloudflare.com",NOERROR,,,,,,,,,,,
