new,host,a,soa,status_code,has_internal_ips,internal_ips,cdn,cdn-name,cname,aaaa,ns,mx,caa,txt,ptr
[x],alertmanager-runway.md-90.bluehost.com,208.91.198.32,"cody.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,,,,
[x],alexey25.my.bluehost.com,"104.18.28.109, 104.18.29.109","cody.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,True,cloudflare,,,,,,,
[x],alt1.bluehost.com,69.89.16.1,"cody.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,,,,
[x],alt3.bluehost.com,69.195.64.3,"cody.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,br01.lsan.bluehost.com,,,,,,
[x],alt4.bluehost.com,69.195.64.4,"cody.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,br01.nycm.bluehost.com,,,,,,
[x],backup2.beta.bluehost.in,10.102.112.12,"andy.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,10.102.112.12,,,,,,,,,
[x],bapi.bluehost.com,162.144.31.196,"cody.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,,,,
[x],barracuda2.bluehost.com,67.20.127.158,"cody.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,,,,
[x],botpp1.my.bluehost.com,"104.18.29.109, 104.18.28.109","cody.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,True,cloudflare,,,,,,,
[x],box2554.bluehost.com,50.87.184.211,"cody.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,,,,
[x],box33.bluehost.com,69.89.18.33,"cody.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,,,v=spf1 a mx include:bluehost.com ~all,
[x],box87.bluehost.com,69.89.21.87,"cody.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,,,v=spf1 a mx include:bluehost.com ~all,
[x],brelst1.my.bluehost.com,"104.18.28.109, 104.18.29.109","cody.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,True,cloudflare,,,,,,,
