new,host,ttl,a,aaaa,soa,status_code,mx,ns,txt,caa
,nb.liberapay.com,299,"172.67.150.182, 104.21.48.114","2606:4700:3030::6815:3072, 2606:4700:3030::ac43:96b6","{'name': 'liberapay.com', 'ns': 'lakas.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2353143470, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'liberapay.com', 'ns': 'lakas.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2353143470, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'liberapay.com', 'ns': 'lakas.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2353143470, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}",NOERROR,,,,
,nl.liberapay.com,300,"104.21.48.114, 172.67.150.182","2606:4700:3030::6815:3072, 2606:4700:3030::ac43:96b6","{'name': 'liberapay.com', 'ns': 'lakas.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2353143470, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'liberapay.com', 'ns': 'lakas.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2353143470, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'liberapay.com', 'ns': 'lakas.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2353143470, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'liberapay.com', 'ns': 'lakas.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2353143470, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'liberapay.com', 'ns': 'lakas.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2353143470, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'liberapay.com', 'ns': 'lakas.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2353143470, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}",NOERROR,,,,
,pl.liberapay.com,109,"104.21.48.114, 172.67.150.182",,"{'name': 'liberapay.com', 'ns': 'lakas.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2353143470, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'liberapay.com', 'ns': 'lakas.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2353143470, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'liberapay.com', 'ns': 'lakas.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2353143470, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'liberapay.com', 'ns': 'lakas.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2353143470, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'liberapay.com', 'ns': 'lakas.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2353143470, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'liberapay.com', 'ns': 'lakas.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2353143470, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}",NOERROR,,,,
,pt.liberapay.com,300,"172.67.150.182, 104.21.48.114","2606:4700:3030::6815:3072, 2606:4700:3030::ac43:96b6","{'name': 'liberapay.com', 'ns': 'lakas.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2353143470, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'liberapay.com', 'ns': 'lakas.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2353143470, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'liberapay.com', 'ns': 'lakas.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2353143470, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'liberapay.com', 'ns': 'lakas.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2353143470, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'liberapay.com', 'ns': 'lakas.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2353143470, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'liberapay.com', 'ns': 'lakas.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2353143470, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}",NOERROR,,,,
,ro.liberapay.com,300,"172.67.150.182, 104.21.48.114","2606:4700:3030::6815:3072, 2606:4700:3030::ac43:96b6","{'name': 'liberapay.com', 'ns': 'lakas.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2353143470, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'liberapay.com', 'ns': 'lakas.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2353143470, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'liberapay.com', 'ns': 'lakas.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2353143470, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}",NOERROR,,,,
,ru.liberapay.com,300,"104.21.48.114, 172.67.150.182","2606:4700:3030::ac43:96b6, 2606:4700:3030::6815:3072","{'name': 'liberapay.com', 'ns': 'lakas.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2353143470, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'liberapay.com', 'ns': 'lakas.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2353143470, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'liberapay.com', 'ns': 'lakas.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2353143470, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'liberapay.com', 'ns': 'lakas.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2353143470, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'liberapay.com', 'ns': 'lakas.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2353143470, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'liberapay.com', 'ns': 'lakas.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2353143470, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}",NOERROR,,,,
,sk.liberapay.com,300,"172.67.150.182, 104.21.48.114","2606:4700:3030::ac43:96b6, 2606:4700:3030::6815:3072","{'name': 'liberapay.com', 'ns': 'lakas.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2353143470, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'liberapay.com', 'ns': 'lakas.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2353143470, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'liberapay.com', 'ns': 'lakas.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2353143470, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'liberapay.com', 'ns': 'lakas.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2353143470, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'liberapay.com', 'ns': 'lakas.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2353143470, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'liberapay.com', 'ns': 'lakas.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2353143470, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}",NOERROR,,,,
,sv.liberapay.com,1800,,,"{'name': 'liberapay.com', 'ns': 'lakas.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2353143470, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'liberapay.com', 'ns': 'lakas.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2353143470, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'liberapay.com', 'ns': 'lakas.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2353143470, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'liberapay.com', 'ns': 'lakas.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2353143470, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'liberapay.com', 'ns': 'lakas.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2353143470, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}",NOERROR,,,,
,tr.liberapay.com,300,"172.67.150.182, 104.21.48.114","2606:4700:3030::6815:3072, 2606:4700:3030::ac43:96b6","{'name': 'liberapay.com', 'ns': 'lakas.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2353143470, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'liberapay.com', 'ns': 'lakas.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2353143470, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'liberapay.com', 'ns': 'lakas.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2353143470, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'liberapay.com', 'ns': 'lakas.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2353143470, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'liberapay.com', 'ns': 'lakas.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2353143470, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}",NOERROR,,,,
,uk.liberapay.com,300,,"2606:4700:3030::6815:3072, 2606:4700:3030::ac43:96b6","{'name': 'liberapay.com', 'ns': 'lakas.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2353143470, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'liberapay.com', 'ns': 'lakas.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2353143470, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'liberapay.com', 'ns': 'lakas.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2353143470, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'liberapay.com', 'ns': 'lakas.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2353143470, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'liberapay.com', 'ns': 'lakas.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2353143470, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'liberapay.com', 'ns': 'lakas.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2353143470, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}",NOERROR,,,,
,userfiles.liberapay.org,300,"104.21.39.93, 172.67.144.6","2606:4700:3031::6815:275d, 2606:4700:3036::ac43:9006","{'name': 'liberapay.org', 'ns': 'lakas.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2352157755, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'liberapay.org', 'ns': 'lakas.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2352157755, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'liberapay.org', 'ns': 'lakas.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2352157755, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'liberapay.org', 'ns': 'lakas.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2352157755, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}",NOERROR,,,,
,www.liberapay.com,300,"104.21.48.114, 172.67.150.182","2606:4700:3030::ac43:96b6, 2606:4700:3030::6815:3072","{'name': 'liberapay.com', 'ns': 'lakas.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2353143470, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'liberapay.com', 'ns': 'lakas.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2353143470, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'liberapay.com', 'ns': 'lakas.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2353143470, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'liberapay.com', 'ns': 'lakas.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2353143470, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'liberapay.com', 'ns': 'lakas.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2353143470, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'liberapay.com', 'ns': 'lakas.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2353143470, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}",NOERROR,,,,
,www.liberapay.org,300,"104.21.39.93, 172.67.144.6","2606:4700:3036::ac43:9006, 2606:4700:3031::6815:275d","{'name': 'liberapay.org', 'ns': 'lakas.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2352157755, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'liberapay.org', 'ns': 'lakas.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2352157755, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'liberapay.org', 'ns': 'lakas.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2352157755, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'liberapay.org', 'ns': 'lakas.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2352157755, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'liberapay.org', 'ns': 'lakas.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2352157755, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}",NOERROR,,,,
,zh-hans.liberapay.com,300,"104.21.48.114, 172.67.150.182","2606:4700:3030::ac43:96b6, 2606:4700:3030::6815:3072","{'name': 'liberapay.com', 'ns': 'lakas.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2353143470, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'liberapay.com', 'ns': 'lakas.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2353143470, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'liberapay.com', 'ns': 'lakas.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2353143470, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'liberapay.com', 'ns': 'lakas.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2353143470, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'liberapay.com', 'ns': 'lakas.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2353143470, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}",NOERROR,,,,
,zh-hant.liberapay.com,300,"104.21.48.114, 172.67.150.182","2606:4700:3030::6815:3072, 2606:4700:3030::ac43:96b6","{'name': 'liberapay.com', 'ns': 'lakas.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2353143470, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'liberapay.com', 'ns': 'lakas.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2353143470, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'liberapay.com', 'ns': 'lakas.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2353143470, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'liberapay.com', 'ns': 'lakas.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2353143470, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'liberapay.com', 'ns': 'lakas.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2353143470, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}",NOERROR,,,,
,zh.liberapay.com,300,"172.67.150.182, 104.21.48.114","2606:4700:3030::ac43:96b6, 2606:4700:3030::6815:3072","{'name': 'liberapay.com', 'ns': 'lakas.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2353143470, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'liberapay.com', 'ns': 'lakas.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2353143470, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'liberapay.com', 'ns': 'lakas.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2353143470, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'liberapay.com', 'ns': 'lakas.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2353143470, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'liberapay.com', 'ns': 'lakas.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2353143470, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'liberapay.com', 'ns': 'lakas.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2353143470, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}",NOERROR,,,,
