input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_mismatched,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_wildcard_certificate,tls_tls_connection,tls_sni,cdn_name,port,url,scheme,webserver,method,host,path,favicon,a_,tech_,lines,failed,cdn,content_type,final_url
5337917.community.blablalines.com,404 Not Found,404,162,5337917.community.blablalines.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,True,2022-12-14T18:12:57Z,2024-01-15T17:57:31Z,CN=*.sendgrid.net,*.sendgrid.net,sendgrid.net,"CN=Go Daddy Secure Certificate Authority - G2, OU=http://certs.godaddy.com/repository/, O=GoDaddy.com\, Inc., L=Scottsdale, ST=Arizona, C=US",Go Daddy Secure Certificate Authority - G2,"GoDaddy.com, Inc.",5b6add9e6e69e62589480ba3bd94b267,53aadc5910a6619d5102afbe44af32ecae87d4ef77fea8317be1ddc34b349e10,True,ctls,5337917.community.blablalines.com,,443,https://5337917.community.blablalines.com:443,https,nginx,GET,167.89.118.52,/,190856733,167.89.118.83,Nginx,8,False,,text/html,
ablink.community.blablacardaily.com,404 Not Found,404,162,ablink.community.blablacardaily.com,443,True,tls13,TLS_AES_128_GCM_SHA256,True,2023-05-08T05:38:03Z,2023-08-06T05:38:02Z,CN=blablacar.com,blablacar.com,link.community.blablacar.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,308507237df0ea0c0d77588b1c8816c4,0fd174fcd8142b6139eb66159419f5baee298b8fd6addcf1b2447ef9edb03d7a,True,ctls,ablink.community.blablacardaily.com,google,443,https://ablink.community.blablacardaily.com:443,https,istio-envoy,GET,35.190.32.124,/,190856733,35.190.32.124,HTTP/3,8,False,True,text/html,
admin-workday-bonsai.corp.blablacar.com,Anmelden – Google Konten,200,105236,accounts.google.com,443,True,tls13,TLS_AES_128_GCM_SHA256,,2023-04-24T12:01:17Z,2023-07-17T12:01:16Z,CN=accounts.google.com,accounts.google.com,*.partner.android.com,"CN=GTS CA 1C3, O=Google Trust Services LLC, C=US",GTS CA 1C3,Google Trust Services LLC,ffbd570980888cb257acebdb708a2d75,3596256e83356f09d6079b9630443622df53790c7165aeabb3be3476ce9e74db,True,ctls,accounts.google.com,google,443,https://admin-workday-bonsai.corp.blablacar.com:443,https,GSE,GET,34.111.75.165,/,-1089391044,34.111.75.165,OpenGSE,1885,False,True,text/html,https://accounts.google.com/InteractiveLogin?continue=https://accounts.google.com/signin/oauth/legacy/consent?authuser%3Dunknown%26part%3DAJi8hAOePBl9R3EE81AjPBnVOJpOI6NaSI7TK7bCKR2nExTtnzeffrtYIzZDKUerLTK3PovLYQPhw-59mUzehUt2s8KZ4r-pob5oqodttubPaDm1LpWpbiuHYWIc_7d1WnwRu5-BEldwrO7L_UAaktDGlE0hIHKDNQwTptjrNMQzusX-rlj07_i-PLtEk52KN-a_RGfy53eAwQAwXnspXmpT6YqRER86K_eFYjT5xyhyHrkmQSFzahqKqht3BqbZe2X1iOxYBYGzwkg3eCePbRIOCqUpmc6R_tY4ebBIeFA-Y-PMr2O4fxtjknza540STLbFvF_mbr55uIP0ilr9FNlD3qQ41YEV-ctV3yETR4detxAkQfK0yG_KwoOoW8WIwqqt1bbNAvnBmvF7d_TFS8fNAQqe377Q6kF8jrpj0whEVpfu7Gw26XWJg9yrUk1Hpq_B_f3gpy_nFq_Oi3id1ie4wbC7rEsXUQ%26as%3DS-1509833354%253A1684025515534704%26client_id%3D161142538844-r1jm2g6e962uf4723ilfiuheofae8oso.apps.googleusercontent.com%23&oauth=1&rip=1&sacu=1&ifkv=Af_xneFEs0j-ZarjUFhZnY3ApMPiv9aT5zsa9Wm7bXOOagyhlxlSk4bo0mVUWKOao1_3liUdZpFgnQ
alfred-pp.bus.blablacar.com,Alfred - BO,200,2385,alfred-pp.bus.blablacar.com,443,True,tls13,TLS_AES_128_GCM_SHA256,,2023-03-30T11:35:40Z,2023-06-28T11:35:39Z,CN=alfred-pp.bus.blablacar.com,alfred-pp.bus.blablacar.com,alfred-pp.bus.blablacar.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,53cc6284c836e2230fd4fde6112c9359,92cf48c6a54f4b4ef2902982b9e73592ce3a872b6affb1b6b9796605f8455d80,,ctls,alfred-pp.bus.blablacar.com,google,443,https://alfred-pp.bus.blablacar.com:443,https,nginx/1.20.2,GET,35.190.6.238,/,425561499,35.190.6.238,Nginx:1.20.2,1,False,True,text/html,
alfred.bus.blablacar.com,Alfred - BO,200,2385,alfred.bus.blablacar.com,443,True,tls13,TLS_AES_128_GCM_SHA256,,2023-03-30T11:27:54Z,2023-06-28T11:27:53Z,CN=alfred.bus.blablacar.com,alfred.bus.blablacar.com,alfred.bus.blablacar.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,f783019e5e1aff37c6b6cf1c69b97d07,a7c9f00f4f6fa076b908c41ab5cc9211284fb2da4cdfdbda4acd620aabe4d060,,ctls,alfred.bus.blablacar.com,google,443,https://alfred.bus.blablacar.com:443,https,nginx/1.20.2,GET,34.117.42.140,/,425561499,34.117.42.140,Nginx:1.20.2,1,False,True,text/html,
api-staging.blablacardaily.com,,200,14,api-staging.blablacardaily.com,443,True,tls13,TLS_AES_128_GCM_SHA256,True,2023-05-04T14:44:34Z,2023-08-02T14:44:33Z,CN=blablacar.com,blablacar.com,blbl.cr,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,f3e2a791fbfb64adf3052c5772421f22,d0b0af6f1af88eb07fee68e0ad70248b81c2a23fb310623f91ab82c9a54a8a9c,True,ctls,api-staging.blablacardaily.com,google,443,https://api-staging.blablacardaily.com:443,https,istio-envoy,GET,34.149.179.7,/,-433694307,34.149.179.7,HTTP/3,1,False,True,text/plain,
app-entreprises.blablacardaily.com,BlaBlaLines Entreprises,200,2101,app-entreprises.blablacardaily.com,443,True,tls13,TLS_AES_128_GCM_SHA256,,2023-04-08T09:01:34Z,2023-07-07T09:01:33Z,CN=app-entreprises.blablalines.com,app-entreprises.blablalines.com,app-entreprises.blablalines.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,49f7b8419abb78ffef7913dd56f68886,b025d55fb815622bdd4df1dacc9315ad7631e18590d824f8082e8374af8b640d,,ctls,app-entreprises.blablacardaily.com,google,443,https://app-entreprises.blablacardaily.com:443,https,UploadServer,GET,34.149.9.224,/,-1566602655,34.149.9.224,HTTP/3,1,False,True,text/html,
app-entreprises.blablalines.com,BlaBlaLines Entreprises,200,2101,app-entreprises.blablalines.com,443,True,tls13,TLS_AES_128_GCM_SHA256,,2023-04-08T09:01:34Z,2023-07-07T09:01:33Z,CN=app-entreprises.blablalines.com,app-entreprises.blablalines.com,app-entreprises.blablalines.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,49f7b8419abb78ffef7913dd56f68886,b025d55fb815622bdd4df1dacc9315ad7631e18590d824f8082e8374af8b640d,,ctls,app-entreprises.blablalines.com,google,443,https://app-entreprises.blablalines.com:443,https,UploadServer,GET,34.149.9.224,/,-1566602655,34.149.9.224,HTTP/3,1,False,True,text/html,
assurance.blablacar.fr,BlaBlaCar Assurance,200,264555,assurance.blablacar.fr,443,True,tls13,TLS_AES_128_GCM_SHA256,,2023-05-11T06:37:27Z,2023-08-09T06:37:26Z,CN=assurance.blablacar.fr,assurance.blablacar.fr,assurance.blablacar.fr,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,18b70dea9caf775a42ee420f51152949,6f6dd6770d583d7f01464c0dc24f43e0c566fba5d5d4ceeb338311fc476ce09f,,ctls,assurance.blablacar.fr,,80,http://assurance.blablacar.fr:80,http,Squarespace,GET,198.185.159.144,/,-1826672549,198.185.159.145,Stimulus,1397,False,,text/html,https://assurance.blablacar.fr/
auth.blablacar.co.uk,blablacar.co.uk,403,586,auth.blablacar.co.uk,443,True,tls13,TLS_AES_128_GCM_SHA256,,2023-05-08T05:38:03Z,2023-08-06T05:38:02Z,CN=blablacar.com,blablacar.com,link.community.blablacar.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,308507237df0ea0c0d77588b1c8816c4,0fd174fcd8142b6139eb66159419f5baee298b8fd6addcf1b2447ef9edb03d7a,True,ctls,auth.blablacar.co.uk,google,80,http://auth.blablacar.co.uk:80,http,istio-envoy,GET,35.190.32.124,/,901974409,35.190.32.124,HTTP/3,2,False,True,text/html,https://auth.blablacar.co.uk:443/
auth.blablacar.com,blablacar.com,403,584,auth.blablacar.com,443,True,tls13,TLS_AES_128_GCM_SHA256,True,2023-05-08T05:38:03Z,2023-08-06T05:38:02Z,CN=blablacar.com,blablacar.com,link.community.blablacar.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,308507237df0ea0c0d77588b1c8816c4,0fd174fcd8142b6139eb66159419f5baee298b8fd6addcf1b2447ef9edb03d7a,True,ctls,auth.blablacar.com,google,443,https://auth.blablacar.com:443,https,istio-envoy,GET,35.190.32.124,/,901974409,35.190.32.124,HTTP/3,2,False,True,text/html,
auth.blablacar.com.br,blablacar.com.br,403,587,auth.blablacar.com.br,443,True,tls13,TLS_AES_128_GCM_SHA256,True,2023-05-08T05:38:03Z,2023-08-06T05:38:02Z,CN=blablacar.com,blablacar.com,link.community.blablacar.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,308507237df0ea0c0d77588b1c8816c4,0fd174fcd8142b6139eb66159419f5baee298b8fd6addcf1b2447ef9edb03d7a,True,ctls,auth.blablacar.com.br,google,443,https://auth.blablacar.com.br:443,https,istio-envoy,GET,35.190.32.124,/,901974409,35.190.32.124,HTTP/3,2,False,True,text/html,
auth.blablacar.com.tr,blablacar.com.tr,403,587,auth.blablacar.com.tr,443,True,tls13,TLS_AES_128_GCM_SHA256,True,2023-05-08T05:38:03Z,2023-08-06T05:38:02Z,CN=blablacar.com,blablacar.com,link.community.blablacar.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,308507237df0ea0c0d77588b1c8816c4,0fd174fcd8142b6139eb66159419f5baee298b8fd6addcf1b2447ef9edb03d7a,True,ctls,auth.blablacar.com.tr,google,443,https://auth.blablacar.com.tr:443,https,istio-envoy,GET,35.190.32.124,/,901974409,35.190.32.124,HTTP/3,2,False,True,text/html,
auth.blablacar.com.ua,blablacar.com.ua,403,587,auth.blablacar.com.ua,443,True,tls13,TLS_AES_128_GCM_SHA256,True,2023-05-08T05:38:03Z,2023-08-06T05:38:02Z,CN=blablacar.com,blablacar.com,link.community.blablacar.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,308507237df0ea0c0d77588b1c8816c4,0fd174fcd8142b6139eb66159419f5baee298b8fd6addcf1b2447ef9edb03d7a,True,ctls,auth.blablacar.com.ua,google,443,https://auth.blablacar.com.ua:443,https,istio-envoy,GET,35.190.32.124,/,901974409,35.190.32.124,HTTP/3,2,False,True,text/html,
