input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_tls_connection,tls_sni,cdn_name,port,url,scheme,webserver,method,host,path,favicon,a_,tech_,lines,failed,cdn,content_type,tls_subject_org_,final_url,tls_wildcard_certificate,csp_domains_
summit.umbraco.com,Umbraco US Summit 2023 - Grab your tickets now!,200,17250,summit.umbraco.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-05-29T15:10:15Z,2023-08-27T15:10:14Z,CN=summit.umbraco.com,summit.umbraco.com,summit.umbraco.com,"CN=GTS CA 1P5, O=Google Trust Services LLC, C=US",GTS CA 1P5,Google Trust Services LLC,8bb18e3df92e44fde241e6decdf4d4bb,9ed404ecaf66acb1ecb6d74ac206cc24eff8f5af19ea0abe1caa59bd02fdac0b,ctls,summit.umbraco.com,cloudflare,443,https://summit.umbraco.com:443,https,cloudflare,GET,104.18.35.223,/,-20275242,2606:4700:4400::ac40:9821,HSTS,37,False,True,text/html,,,,
support.umbraco.com,Security check,403,7802,support.umbraco.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-05-19T23:37:26Z,2023-08-17T23:37:25Z,CN=support.umbraco.com,support.umbraco.com,support.umbraco.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,8ebd31482ba8409873d1b35186191535,fc9dd58001379f9b117d4e394580c324b659dc83d28506c85ed8ee27b722788c,ctls,support.umbraco.com,cloudflare,443,https://support.umbraco.com:443,https,cloudflare,GET,104.16.53.111,/,-1279294674,104.16.51.111,Cloudflare,103,False,True,text/html,,https://support.umbraco.com/hc/en-us,,
telemetry.umbraco.com,,403,16,telemetry.umbraco.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-11-03T00:00:00Z,2023-11-02T23:59:59Z,"CN=umbraco.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",umbraco.com,umbraco.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",84cceb5c6e3868872fc7c5a1aad63fc3,6650a61b85e4c200f0b7c514c9c95081f7a39c0c7698be99ebe34ea3c1fd9c85,ctls,telemetry.umbraco.com,cloudflare,443,https://telemetry.umbraco.com:443,https,cloudflare,GET,104.19.208.28,/,,104.19.208.28,Cloudflare,1,False,True,text/plain,"Cloudflare, Inc.",,True,
training.umbraco.com,Loading...,200,166026,identity.umbraco.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-03-10T00:00:00Z,2024-03-10T23:59:59Z,"CN=identity.umbraco.com, O=Microsoft Corporation, L=Redmond, ST=Washington, C=US",identity.umbraco.com,identity.umbraco.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,73fbd55caa22818f06b9ca2584561f7f,a4462119b6a3c5d116720e58da1b50d405bc5360d1510652bdd03f839b85c703,ctls,identity.umbraco.com,,443,https://training.umbraco.com:443,https,,GET,134.122.92.17,/,1405122405,134.122.92.17,Handlebars,38,False,,text/html,Microsoft Corporation,https://identity.umbraco.com/5f36b6cc-f3ae-4a05-8ce1-826d1068a97d/B2C_1A_SignInLMS/oauth2/v2.0/authorize?state=f8629daefe88a7ade253466361e3094b&scope=offline_access%20openid%20https%3A%2F%2Fumbracoid.onmicrosoft.com%2Fa1cdd438-0ae2-4461-90d8-fd97abdaf9eb%2FEurekos&response_type=code&approval_prompt=auto&redirect_uri=https%3A%2F%2Ftraining.umbraco.com%2Foauth2%2Fconnect%2Fumbraco-id&client_id=a1cdd438-0ae2-4461-90d8-fd97abdaf9eb,,
umbraco.com,Umbraco - the flexible open-source .NET Core CMS,200,97589,umbraco.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-04-22T21:43:17Z,2023-07-21T21:43:16Z,CN=umbraco.com,umbraco.com,umbraco.com,"CN=GTS CA 1P5, O=Google Trust Services LLC, C=US",GTS CA 1P5,Google Trust Services LLC,7502878ec6f0b7cae304efc012206697,40728d625ec45a0e62e50a6443c5d1009c597646595ee6a64d407f80a120c993,ctls,umbraco.com,cloudflare,443,https://umbraco.com:443,https,cloudflare,GET,104.19.208.28,/,-20275242,104.19.208.28,Microsoft ASP.NET,74,False,True,text/html,,,,
uui.umbraco.com,@storybook/cli - Storybook,200,5235,uui.umbraco.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-30T15:24:56Z,2023-07-29T16:23:51Z,CN=uui.umbraco.com,uui.umbraco.com,uui.umbraco.com,"CN=GTS CA 1P5, O=Google Trust Services LLC, C=US",GTS CA 1P5,Google Trust Services LLC,8f46eb175c72c23dfcd88f1a0d4a1e5f,811f129b62ce01213299573c383d5eba51b27dc6e8adeb5df3b2f9f870e18b35,ctls,uui.umbraco.com,cloudflare,443,https://uui.umbraco.com:443,https,cloudflare,GET,172.64.152.33,/,-1279147965,2606:4700:4400::ac40:9821,HSTS,177,False,True,text/html,,,,
worker.marketplace.umbraco.com,,404,,worker.marketplace.umbraco.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-05-04T12:32:38Z,2023-08-02T13:31:33Z,CN=worker.marketplace.umbraco.com,worker.marketplace.umbraco.com,worker.marketplace.umbraco.com,"CN=GTS CA 1P5, O=Google Trust Services LLC, C=US",GTS CA 1P5,Google Trust Services LLC,d3d9e527386c420f4966a24ac0b48768,62aef67b48197e19bea88f9010d4f2575eddee9121ba9a18319591f37fa6457d,ctls,worker.marketplace.umbraco.com,cloudflare,443,https://worker.marketplace.umbraco.com:443,https,cloudflare,GET,172.64.152.33,/,-1840324437,2606:4700:4400::6812:23df,Microsoft ASP.NET,1,False,True,,,,,
www.cg.umbraco.com,Codegarden: The official Umbraco conference,200,28701,www.cg.umbraco.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-22T20:09:39Z,2023-07-21T20:09:38Z,CN=www.cg.umbraco.com,www.cg.umbraco.com,www.cg.umbraco.com,"CN=GTS CA 1P5, O=Google Trust Services LLC, C=US",GTS CA 1P5,Google Trust Services LLC,5bee2d893e8f686a4f094f9315d02510,3a9abb0b32d49ee0392a6be0e2fceacdbede330d451a310e68d3819dc485b03e,ctls,www.cg.umbraco.com,cloudflare,443,https://www.cg.umbraco.com:443,https,cloudflare,GET,104.19.208.28,/,-20275242,2606:4700::6813:bf1c,YouTube,697,False,True,text/html,,,,
www.codegarden.umbraco.com,Codegarden: The official Umbraco conference,200,28757,www.codegarden.umbraco.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-23T00:32:29Z,2023-07-22T00:32:28Z,CN=www.codegarden.umbraco.com,www.codegarden.umbraco.com,www.codegarden.umbraco.com,"CN=GTS CA 1P5, O=Google Trust Services LLC, C=US",GTS CA 1P5,Google Trust Services LLC,3541c71063fdeaa05515758ee9f62d12,2c3ce0ff4029d328e679da60356b7474523bab7811e022e7ab7ef25818480f02,ctls,www.codegarden.umbraco.com,cloudflare,443,https://www.codegarden.umbraco.com:443,https,cloudflare,GET,104.19.191.28,/,-20275242,2606:4700::6813:d01c,YouTube,697,False,True,text/html,,,,
www.community.umbraco.com,Welcome to the Community,200,25749,community.umbraco.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-04-22T11:05:50Z,2023-07-21T11:05:49Z,CN=community.umbraco.com,community.umbraco.com,community.umbraco.com,"CN=GTS CA 1P5, O=Google Trust Services LLC, C=US",GTS CA 1P5,Google Trust Services LLC,84322cf0bc896dcb4357a84610af5473,07722ac428b8e3775c3593c2c4bc2cdb64766104cf2f5c0948e026df554f5d88,ctls,community.umbraco.com,cloudflare,443,https://www.community.umbraco.com:443,https,cloudflare,GET,104.19.191.28,/,-20275242,2606:4700::6813:d01c,HSTS,43,False,True,text/html,,https://community.umbraco.com/,,
www.dashboard.umbraco.com,,200,113,www.dashboard.umbraco.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-04-22T14:48:35Z,2023-07-21T14:48:34Z,CN=www.dashboard.umbraco.com,www.dashboard.umbraco.com,www.dashboard.umbraco.com,"CN=GTS CA 1P5, O=Google Trust Services LLC, C=US",GTS CA 1P5,Google Trust Services LLC,8aeec04dddf6894e2ddf145554f4676d,1b05c0b21711fdc9cc13ff6254568ecf459d0b504689f40df3bb69596bb9318d,ctls,www.dashboard.umbraco.com,cloudflare,443,https://www.dashboard.umbraco.com:443,https,cloudflare,GET,104.18.35.223,/,-20275242,2606:4700:4400::ac40:9821,Cloudflare,1,False,True,text/html,,,,
