new,host,soa,ns,status_code,a,txt,cdn,cdn-name
[x],api.paymill.com,"ns1.namebrightdns.com, dns.namebright.com","ns2.namebrightdns.com, ns1.namebrightdns.com",NOERROR,"18.208.154.197, 54.209.224.103, 107.23.251.95",,,
[x],app.paymill.com,,"ns1.namebrightdns.com, ns2.namebrightdns.com",NOERROR,,,,
[x],button.paymill.com,"ns1.namebrightdns.com, dns.namebright.com","ns2.namebrightdns.com, ns1.namebrightdns.com",NOERROR,,,,
[x],career.paymill.com,"ns1.namebrightdns.com, dns.namebright.com","ns2.namebrightdns.com, ns1.namebrightdns.com",NOERROR,,,,
[x],cloudcontrol.paymill.com,"ns1.namebrightdns.com, dns.namebright.com","ns1.namebrightdns.com, ns2.namebrightdns.com",NOERROR,"18.208.154.197, 34.239.122.212, 3.89.215.221",,,
[x],connect-data.paymill.com,"ns1.namebrightdns.com, dns.namebright.com","ns1.namebrightdns.com, ns2.namebrightdns.com",NOERROR,"18.208.154.197, 34.239.122.212, 3.89.215.221",,,
[x],connect.paymill.com,"ns1.namebrightdns.com, dns.namebright.com","ns1.namebrightdns.com, ns2.namebrightdns.com",NOERROR,,,,
[x],developer.paymill.com,"ns1.namebrightdns.com, dns.namebright.com","ns1.namebrightdns.com, ns2.namebrightdns.com",NOERROR,,,,
[x],developers.paymill.com,"ns1.namebrightdns.com, dns.namebright.com","ns1.namebrightdns.com, ns2.namebrightdns.com",NOERROR,,,,
[x],fl.paymill.com,"ns1.namebrightdns.com, dns.namebright.com","ns2.namebrightdns.com, ns1.namebrightdns.com",NOERROR,,,,
[x],flixbus.paymill.com,"ns1.namebrightdns.com, dns.namebright.com","ns2.namebrightdns.com, ns1.namebrightdns.com",NOERROR,,,,
[x],info.paymill.com,"ns1.namebrightdns.com, dns.namebright.com","ns2.namebrightdns.com, ns1.namebrightdns.com",NOERROR,,,,
[x],paygate.app.paymill.com,"ns1.namebrightdns.com, dns.namebright.com","ns2.namebrightdns.com, ns1.namebrightdns.com",NOERROR,,,,
[x],paymill.com,"ns1.namebrightdns.com, dns.namebright.com","ns2.namebrightdns.com, ns1.namebrightdns.com",NOERROR,34.72.115.8,google-site-verification=ApFyWshfphg9-FCC6D_LA9VuRiG1ualwHdk1QFTINRs,True,google
[x],review.paymill.com,"ns1.namebrightdns.com, dns.namebright.com","ns2.namebrightdns.com, ns1.namebrightdns.com",NOERROR,,,,
[x],static.paymill.com,"ns1.namebrightdns.com, dns.namebright.com","ns2.namebrightdns.com, ns1.namebrightdns.com",NOERROR,,,,
[x],status.paymill.com,"ns1.namebrightdns.com, dns.namebright.com",,NOERROR,,,,
[x],support.paymill.com,,,NOERROR,,,,
[x],test-tds.paymill.com,"ns1.namebrightdns.com, dns.namebright.com","ns1.namebrightdns.com, ns2.namebrightdns.com",NOERROR,,,,
[x],test-token.paymill.com,"ns1.namebrightdns.com, dns.namebright.com","ns1.namebrightdns.com, ns2.namebrightdns.com",NOERROR,,,,
[x],token-v2.paymill.com,"ns1.namebrightdns.com, dns.namebright.com","ns2.namebrightdns.com, ns1.namebrightdns.com",NOERROR,,,,
[x],w.paymill.com,"ns1.namebrightdns.com, dns.namebright.com","ns2.namebrightdns.com, ns1.namebrightdns.com",NOERROR,"18.208.154.197, 54.209.224.103, 107.23.251.95",,,
