input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_tls_connection,tls_sni,cdn_name,port,url,scheme,webserver,content_type,method,host,path,favicon,a_,tech_,lines,failed,cdn,final_url,tls_subject_org_,tls_wildcard_certificate,csp_domains_,tls_mismatched
*.amplitude.com,Amplitude | Product Analytics & Event Tracking Platform | Amplitude,200,323121,amplitude.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-01-23T00:00:00Z,2024-02-14T23:59:59Z,CN=*.amplitude.com,*.amplitude.com,amplitude.com,"CN=COMODO RSA Domain Validation Secure Server CA, O=COMODO CA Limited, L=Salford, ST=Greater Manchester, C=GB",COMODO RSA Domain Validation Secure Server CA,COMODO CA Limited,4666e0796ab29d5bbff77ea132d95ee2,b6fb73c2f4a87e5f215e1fd93dcfbdfe444fbd5254fb16a2eeef91fbcbeca6a0,ctls,amplitude.com,,443,https://amplitude.com:443,https,nginx/1.22.0,text/html,GET,13.248.219.127,/,1001190211,76.223.69.48,webpack,1,False,,,,True,,
*.gitbook.com,GitBook - Where technical teams document,200,60620,www.gitbook.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-16T00:00:00Z,2024-04-15T23:59:59Z,"CN=sni.cloudflaressl.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sni.cloudflaressl.com,gitbook.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",4991886b556f7c1ff0be94cfbcc73319,9db6ff3822ccb682f86d02eb63112db9ad0f73a30882f407fe1b46307b964e73,ctls,www.gitbook.com,cloudflare,443,https://gitbook.com:443,https,cloudflare,text/html,GET,104.18.6.84,/,1241572165,2606:4700::6812:754,Vercel,459,False,True,https://www.gitbook.com,"Cloudflare, Inc.",True,,
*.google.com,Google,200,250417,www.google.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-07-10T08:21:46Z,2023-10-02T08:21:45Z,CN=www.google.com,www.google.com,www.google.com,"CN=GTS CA 1C3, O=Google Trust Services LLC, C=US",GTS CA 1C3,Google Trust Services LLC,531b6f0d6764795fb395fb7874cb00a6,9e39587ca471bdddb7c67a1e20d6b44c230f74a20a26c08a1b93762215747ac6,ctls,www.google.com,,443,https://google.com:443,https,gws,text/html,GET,142.250.185.142,/,708578229,2a00:1450:4001:810::200e,HTTP/3,149,False,,https://www.google.com/,,,http:,
*.googleapis.com,Error 404 (Not Found)!!1,404,1561,googleapis.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-07-10T08:20:31Z,2023-10-02T08:20:30Z,CN=*.googleapis.com,*.googleapis.com,*.clients6.google.ws,"CN=GTS CA 1C3, O=Google Trust Services LLC, C=US",GTS CA 1C3,Google Trust Services LLC,6301304b291f1facdf198555cec287f9,efa963c956f4252b8b0a6fb3e26df5062c22de6abe9bc54a3321a182171b075a,ctls,googleapis.com,,443,https://googleapis.com:443,https,,text/html,GET,142.250.186.68,/,302920777,2a00:1450:4001:82a::2004,HTTP/3,12,False,,,,True,,
*.gstatic.com,Error 404 (Not Found)!!1,404,1561,www.gstatic.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-07-10T08:21:12Z,2023-10-02T08:21:11Z,CN=*.gstatic.com,*.gstatic.com,*.metric.gstatic.com,"CN=GTS CA 1C3, O=Google Trust Services LLC, C=US",GTS CA 1C3,Google Trust Services LLC,094b775d6381284fd7043fc871efdc5c,659210c1a54cc8ad5769aafb5777054e2a82cd6e9c0f3559c21166a97ede41b3,ctls,www.gstatic.com,,443,https://gstatic.com:443,https,sffe,text/html,GET,172.217.16.195,/,302920777,2a00:1450:4001:806::2003,HTTP/3,12,False,,https://www.gstatic.com/,,True,,
*.iframe.ly,Your external media embeds - Iframely,200,7189,iframe.ly,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-06-22T16:12:31Z,2023-09-20T16:12:30Z,CN=iframe.ly,iframe.ly,iframe.ly,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,56e5c149e1c5f7ef0c126ba41ba8a522,5438634c5b0033ec7de7d0390da93a7160dbcad7d231b0038334207667172368,ctls,iframe.ly,,443,https://iframe.ly:443,https,nginx,text/html,GET,76.223.3.34,/,-1927739536,13.248.132.76,Nginx,89,False,,https://iframe.ly/consents,,True,,
*.intercom-attachments-1.com,Making Internet Business Personal | Intercom,200,941414,www.intercom.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-01-31T00:00:00Z,2024-02-29T23:59:59Z,CN=*.intercom.com,*.intercom.com,intercom.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,16a273078de16b234593d38b6d599fb1,1e78e3095b988214d59d22c24591ce1594d50267fd887783e5b5dd71889744ee,ctls,www.intercom.com,cloudfront,443,https://intercom-attachments-1.com:443,https,nginx,text/html,GET,143.204.215.117,/,-1840324437,2600:9000:214f:5400:19:1477:f380:93a1,React,12,False,True,https://www.intercom.com/,,True,analytics.twitter.com,
*.intercom-attachments-2.com,Making Internet Business Personal | Intercom,200,941414,www.intercom.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-01-31T00:00:00Z,2024-02-29T23:59:59Z,CN=*.intercom.com,*.intercom.com,intercom.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,16a273078de16b234593d38b6d599fb1,1e78e3095b988214d59d22c24591ce1594d50267fd887783e5b5dd71889744ee,ctls,www.intercom.com,cloudfront,443,https://intercom-attachments-2.com:443,https,nginx,text/html,GET,143.204.215.91,/,-1840324437,2600:9000:214f:5400:19:1477:f380:93a1,React,12,False,True,https://www.intercom.com/,,True,tagmanager.google.com,
*.intercom-attachments-3.com,Making Internet Business Personal | Intercom,200,941414,www.intercom.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-01-31T00:00:00Z,2024-02-29T23:59:59Z,CN=*.intercom.com,*.intercom.com,intercom.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,16a273078de16b234593d38b6d599fb1,1e78e3095b988214d59d22c24591ce1594d50267fd887783e5b5dd71889744ee,ctls,www.intercom.com,cloudfront,443,https://intercom-attachments-3.com:443,https,nginx,text/html,GET,143.204.215.106,/,-1840324437,2600:9000:214f:8200:19:1477:f380:93a1,React,12,False,True,https://www.intercom.com/,,True,js.stripe.com,
*.intercom-attachments-5.com,Making Internet Business Personal | Intercom,200,941414,www.intercom.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-01-31T00:00:00Z,2024-02-29T23:59:59Z,CN=*.intercom.com,*.intercom.com,intercom.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,16a273078de16b234593d38b6d599fb1,1e78e3095b988214d59d22c24591ce1594d50267fd887783e5b5dd71889744ee,ctls,www.intercom.com,cloudfront,443,https://intercom-attachments-5.com:443,https,nginx,text/html,GET,108.156.60.98,/,-1840324437,2600:9000:2394:fc00:19:1477:f380:93a1,React,12,False,True,https://www.intercom.com/,,True,www.intercom.com,
