new,host,ttl,soa,status_code,a,cdn,cdn-name,aaaa,txt,ns,cname
[x],354-79.ops.oasiscloud.io,300,"{'name': 'oasiscloud.io', 'ns': 'clark.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2353404395, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'oasiscloud.io', 'ns': 'clark.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2353404395, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'oasiscloud.io', 'ns': 'clark.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2353404395, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'oasiscloud.io', 'ns': 'clark.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2353404395, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}",NOERROR,"172.67.36.165, 104.22.58.107, 104.22.59.107",,,"2606:4700:10::ac43:24a5, 2606:4700:10::6816:3b6b, 2606:4700:10::6816:3a6b","heritage=external-dns,external-dns/owner=default,external-dns/resource=ingress/default/oauth-proxy-ingress",,
[x],api.internal.us-west-2.ops-staging.oasiscloud.io,900,"{'name': 'us-west-2.ops-staging.oasiscloud.io', 'ns': 'ns-827.awsdns-39.net', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'us-west-2.ops-staging.oasiscloud.io', 'ns': 'ns-827.awsdns-39.net', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'us-west-2.ops-staging.oasiscloud.io', 'ns': 'ns-827.awsdns-39.net', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'us-west-2.ops-staging.oasiscloud.io', 'ns': 'ns-827.awsdns-39.net', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'us-west-2.ops-staging.oasiscloud.io', 'ns': 'ns-827.awsdns-39.net', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'us-west-2.ops-staging.oasiscloud.io', 'ns': 'ns-827.awsdns-39.net', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}",NOERROR,,,,,,,
[x],auth.oasiscloud.io,1565,"{'name': 'oasiscloud.io', 'ns': 'clark.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2353404395, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'oasiscloud.io', 'ns': 'clark.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2353404395, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'oasiscloud.io', 'ns': 'clark.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2353404395, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'oasiscloud.io', 'ns': 'clark.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2353404395, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'oasiscloud.io', 'ns': 'clark.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2353404395, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'oasiscloud.io', 'ns': 'clark.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2353404395, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}",NOERROR,,,,,"heritage=external-dns,external-dns/owner=default,external-dns/resource=ingress/devnet3/oasis-auth-ingress",,
[x],bc91.ops.oasiscloud.io,300,"{'name': 'oasiscloud.io', 'ns': 'clark.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2353404395, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'oasiscloud.io', 'ns': 'clark.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2353404395, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'oasiscloud.io', 'ns': 'clark.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2353404395, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'oasiscloud.io', 'ns': 'clark.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2353404395, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}",NOERROR,"104.22.59.107, 172.67.36.165, 104.22.58.107",,,"2606:4700:10::6816:3b6b, 2606:4700:10::ac43:24a5, 2606:4700:10::6816:3a6b","heritage=external-dns,external-dns/owner=default,external-dns/resource=ingress/default/oauth-proxy-ingress",,
[x],bid47ve.ops.oasiscloud.io,300,"{'name': 'oasiscloud.io', 'ns': 'clark.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2353404395, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'oasiscloud.io', 'ns': 'clark.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2353404395, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'oasiscloud.io', 'ns': 'clark.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2353404395, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'oasiscloud.io', 'ns': 'clark.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2353404395, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}",NOERROR,"104.22.58.107, 104.22.59.107, 172.67.36.165",,,,"heritage=external-dns,external-dns/owner=default,external-dns/resource=ingress/default/oauth-proxy-ingress",,
[x],blockexplorer.oasiscloud.io,300,"{'name': 'oasiscloud.io', 'ns': 'clark.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2353404395, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'oasiscloud.io', 'ns': 'clark.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2353404395, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'oasiscloud.io', 'ns': 'clark.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2353404395, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'oasiscloud.io', 'ns': 'clark.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2353404395, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'oasiscloud.io', 'ns': 'clark.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2353404395, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'oasiscloud.io', 'ns': 'clark.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2353404395, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}",NOERROR,"104.22.59.107, 172.67.36.165, 104.22.58.107",,,,,,
[x],blockexplorer.pro-wh.dev.oasiscloud.io,300,"{'name': 'dev.oasiscloud.io', 'ns': 'ns-1938.awsdns-50.co.uk', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'dev.oasiscloud.io', 'ns': 'ns-1938.awsdns-50.co.uk', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'dev.oasiscloud.io', 'ns': 'ns-1938.awsdns-50.co.uk', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'dev.oasiscloud.io', 'ns': 'ns-1938.awsdns-50.co.uk', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'dev.oasiscloud.io', 'ns': 'ns-1938.awsdns-50.co.uk', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'dev.oasiscloud.io', 'ns': 'ns-1938.awsdns-50.co.uk', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'dev.oasiscloud.io', 'ns': 'ns-1938.awsdns-50.co.uk', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}",NOERROR,,,,,"heritage=external-dns,external-dns/owner=default",,
[x],cdn.oasiscloud.io,300,"{'name': 'd6r6fsfjy1uyi.cloudfront.net', 'ns': 'ns-1230.awsdns-25.org', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'd6r6fsfjy1uyi.cloudfront.net', 'ns': 'ns-1230.awsdns-25.org', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'd6r6fsfjy1uyi.cloudfront.net', 'ns': 'ns-1230.awsdns-25.org', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'd6r6fsfjy1uyi.cloudfront.net', 'ns': 'ns-1230.awsdns-25.org', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'd6r6fsfjy1uyi.cloudfront.net', 'ns': 'ns-1230.awsdns-25.org', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}",NOERROR,"99.86.4.22, 99.86.4.39, 99.86.4.110, 99.86.4.10",True,cloudfront,,,"ns-276.awsdns-34.com, ns-755.awsdns-30.net, ns-1706.awsdns-21.co.uk, ns-1230.awsdns-25.org",d6r6fsfjy1uyi.cloudfront.net
[x],charitablegift.ops.oasiscloud.io,300,"{'name': 'oasiscloud.io', 'ns': 'clark.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2353404395, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'oasiscloud.io', 'ns': 'clark.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2353404395, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'oasiscloud.io', 'ns': 'clark.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2353404395, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'oasiscloud.io', 'ns': 'clark.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2353404395, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'oasiscloud.io', 'ns': 'clark.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2353404395, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}",NOERROR,"104.22.58.107, 172.67.36.165, 104.22.59.107",,,"2606:4700:10::6816:3b6b, 2606:4700:10::ac43:24a5, 2606:4700:10::6816:3a6b","heritage=external-dns,external-dns/owner=default,external-dns/resource=ingress/default/oauth-proxy-ingress",,
[x],courier.ops.oasiscloud.io,300,"{'name': 'oasiscloud.io', 'ns': 'clark.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2353404395, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'oasiscloud.io', 'ns': 'clark.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2353404395, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'oasiscloud.io', 'ns': 'clark.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2353404395, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'oasiscloud.io', 'ns': 'clark.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2353404395, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}",NOERROR,"104.22.58.107, 104.22.59.107, 172.67.36.165",,,"2606:4700:10::6816:3a6b, 2606:4700:10::ac43:24a5, 2606:4700:10::6816:3b6b","heritage=external-dns,external-dns/owner=default,external-dns/resource=ingress/default/oauth-proxy-ingress",,
