input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_tls_connection,tls_sni,cdn_name,port,url,scheme,webserver,content_type,method,host,path,favicon,a_,tech_,lines,failed,cdn,tls_wildcard_certificate,csp_domains_,final_url,tls_mismatched,tls_subject_org_
1password.corp.mongodb.com,,403,9,1password.corp.mongodb.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-06-04T10:27:25Z,2023-09-02T10:27:24Z,CN=1password.corp.mongodb.com,1password.corp.mongodb.com,1password.corp.mongodb.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,4b4953ce499ea46200a9e481244f852d,3fdd750171e62aedfdb0fd0d8d5ee0c363ec13e36b43d3a9eaf1ceadbe24e38e,ctls,1password.corp.mongodb.com,,443,https://1password.corp.mongodb.com:443,https,,text/plain,GET,52.55.204.142,/,-942874359,54.243.81.147,,1,False,,,,,,
account-internal.mongodb.com,Cloud: MongoDB Cloud,200,3383,account-internal.mongodb.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-05-12T06:11:38Z,2023-08-10T06:11:37Z,CN=account-internal.mongodb.com,account-internal.mongodb.com,account-internal.mongodb.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,4e579b8406037e11d76b8cb2628274f7,60f357515e1755b068732e6b6683559d17747b4a4bbb995a4519a219af03a2c7,ctls,account-internal.mongodb.com,,443,https://account-internal.mongodb.com:443,https,mdbws,text/html,GET,18.190.81.11,/,-1767196082,18.190.81.11,HSTS,88,False,,,,https://account-internal.mongodb.com/account/login,,
account.mongodb.com,MongoDB Cloud | MongoDB,200,479801,www.mongodb.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-03-01T00:00:00Z,2024-01-09T23:59:59Z,CN=*.mongodb.com,*.mongodb.com,*.corp.mongodb.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,990712232470676d13e0cc6e370df23c,8f451e8be404de6c805982378228e3a5cbfef64af382155042642a5b3f94d8e8,ctls,www.mongodb.com,,443,https://account.mongodb.com:443,https,,text/html,GET,34.227.4.145,/,1147964469,34.227.4.145,HSTS,364,False,,True,https://*.mongodb.com,https://www.mongodb.com/cloud,,
alertmanager-internal.corp.mongodb.com,MongoDB - Sign In,200,29091,corp.mongodb.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-06-06T19:42:46Z,2023-09-04T19:42:45Z,CN=corp.mongodb.com,corp.mongodb.com,corp.mongodb.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,103b7b1152ff279a1d3e8be1e0576f54,4a8028007d7448ec350ecbf63ee8ec4af0cd2927be9d443841811f2df6bcb68c,ctls,corp.mongodb.com,,443,https://alertmanager-internal.corp.mongodb.com:443,https,nginx,text/html,GET,18.190.81.11,/,,18.190.81.11,Nginx,399,False,,,,https://corp.mongodb.com/oauth2/v1/authorize?client_id=0oa3e3dsu168G2pm3297&redirect_uri=https%3A%2F%2Flogin.corp.mongodb.com%2Flogin%2Fokta%2Fcallback&response_type=code&scope=openid+profile+email+groups&state=18187e76-8e02-471a-9c03-3fe36d1f5732,,
alertmanager.devprod-infra.prod.corp.mongodb.com,MongoDB - Sign In,200,29289,corp.mongodb.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-06-06T19:42:46Z,2023-09-04T19:42:45Z,CN=corp.mongodb.com,corp.mongodb.com,corp.mongodb.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,103b7b1152ff279a1d3e8be1e0576f54,4a8028007d7448ec350ecbf63ee8ec4af0cd2927be9d443841811f2df6bcb68c,ctls,corp.mongodb.com,,443,https://alertmanager.devprod-infra.prod.corp.mongodb.com:443,https,nginx,text/html,GET,18.211.173.104,/,,34.206.163.91,Nginx,399,False,,,,https://corp.mongodb.com/oauth2/v1/authorize?client_id=0oa3e3dsu168G2pm3297&redirect_uri=https%3A%2F%2Flogin.corp.mongodb.com%2Flogin%2Fokta%2Fcallback&response_type=code&scope=openid+profile+email+groups&state=7544edcb-7b10-4e70-8fbd-7be284a93f2a,,
allhands.corp.mongodb.com,All Hands,200,1979,allhands.corp.mongodb.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-28T00:00:00Z,2023-10-03T23:59:59Z,CN=*.allhands.corp.mongodb.com,*.allhands.corp.mongodb.com,ahp-prod-app-fuver.mongodbstitch.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,7f290f1cd6ba4ee6bfd0de7781ae5ecc,18ab2c6051a062e2e810d5ba486b79cb0524587a1176da90ba24aadd6bf1c981,ctls,allhands.corp.mongodb.com,cloudfront,443,https://allhands.corp.mongodb.com:443,https,AmazonS3,text/html,GET,99.86.4.83,/,-1259179666,99.86.4.121,Amazon Web Services,1,False,True,True,,,,
api-agents-internal.mongodb.com,Cloud: MongoDB Cloud,200,3383,account-internal.mongodb.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-05-12T06:11:38Z,2023-08-10T06:11:37Z,CN=account-internal.mongodb.com,account-internal.mongodb.com,account-internal.mongodb.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,4e579b8406037e11d76b8cb2628274f7,60f357515e1755b068732e6b6683559d17747b4a4bbb995a4519a219af03a2c7,ctls,account-internal.mongodb.com,,443,https://api-agents-internal.mongodb.com:443,https,mdbws,text/html,GET,3.132.12.20,/,-1767196082,3.132.12.20,HSTS,88,False,,,,https://account-internal.mongodb.com/account/login,,
api-backup.eu-west-1.mongodb.com,MongoDB Cloud | MongoDB,200,479801,www.mongodb.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-03-01T00:00:00Z,2024-01-09T23:59:59Z,CN=*.mongodb.com,*.mongodb.com,*.corp.mongodb.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,990712232470676d13e0cc6e370df23c,8f451e8be404de6c805982378228e3a5cbfef64af382155042642a5b3f94d8e8,ctls,www.mongodb.com,,443,https://api-backup.eu-west-1.mongodb.com:443,https,,text/html,GET,54.74.18.76,/,-1025222706,54.74.18.76,HSTS,364,False,,True,https://*.mongodb.com,https://www.mongodb.com/cloud,,
api-backup.eu-west-2.mongodb.com,MongoDB Cloud | MongoDB,200,479801,www.mongodb.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-03-01T00:00:00Z,2024-01-09T23:59:59Z,CN=*.mongodb.com,*.mongodb.com,*.corp.mongodb.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,990712232470676d13e0cc6e370df23c,8f451e8be404de6c805982378228e3a5cbfef64af382155042642a5b3f94d8e8,ctls,www.mongodb.com,,443,https://api-backup.eu-west-2.mongodb.com:443,https,,text/html,GET,18.133.128.29,/,-1025222706,18.133.128.29,HSTS,364,False,,True,https://*.mongodb.com,https://www.mongodb.com/cloud,,
api-backup.mongodb.com,MongoDB Cloud | MongoDB,200,479801,www.mongodb.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-03-01T00:00:00Z,2024-01-09T23:59:59Z,CN=*.mongodb.com,*.mongodb.com,*.corp.mongodb.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,990712232470676d13e0cc6e370df23c,8f451e8be404de6c805982378228e3a5cbfef64af382155042642a5b3f94d8e8,ctls,www.mongodb.com,,443,https://api-backup.mongodb.com:443,https,,text/html,GET,34.200.195.130,/,-1025222706,34.200.195.130,HSTS,364,False,,True,https://*.mongodb.com,https://www.mongodb.com/cloud,,
