new,host,a,cname,soa,status_code,ns,has_internal_ips,internal_ips,aaaa,txt,mx,caa
[x],demolab-api-staging.epm-ddl.projects.epam.com,"3.160.188.47, 3.160.188.28, 3.160.188.119, 3.160.188.117",,"ns-1312.awsdns-36.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,
[x],epam.com,3.214.134.159,,"a1-195.akam.net, helpdesk.epam.com",NOERROR,"a7-64.akam.net, a1-195.akam.net, a10-64.akam.net, a11-65.akam.net, a20-67.akam.net, a14-66.akam.net",,,,"ca3-c0fb74d728c14a3ab3d5ec70d5406fe4, google-site-verification=Txt_jB-Vw24zypGP9pk_8EXW9cGUGW5EVQWvszTWAGg, mongodb-site-verification=4juLIffrAb3xGzuY6Sb9lP2WcoK2OYO4, ca3-0d5f6eb64da642c18eb84aecfc9c91d5, lucid-verification=dAHVJmh2nut77jiu3SbQ, adobe-idp-site-verification=3c4b1d0d10939f7897e8f554b6224329a6ec1b79fb8dfcbb5ae7d1cea394ccdd, apple-domain-verification=R0Xcf85vbPwBCrPU, pardot900251=fb3761d67d8be97dc0429b6cfd95c80134b89342e16c0dadca815ef11cbb6999, workplace-domain-verification=hCuSvddRzvxO0kdKnZivjDQnAjaMqE, sitecore-domain-verification=7c14ab00f82d42e68853a4bde315274f, miro-verification=30ebf3e2b5dcb69be7e0ebd3245b4a323171cad8, atlassian-domain-verification=r5+Lj7Z9OzbqDlnPLaNXVJB0hIqgSkP4PN8CzW108u5hoG+K0355mWN4hamUt/0i, google-site-verification=I7zsrEYb8UTDsu9vbaDzRWVbP45vPQ8ABRaL_cYxHYA, v=spf1 ip4:148.163.137.242 ip4:148.163.133.242 ip4:217.21.63.2 ip4:174.128.60.9 ip4:91.120.43.3 ip4:91.120.43.4 include:spf.protection.outlook.com include:spf-epam.epam.com include:spf-epam2.epam.com,  include:spf.workfront.com include:_spf.google.com -all, , google-site-verification=cDB9d2mJj5IdlE3Eme6yCmx3-hzFotD-rDc1pEnbAjo, docusign=66749edd-d48b-4d75-aee3-b02593b66723, 12g77rt44opqsm2dnrmn7fj33v, 83ed7754bd7b4b3b9b0662fe93dc7a86---, h1-domain-verification=T82zZtBf8rNwV18uQ9jVq78yRzvQ4gfHQkpF6ZESESy2Mtmh, infoblox-domain-mastery=050c25a3a4adf411b0b647fc50f2b50ac196fa90b2ac931d4c87de9da8ea815ad4, onetrust-domain-verification=aec98462bdf64e81a24547bbbd225c29, h1-domain-verification=rPzqpPtaapUqHjZsRYfazHuFFCeuyyVgQNVrEYp95UMAvwaL, p52pdoorpra4e30re9s2gj727m","mxa-0039f301.gslb.pphosted.com, mxb-0039f301.gslb.pphosted.com",
[x],gcp.time.epam.com,"104.18.10.86, 104.18.11.86",gcp.time.epam.com.cdn.cloudflare.net,"ns1.cloudflare.net, dns.cloudflare.com",NOERROR,,,,"2606:4700::6812:a56, 2606:4700::6812:b56",,,
[x],nonprod.infra.radar.epam.com,"205.251.192.105, 205.251.195.16, 205.251.197.197, 205.251.199.21",,"ns-1813.awsdns-34.co.uk, awsdns-hostmaster.amazon.com",NOERROR,"ns-784.awsdns-34.net, ns-1477.awsdns-56.org, ns-1813.awsdns-34.co.uk, ns-105.awsdns-13.com",,,,,,
,1wwwcidersofnewyorkbuffaloks-vendingtransactions-mq2-okta.monitoring.wmpr.test.wm.lab.epam.com,52.57.111.15,wmpr-infra-external-2022795869.eu-central-1.elb.amazonaws.com,"ns-1689.awsdns-19.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,
,25.epam.com,"104.18.12.91, 104.18.13.91","info.epam.com, info.epam.com.cdn.cloudflare.net","ns1.cloudflare.net, dns.cloudflare.com",NOERROR,,,,"2606:4700::6812:d5b, 2606:4700::6812:c5b",,,
,2app-wdps-okta-inc-f-alt12.redcross-default-us-east-1.epm-ldi.projects.epam.com,44.205.128.41,,"ns-951.awsdns-54.net, awsdns-hostmaster.amazon.com",NOERROR,"ns-1416.awsdns-49.org, ns-1681.awsdns-18.co.uk, ns-409.awsdns-51.com, ns-951.awsdns-54.net",,,,,,
,4-9-okd-sandbox.aws.main.edp.projects.epam.com,10.0.200.29,,"ns-356.awsdns-44.com, awsdns-hostmaster.amazon.com",NOERROR,,True,10.0.200.29,,,,
,access-staging.epam.com,,,"alex.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,
,access.dev.epm-iga.projects.epam.com,"13.225.78.32, 13.225.78.67, 13.225.78.83, 13.225.78.51",,"ns-660.awsdns-18.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,
