new,host,ttl,a,cname,soa,status_code,ns,cdn,cdn-name,aaaa,txt
[x],front.com,300,"104.22.5.237, 172.67.36.47, 104.22.4.237",,"{'name': 'front.com', 'ns': 'damon.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2352339327, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'front.com', 'ns': 'damon.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2352339327, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}",NOERROR,"rose.ns.cloudflare.com, damon.ns.cloudflare.com",,,"2606:4700:10::6816:4ed, 2606:4700:10::6816:5ed, 2606:4700:10::ac43:242f","atlassian-domain-verification=P8juH5xsYQNMzGpromGZ828DwZ39lvoiUlvca9sBwltpVW5BVIorfqZE4frLpJON, docusign=42e9be79-3d9c-48ab-879c-8782ff8703c7, docusign=51236b8b-124b-4d15-8154-0cbd0f13e95b, facebook-domain-verification=hubfsaxdypk06lisns5ujw6y6oif3v, google-site-verification=-8NVRKLg4KcQo96lsE7DAbAYwkgz7XZtbIGjiMBMP7w, google-site-verification=9kSSItzS4blQ-DJ9DpGNCn3oL09QBHnW9y4FW6mamJ0, h1-domain-verification=7ERT3iQrTbfyWUrz9c3bkwFp6S5K7sDAUSA4L1YDhHJ2n2SZ, hubspot-domain-verification=YzBmYTA2NTEtZDRlMy00M2ZjLTk1YjMtN2U5YWY0NGEzZTcx, pendo-domain-verification=444f8e96-440b-4c55-9e9c-9013754bb771, v=spf1 include:spf.mandrillapp.com include:_spf.google.com include:_spf.salesforce.com include:4766782.spf02.hubspotemail.net ~all, C3F62F3713, MS=ms52562726, ZOOM_verify_guMIQFJwYRwo5LAQCTO0uy"
,academy.front.com,300,"18.210.76.61, 54.86.240.25, 54.165.95.155",secure.northpass.com,"{'name': 'northpass.com', 'ns': 'ns-766.awsdns-31.net', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'northpass.com', 'ns': 'ns-766.awsdns-31.net', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'northpass.com', 'ns': 'ns-766.awsdns-31.net', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'northpass.com', 'ns': 'ns-766.awsdns-31.net', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}",NOERROR,,,,,
,beta.front.com,300,,,"{'name': 'front.com', 'ns': 'damon.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2352339327, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'front.com', 'ns': 'damon.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2352339327, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'front.com', 'ns': 'damon.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2352339327, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'front.com', 'ns': 'damon.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2352339327, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'front.com', 'ns': 'damon.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2352339327, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'front.com', 'ns': 'damon.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2352339327, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}",NOERROR,,,,"2606:4700:10::6816:5ed, 2606:4700:10::ac43:242f, 2606:4700:10::6816:4ed",
,cdn.front.com,60,"52.222.214.41, 52.222.214.42, 52.222.214.119, 52.222.214.87",d1eny336h4lenl.cloudfront.net,"{'name': 'd1eny336h4lenl.cloudfront.net', 'ns': 'ns-860.awsdns-43.net', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'd1eny336h4lenl.cloudfront.net', 'ns': 'ns-860.awsdns-43.net', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'd1eny336h4lenl.cloudfront.net', 'ns': 'ns-860.awsdns-43.net', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'd1eny336h4lenl.cloudfront.net', 'ns': 'ns-860.awsdns-43.net', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}",NOERROR,"ns-1052.awsdns-03.org, ns-1914.awsdns-47.co.uk, ns-47.awsdns-05.com, ns-860.awsdns-43.net",True,cloudfront,"2600:9000:223d:4c00:4:92b1:5c40:93a1, 2600:9000:223d:ee00:4:92b1:5c40:93a1, 2600:9000:223d:9600:4:92b1:5c40:93a1, 2600:9000:223d:8000:4:92b1:5c40:93a1, 2600:9000:223d:d400:4:92b1:5c40:93a1, 2600:9000:223d:d000:4:92b1:5c40:93a1, 2600:9000:223d:1800:4:92b1:5c40:93a1, 2600:9000:223d:a00:4:92b1:5c40:93a1",
,chat.front.com,180,"18.161.97.73, 18.161.97.112, 18.161.97.96, 18.161.97.18",d1wu49ktcuonse.cloudfront.net,"{'name': 'd1wu49ktcuonse.cloudfront.net', 'ns': 'ns-558.awsdns-05.net', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'd1wu49ktcuonse.cloudfront.net', 'ns': 'ns-558.awsdns-05.net', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'd1wu49ktcuonse.cloudfront.net', 'ns': 'ns-558.awsdns-05.net', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}",NOERROR,,True,cloudfront,,
,community.front.com,300,"18.245.86.95, 18.245.86.68, 18.245.86.4, 18.245.86.122, 205.251.192.251, 205.251.195.207, 205.251.197.15, 205.251.199.176","front-en-community.insided.com, d265opyfk3045n.cloudfront.net","{'name': 'd265opyfk3045n.cloudfront.net', 'ns': 'ns-975.awsdns-57.net', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'd265opyfk3045n.cloudfront.net', 'ns': 'ns-975.awsdns-57.net', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'd265opyfk3045n.cloudfront.net', 'ns': 'ns-975.awsdns-57.net', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}",NOERROR,"ns-1968.awsdns-54.co.uk, ns-975.awsdns-57.net, ns-251.awsdns-31.com, ns-1295.awsdns-33.org",True,cloudfront,,
,help.front.com,60,,"front.frontkb.com, n.sni.global.fastly.net","{'name': 'fastly.net', 'ns': 'ns1.fastly.net', 'mailbox': 'hostmaster.fastly.com', 'serial': 2017052201, 'refresh': 3600, 'retry': 600, 'expire': 604800, 'minttl': 30}, {'name': 'fastly.net', 'ns': 'ns1.fastly.net', 'mailbox': 'hostmaster.fastly.com', 'serial': 2017052201, 'refresh': 3600, 'retry': 600, 'expire': 604800, 'minttl': 30}, {'name': 'fastly.net', 'ns': 'ns1.fastly.net', 'mailbox': 'hostmaster.fastly.com', 'serial': 2017052201, 'refresh': 3600, 'retry': 600, 'expire': 604800, 'minttl': 30}, {'name': 'fastly.net', 'ns': 'ns1.fastly.net', 'mailbox': 'hostmaster.fastly.com', 'serial': 2017052201, 'refresh': 3600, 'retry': 600, 'expire': 604800, 'minttl': 30}, {'name': 'fastly.net', 'ns': 'ns1.fastly.net', 'mailbox': 'hostmaster.fastly.com', 'serial': 2017052201, 'refresh': 3600, 'retry': 600, 'expire': 604800, 'minttl': 30}",NOERROR,,True,fastly,,
,onboarding.api.front.com,300,,customdomain-2.api.rocketlane.com,"{'name': 'rocketlane.com', 'ns': 'ns-167.awsdns-20.com', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'rocketlane.com', 'ns': 'ns-167.awsdns-20.com', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'rocketlane.com', 'ns': 'ns-167.awsdns-20.com', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'rocketlane.com', 'ns': 'ns-167.awsdns-20.com', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'rocketlane.com', 'ns': 'ns-167.awsdns-20.com', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'rocketlane.com', 'ns': 'ns-167.awsdns-20.com', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}",NOERROR,,,,,
,onboarding.front.com,300,"13.225.78.84, 13.225.78.20, 13.225.78.43, 13.225.78.122",customdomain-2.rocketlane.com,"{'name': 'rocketlane.com', 'ns': 'ns-167.awsdns-20.com', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'rocketlane.com', 'ns': 'ns-167.awsdns-20.com', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'rocketlane.com', 'ns': 'ns-167.awsdns-20.com', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'rocketlane.com', 'ns': 'ns-167.awsdns-20.com', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}",NOERROR,,True,cloudfront,,
,upflow-email.billing.front.com,300,34.111.99.212,eu.mailgun.org,"{'name': 'eu.mailgun.org', 'ns': 'ns-508.awsdns-63.com', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 2, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}",NOERROR,"ns-508.awsdns-63.com, ns-1452.awsdns-53.org, ns-2026.awsdns-61.co.uk, ns-619.awsdns-13.net",True,google,,
